image_embedding,caption_embedding
"[-0.20716952857301607, -3.063258651828788]","[-2.4995614331988225, 0.07513048615844486]"
"[1.5052923297373748, 1.2004686278807757]","[-0.9555958327968669, -1.139168885761839]"
"[0.28022581568910687, -1.831856942157417]","[-1.9408619372853855, -0.6630800905164036]"
"[-0.15251463577431124, -2.2840776794460687]","[-1.7456331279490078, -0.6971180450535797]"
"[2.7221777342042865, -0.8233123215251991]","[1.4434824145411984, 0.8103255780101389]"
"[1.9944410055540225, 0.30845530707336155]","[1.090270040680756, -0.3276105371683873]"
"[-2.262097266527073, -1.1415242518960877]","[1.884344075040712, -3.197771396752659]"
"[0.8846658765278308, -3.8031377382192586]","[2.290657774511305, 0.6644933051100363]"
"[-1.3556746190890572, -0.5167684872578261]","[-2.331817413478133, -0.4445759843090018]"
"[3.2020066360752235, 0.7883990332732932]","[0.5094990430905011, -1.9539715480245818]"
"[0.570666718674368, -2.8719185619955607]","[-1.8064693740631221, 0.11251949608178025]"
"[-1.6848432379635385, -2.6568424528184877]","[-1.6799840302579865, -0.7799434602058318]"
"[-1.0298177902629213, 1.994478027263002]","[-0.6353950572492792, 1.4053470936068544]"
"[-0.08971053662663352, 3.302769140655529]","[-2.082159320862795, 0.5964969350947802]"
"[2.6687536791971156, -0.946522676204551]","[1.1877418263442632, -2.027662716168878]"
"[0.1312042702381909, -2.1332897218515208]","[2.6192610511781957, 1.8599750724857518]"
"[-0.14475117283589997, -2.62562911064134]","[2.0146804478983023, 1.3361310198199807]"
"[-2.64290113402147, 1.3846553317750736]","[-0.029142884797858884, 1.3305183329050971]"
"[3.2278025579862684, 1.0548945546746125]","[1.3707985895304728, 1.8128611472185296]"
"[-0.24257782854975055, -2.375684839463956]","[-0.7629875466994764, 0.6170111092074422]"
"[1.4494211412598705, 0.024174382790236874]","[-0.6393034789730558, -1.0163345535013084]"
"[0.8323208113377493, 0.40894720312861377]","[0.33337789553157376, -2.613371735105216]"
"[-1.3973516710352485, 0.9194806575834716]","[3.220848997895875, 1.7004486703743764]"
"[0.19837491429730902, -2.5832113968533377]","[0.5966192576267727, -0.7826243856487372]"
"[0.14169004404463792, -1.835390966743332]","[-1.2377415609805693, 1.1681032576350538]"
"[2.709358826338077, -0.6591833228165541]","[3.0785417725006785, 1.9485733506841325]"
"[1.193232235028129, 1.9664185803440917]","[0.426674497713397, -1.2176472230336042]"
"[2.3605387172002503, 1.052743823641268]","[2.235194033753901, 0.3212179909578235]"
"[1.095156303376292, -1.884204636132794]","[-4.285850838240865, 0.2307338819697057]"
"[3.365872695076923, 2.410297152155042]","[2.6598305307594807, 1.5042648582798586]"
"[-0.5121354378400738, -2.398696350448318]","[-2.6537024262534543, -1.090010987845726]"
