image_embedding,caption_embedding
"[-0.20717250604947882, -3.0632515145953794, 2.7042473607781505, -0.8244277403084667, -0.5600894987201475, -0.03225177794041725, 0.2459852421755012, 0.5597077501327302, -2.164468151686889, -0.5128071586406734, 0.5371251676551642, -0.5234880471231028, -0.1787071414767022, 1.4828280042062238, -0.29707214285754113, -0.9440483134880124, -1.033782821542203, -0.5518143094611508, -0.5346324678315262, -0.1315479172726571]","[-2.4995614318982464, 0.07512833307972948, -1.7433319248640144, -0.6401890019306304, -0.8907993618909532, 0.6872503138363794, 0.29635765914787676, -1.2231995875557555, -1.2434498455205547, -0.5671473292753998, -0.019039810342894918, 0.10587329597380098, 0.879347442610073, -0.7944313802496161, -0.25510383565286454, 0.2557424003358248, 0.7474053616452307, 1.446502011550665, 0.6182268545302818, -0.5063944691036404]"
"[1.5052836308156679, 1.2004740021905695, -0.36260533560868813, -0.050551193499674955, 1.6949360175546988, 2.78648415422102, 1.6350591537054173, 0.5511027392830874, -0.23235921001502285, -0.6471601010830661, 0.10980615104925438, 0.8599958601173979, 0.16806230106034076, -1.0163559960106703, -2.184273269937208, 0.7384738036395329, -0.7973894573120219, 0.2839141400367957, 0.6056734993808762, -0.9152400003586948]","[-0.955595830552481, -1.1391673462340388, -0.06858635385986132, 1.1492413765185245, 1.4399782070074243, 0.8806860965325639, 0.40663848150266046, -0.4800233392784126, -1.3469252260025935, -0.5513479176687421, 1.0100382972875055, -0.4373420768340445, -1.625484412164768, -0.31394966377748007, 0.5719844748676884, -0.09787915109519121, -0.062490015950946255, -0.8744234510538532, -0.48857250349888925, 0.2171606690995712]"
"[0.2802243626115411, -1.8318665483360315, 3.2179059770388485, -0.5976768515301891, -1.2706172801799214, 1.0750363170220514, 0.14892397207026933, -0.3716464535762451, -2.035968554518505, -0.7424419162629202, 1.396341856758423, 0.7606094402620317, -0.3922863464327106, -0.44883305209276503, 0.06240857610561952, -1.1117486378579466, 0.9703099581426217, -0.1172782689433275, 0.5080616438294393, 0.5591951940224342]","[-1.940861938549765, -0.6630779018186909, -0.28236146964155695, -0.33763554341119617, 0.22326861605201453, -0.19265345882992804, 0.5930395938232135, -1.037045866695179, -0.7516182220922744, -0.297708315069773, -1.0658369901620066, 0.14743414584520462, -0.18923397520086147, -0.5303279665813311, -0.8772159467060248, -0.49104371786357365, -0.8003790849340321, -0.08767166307929164, -0.2559190540017052, 0.3176436872782898]"
"[-0.15251037770803072, -2.2840859504977633, 0.26754361375529095, -2.290786660141789, -0.8502070187806199, -0.3350456702758021, 1.4572964951092622, -1.0305016078957734, 0.43131509358219045, 0.0010578589560259351, -0.2216529002817054, -1.2962046719482418, -0.7159782794608575, 1.2017604983123016, 0.459203561573271, 0.29269342154283756, -0.3178414988166798, -0.8103194051861478, 0.06964381287375958, -1.6503927233025344]","[-1.7456331298252878, -0.6971206169734917, -0.6557024495547176, 0.3187384695990734, -0.7711350519392369, -0.19472667452912784, 1.054318248626129, -0.9702746560162201, 0.9472955258735447, 0.36529844041857057, -0.6433565473476172, -0.3796354000190955, 0.5388200275388708, -0.30036325579319895, 0.5921408471979084, -0.04165336667767101, 0.30697570678765507, -0.4925217804445201, 1.0887170678620164, 0.20548695438199838]"
"[2.722185415652758, -0.8233282821556616, 3.84192819787913, -0.0056927678679267605, -1.3899421004756918, -0.10033293654448566, 0.8048439027050657, -1.6599616348915731, 0.556762647897297, 1.9400959142640724, 0.6229485610282617, 0.009249604594216629, -0.7866572564961448, 0.23146407093379176, 1.2987412910361318, 0.25947928747418836, 0.6197184607235001, 0.16940192059626435, 0.5697703134470937, 0.22711005412213672]","[1.4434824127164876, 0.8103286224692798, 1.2634685694498804, 0.7069091926797071, -0.008882535510090975, 0.9640479952706738, -0.2239405264284055, -1.1368764990435691, -0.11341642350252513, 1.5915611571350248, -0.4545893424231915, -0.18776788465540023, -0.4904463523702576, -0.22542404531094762, -0.06831764335867942, -0.43628447869117015, -0.8365790364903827, 0.2741311139579949, -0.3430897942610326, -0.2441193940538754]"
"[1.9944384942018805, 0.3084574425168892, 1.6318331064830536, 0.440617722424227, 1.9816015476151447, 0.0856119264328232, 1.0797598744413195, 0.07966959250748863, -0.3338292884879747, -0.3016233420718964, 0.6122044556199923, -0.02488315360846118, 0.10418810215417665, -0.8637384168467126, -0.7009422887593787, -0.29316527388550934, 1.4031187156705474, 0.7931056519445616, -0.6040952859734648, -0.05768696449091576]","[1.0902700444198943, -0.3276114027873151, 1.469749320497851, 0.7631763389460423, 2.0380858197186646, 1.2828124503092904, 0.3288841297222875, -1.0372921607643155, 0.06329002768438255, -1.136215957076375, 0.6914424468788146, 0.9169121068371313, 1.2725839680301723, 0.10215256970561179, 0.2757597286110835, 0.00019534923227161683, 0.47543230842502615, -0.033594593465920954, -0.3978199359610392, 0.014466246816921354]"
"[-2.26209764817141, -1.1415280565661594, -3.1607926152381327, -1.166681264694371, -1.258756188453293, -0.3349339877447689, 0.016248364885531802, -1.7210256668112904, -2.520523905318734, -1.1964794235879543, 0.7072925691483629, -1.891257767271577, -1.0836223604895967, -0.5626752881550547, -0.5273183624611564, 1.727732416707582, -0.6306076532373107, 0.2100780196283592, -0.49019697675766605, 0.1417440347223729]","[1.8843440779086478, -3.1977715875791537, -0.0829883163662338, -0.05749096160190521, -0.23881449963267704, -0.15693188175653106, -0.6482498119571448, 0.31276304049742554, 0.16227764465404565, -0.30573365517438394, 0.5359158455340407, 0.43619009587644103, -0.16439376614310866, -0.31362676879353923, 0.4316508150197457, 0.28781579549412056, -0.45349451329337925, -0.13357271070683488, 1.40589807306363, 0.22152041367335523]"
"[0.8846613411145287, -3.8031431609146633, 1.9979512357017017, 1.1278657674636183, 1.3444261575613945, -2.361337874043532, -0.8065659476749958, -0.3541534456178995, -0.05036425254556362, -1.9108039153132454, 0.5714155244066877, 0.23036563120363227, 0.017589765299750725, -0.22928505100715443, -1.221033497680788, -1.2895273667127332, 1.1733985209590503, 0.16203228800629874, 0.8953699734576033, 0.7779816219480742]","[2.2906577721353294, 0.6644910662210624, 0.47866520728380063, -0.6665707630561762, -1.3725626439835348, 0.2769613470696432, -0.05072197428879399, 0.4606330106610833, -0.44245168513844313, -0.2001253305585908, -0.47415769135675934, -0.4037638251131348, 0.36731298493701076, 0.25447079367510295, -0.2468420462916263, 0.17014536577369077, 0.7905899862737411, -0.2199265190471058, -0.435076166870388, 0.31947581597759983]"
"[-1.3556788323168127, -0.5167702734206431, 2.11394598381182, 1.6658081793828141, 1.1579349124548275, -0.0445543307406345, -0.09047846795955909, 1.1495825426956325, -0.2745745388150714, 0.11812956547924386, -0.49603847652620847, 0.8130349257829783, -0.6910255674515648, 0.034525032505642594, -1.0043624908900373, -0.4286319472669041, 0.195687062770202, 0.47208618218603593, 0.509491842173837, 1.7163687325500094]","[-2.3318174070827165, -0.4445748460344388, -0.372081846173404, -0.5936308697691022, -0.5578337611749843, 0.4077436226349943, -0.20108881569278497, 0.3246988319692517, -0.35966292827674096, -1.158196797530885, 1.1693088035916688, 0.6469976159937427, 0.7237529814193727, -0.39250062959247106, -0.5064185663891744, -0.8854575261487857, 1.2942107976227344, -0.3932419997217242, -0.11158236521468254, -1.469348116486324]"
"[3.202002363477591, 0.7883951315980932, -0.4725589239125126, 0.9321865097618359, -1.2163520637753882, -2.5717999171493457, 0.9066292405640681, -1.2607843366481402, -1.021347873455031, -1.396451058558711, 0.003343521326276541, -1.4317023123714154, -0.8692910717900258, -0.10086521506913369, -0.5296371255075397, -1.001378653021558, 0.906336593200357, -0.07923719565905663, -0.07091968123393158, -0.132973224242592]","[0.5094990433027493, -1.9539723034181458, 0.8628943071647582, 0.06712407096502918, 0.9033654496394453, 0.4218321141732065, 0.8350074678933286, 0.47006993051593765, 0.2900936692764002, 0.8898625330509901, 0.09507700094813373, 0.6499025104627183, 0.3676803875374222, 0.020227260586826903, -0.24524701307105087, 0.44667282859063584, -0.32255944122339514, 0.6439285013076695, 0.5451088841618211, 0.4606180811198648]"
