image_embedding,caption_embedding
"[-0.2071761023774554, -3.0632625803832183, 2.704300125102286, -0.8243637831292291, -0.5604127700157573, -0.032631898537502826, 0.24699826448149306, 0.5587024006116122, -2.167362833752618, -0.5148354814090502, 0.5383810472121803, -0.5210033744306474, -0.1703353081342799, 1.5007895046168491, -0.3023100151450295, -0.9471268425031276, -1.0296849002577286, 0.4573007237641178, -0.534127628875583, -0.25900089052938696, -0.011808147396517586, 0.2648519835472953, 0.19109618270835135, 0.14507068758756367, -0.9774364367721297, -0.3080322501380432, -0.31881515346820116, 0.9831675731669538, 0.04586518541060989, -0.7588278029019867, -0.5410471180818609, 0.09877340606458164]","[-2.499561358489025, 0.07512055468033582, -1.7433269046422915, -0.6403287567928019, -0.8896329344328028, 0.688443137268034, 0.29531185638461205, -1.2333997813137298, -1.2401531308407407, -0.5661049558463678, -0.016644747640723837, -0.11390827636450525, 0.9079702166306757, -0.827933614972984, -0.20381211870432345, 0.11216354629333623, 0.7611469629479474, 1.5203882481625646, 0.44411097990849885, -0.4350397677970145, -0.07467843931383103, 0.4802105641463676, 0.31379003077887235, -0.13988636139507474, 0.2159189699185655, -1.3585266090215053, 0.17088355198147773, 0.5586508079298311, -0.24256624629499152, 0.06987709875367419, 0.7563939759524793, 0.4433833587567487]"
"[1.5052872675415474, 1.200471442930158, -0.3626079442108694, -0.05094632362171734, 1.6947140753677972, 2.785924692763091, 1.6360982576285001, 0.5501398657556874, -0.2356745263877896, -0.6518646757424271, 0.1119214245308679, 0.8652998196368858, 0.17958558145048648, -1.0017979484179413, -2.1833742420732536, 0.7358977952636515, -0.7841641852056312, -0.3261474876202178, 0.6278684097929865, -1.2632127495483847, -0.6410182564002609, -0.4210961048582937, 1.5006871124337926, 0.49307491595831804, -0.7130154829301032, 0.0022591115964734126, -0.08515696913812812, -0.012295076881211436, -0.5579727298112477, 0.08523240636099667, -0.5382928433923204, 0.2006567792589266]","[-0.9555960451896792, -1.1391564154623801, -0.06870518215523434, 1.150955255659861, 1.4382591473196882, 0.8800285805739242, 0.41239376967159475, -0.47836033310591974, -1.353668350161996, -0.5614444000811686, 1.0065332009278394, 0.423183963473979, -1.609499620349497, -0.3023031456668047, 0.5777516847131292, -0.13718580116874102, -0.13611670205877138, -0.895866912558735, -0.5014646857893263, 0.1331504321380573, 0.3025535784211567, -0.4254449638549831, 0.34422157030448786, -0.15906140422951534, 0.3899447179497686, -0.06022945875119729, -0.5687138339761045, 0.49904808300045156, 0.44313678949173163, -0.15135672327561697, 0.0665345774815101, 0.5856392172308618]"
"[0.2802304121747793, -1.8318534713363646, 3.2178187031562366, -0.5978483935982404, -1.2703314869099562, 1.075446027649042, 0.14783908639955531, -0.3703880819993325, -2.0334550902460276, -0.7412924419090566, 1.3954751569035195, 0.7629211763063733, -0.3874919531820391, -0.4697660579788061, 0.06331282527774909, -1.1192428356352748, 0.9389674557261446, 0.18907347212419767, 0.5156291964016124, 0.2609278114138744, -1.288925025539741, 0.9042285808857751, 0.29534374368456245, 0.7679137808326876, 0.6148102372841107, 0.3959594487644902, 0.7182274457306987, -0.12609747093230786, -0.08843399758978887, 0.679267358579108, -0.18787936278866904, -0.5325267183577346]","[-1.9408620593051182, -0.6630667583550157, -0.28248841618626275, -0.3379014328473024, 0.22217667928615104, -0.19247612032046382, 0.5910415731986826, -1.0393665725930956, -0.7490803036612546, -0.29633065138073844, -1.061994010316933, -0.15952729452239944, -0.19266089160853378, -0.45784777667635845, -0.8318688937072595, -0.37380220822564425, -0.8424741073621078, -0.11032696340955787, -0.27558493243048776, 0.351126606973271, -0.1973225763037035, 0.4063823449262597, -0.09941258850835764, 0.4610030605623924, 0.5858041374584214, 0.8308978372439394, 0.37761642386041133, -0.2694375186333539, -0.20430078731027243, -0.6304733393972534, -0.9894337010610167, -0.30052969464642604]"
"[-0.15251614843338887, -2.2840830153795735, 0.2675359963571012, -2.2910779979455973, -0.8505808487026066, -0.3348210346061501, 1.4565864459157103, -1.0297135920528997, 0.43229259304043427, 0.0017869782487572072, -0.22926482175613802, -1.3017481908602848, -0.7022027685333829, 1.194864756382252, 0.4688026786387393, 0.27953137651108595, -0.3656875193992837, 0.7443109872691109, 0.07028283403956755, -1.5918679950378698, 0.24158178872610384, 0.01159705273555444, -0.11113768063193795, -0.7271014315170541, 1.291978160944218, -1.0055433038580084, 0.3020903565804879, -0.46986657911076374, -0.4091251405547892, -0.34626401121424427, 0.20825242879729694, 0.6100623422549308]","[-1.7456332053254764, -0.6971219310198707, -0.6557118670356527, 0.31941248738332917, -0.772506737295417, -0.19675917553918365, 1.0588630469962967, -0.963012032263083, 0.9412804145728524, 0.3583042006790437, -0.6515134788498884, 0.3612441846891238, 0.5405211275640144, -0.31881159863260033, 0.5948890077391666, -0.07246852681499269, 0.25164830602524063, -0.49694174796497187, 1.1581465598824208, 0.19501365947867497, -0.42957218735082725, -0.27736078169600076, -0.10611384018524647, 0.437975344868076, -1.445501033211085, 0.5063232350906667, 0.1646299074508166, -0.5680864413242794, -0.714585964937266, 0.07276640832447745, -3.661469152989727e-05, -0.2286175804313874]"
"[2.722191960321889, -0.8233246575040466, 3.841849460598406, -0.005690782147976016, -1.389714079927135, -0.0999393006589956, 0.8036317418005724, -1.6594375131265384, 0.5586642016196395, 1.9430106898890438, 0.6208638104470873, 0.0063315299041496005, -0.7760334407800465, 0.2170168748839057, 1.3095989063211673, 0.2686023740336547, 0.6232768533429209, -0.14592666042149544, 0.5475866701123067, 0.008734886843986833, -0.7475860037514122, 0.11880140162815965, 0.7683312506996691, 0.41094289328866057, 0.7233625131735182, -0.09645666052766946, 0.26927954238946916, -0.5211243192425474, 0.7238270269293444, -0.31185680622352363, 0.3418797120005318, -1.2570593982030929]","[1.4434823785898545, 0.8103295620452212, 1.2634969241936456, 0.7070333802372869, -0.009664898484132578, 0.9641186154451467, -0.2229213763773516, -1.1311636419350561, -0.11363322733083933, 1.589938265854549, -0.45359954624267995, 0.1755289057129742, -0.5062796802288136, -0.2121962279595341, -0.10386382838740861, -0.3025133149227591, -0.9067669830432695, 0.2588023153768908, -0.33223192300638715, -0.1664400552631714, -0.23393847332464796, 0.12597853817110896, -0.2098375837417692, 0.1668887461198152, 0.9363911019269721, 0.09384302933088526, 0.055667398966541874, -0.4905809732603061, -0.7157693745772454, 0.21884217445017437, -0.26657802404976044, 0.29846059264071984]"
"[1.9944372259305518, 0.3084494415738153, 1.6318835319239717, 0.4406384091503124, 1.9814771579127677, 0.08521907727582184, 1.0806992159531827, 0.07908804775870178, -0.3352366787889345, -0.29965136648231133, 0.6126161504754349, -0.022893241092317416, 0.09946657579275034, -0.8673958689359699, -0.6780996868583444, -0.31924821217900345, 1.4305248120497818, -0.7336173462118545, -0.5807016303646458, 0.09615183496037881, 0.3451239493493268, -0.4960118443946851, 1.14593687470585, -0.9329157738519072, 0.001979626108541849, 0.7396703486955994, 1.3380818952420226, -0.8400029290562254, -0.12613995658077287, -0.892410276450743, -1.5343420966234087, -0.13758053186269148]","[1.0902701579774996, -0.3276065053412087, 1.4697481384767308, 0.7632997930483243, 2.0388790070191285, 1.2849306417557966, 0.3301500605245815, -1.0418242345903015, 0.06572398825119638, -1.1307938832503739, 0.6949612105650598, -0.9118868881793191, 1.2877638673692355, 0.060211549922531235, 0.2935998203717562, -0.09250903795381826, 0.4495497313687299, 0.04027637917203361, -0.44725380545474935, 0.04965064899663909, -0.4737679137315117, -0.3444327441285124, 0.09873019455209742, -0.28668252407053874, -0.04479410349164734, 0.22032872811523194, 1.2594267593960855, 0.805040338150327, 0.253733859608502, 0.03629411162558476, -0.10340938411874144, 0.12886175923029589]"
"[-2.262095501835939, -1.1415505194076583, -3.1608145185858096, -1.1666211826883357, -1.258778002336618, -0.33497624714033025, 0.01620557234957667, -1.722053318071444, -2.5201035200699913, -1.197429819041161, 0.7062177530051461, -1.8873955516270995, -1.0770083415271305, -0.568410853678731, -0.5154549391006934, 1.7158523441766447, -0.6125880863208393, -0.2273044945254161, -0.5130348085744441, 0.1521698821213857, 0.06904117044801016, 0.45137821097815706, 0.5979747514989779, -0.03190544829152972, 0.12925534862637963, 0.0686233980353603, -0.19700298087212464, -0.08206232472629962, 0.38877182734669874, -0.26768042310415185, 0.21813349468300344, -0.8463977800147654]","[1.8843438618350452, -3.1977693011726522, -0.0832840603148675, -0.05606655966486866, -0.2401127357620952, -0.15885885126179672, -0.6504554303768234, 0.3189056093194988, 0.1670602458760282, -0.31488878920879154, 0.525234504372764, -0.44711086099747044, -0.16530708456650395, -0.3032697137719666, 0.40538640854909386, 0.3077207208896868, -0.4274634684204213, -0.12928432221262146, 1.393813203957573, 0.27763561530423236, -0.1223806388278331, 0.025157166533952058, -0.2049634725831345, 0.21043078067670917, -0.1490369020985117, -1.007233322196778, -0.6310283503704638, 0.3072962745897573, 0.4346194564254448, -0.012674184661407765, 0.4155508082640839, -0.043479650421944106]"
"[0.8846700674409153, -3.803163143937629, 1.9979895006545605, 1.1280384257483707, 1.3442275690301582, -2.362763711875496, -0.8056941392009578, -0.35554960586603734, -0.05436982819581671, -1.9095175639050945, 0.5674224544847546, 0.23348654902703175, 0.010172257070386435, -0.22986997693305306, -1.2094206519711446, -1.3135959572893046, 1.2092280331915786, -0.10618603182382891, 0.8992506750246312, 0.8006805676702692, 0.11228363689720079, 0.8161915766922776, 0.3854272182881247, -1.4088199780718091, 0.20785904742915695, -0.4717422183243022, -0.583041277912478, -0.5236507740847456, -0.6819850112569495, 1.3584128309990942, 0.2741266972802515, 1.1399024924254797]","[2.290657729386755, 0.6645002280024014, 0.4786641419124714, -0.6669809246195199, -1.3726165370327763, 0.2766063569706649, -0.051167512844393755, 0.46077002945813833, -0.43873696122487044, -0.19824777681354083, -0.4813447701845438, 0.4093915987648036, 0.3766856137862889, 0.26518869359975716, -0.24194977437049267, 0.06240845726881953, 0.8118365256386156, -0.2626061110566584, -0.38648919615818833, 0.3384239255947227, 0.20303284436414717, 0.19783348423073502, 0.3540185752118887, -0.6687250330614692, -0.27235457829729703, -0.17066312191176342, -0.2725771858318938, -0.6578985875850432, 0.03482955490471614, -0.2883123953119259, -0.31622232706131215, -0.12728904607765784]"
"[-1.3556946188309136, -0.5167766257187318, 2.114055001836533, 1.6655597736974344, 1.1574610350568193, -0.04432876677858709, -0.08935109462767626, 1.1479694895141597, -0.2751595825336611, 0.11338649133256948, -0.493205396637254, 0.8186038965361959, -0.6989677258106428, 0.06958832405687114, -1.0115718641228117, -0.44107398724745556, 0.23693912085845048, -0.5061059174292165, 0.5453050228230566, 1.989557187041705, 0.8412184293531011, 0.6137012938845231, -1.2072221476117257, 0.09858138793367488, -0.2223644458613748, -0.516830799787936, -0.36813809306008716, 0.8179933916977948, -0.7633190516386151, -0.7716484739819622, 1.0617287724890525, 0.3339087879726312]","[-2.331817376663325, -0.44459230846093223, -0.3721361992645916, -0.5925499497085343, -0.5583721656982654, 0.4061272887187331, -0.19767110698476717, 0.3251691968567866, -0.37034445865147353, -1.1690677632082886, 1.1722828664858111, -0.6550531307145844, 0.7438205766677592, -0.39109977281717684, -0.5563630936816891, -1.109198010102242, 1.1390326118335647, -0.49452830712429474, -0.06885882885443693, -1.328867601780591, 0.42281468814257084, 0.6803613874990769, -0.747294013250154, -0.505607838004543, 0.18981974948813743, -0.34370471017336773, 0.10450457962973439, -0.8552783444064616, 0.5998742011283023, 0.2748690774283222, 0.06854452506163565, -0.007624108446488753]"
"[3.2019950657591343, 0.7883985956918977, -0.47255629628691337, 0.9322384189201182, -1.2161828973253412, -2.5712407659247978, 0.9063119360936499, -1.2603615258975562, -1.019636525943429, -1.3959568318042008, 0.002153843354180705, -1.4329935972271086, -0.86974778180231, -0.10815656936253135, -0.5248886843372531, -1.009669445075034, 0.8929570519982183, 0.12700600267689305, -0.10859270180084979, 0.36196755596079133, 1.1400966565637976, -0.537276360048835, 0.142831393879239, -0.09089127289290024, -0.4262145667685022, 0.2643982436083355, 1.2395142678156046, 0.284490499605773, 0.04877503404753348, -0.8109796670339211, -0.10573879122035218, 0.823406596183273]","[0.5094991263211366, -1.9539799782411438, 0.8627862575039981, 0.06729093133660595, 0.9043271021846847, 0.42158131404903676, 0.8332433630016932, 0.46625120711242346, 0.28692594244955283, 0.8952027160549334, 0.09715716324476815, -0.6331361404087172, 0.3705555124695004, 0.014177051258420888, -0.22533446301380788, 0.48405534817612944, -0.2368504984588817, 0.7280369810981405, 0.513106608791714, 0.5153092605735816, -0.49090841606614216, 0.7082379122345535, -0.8351715190676876, -0.4074033420959823, -0.9640609924681293, 0.5731087897198868, -0.059047732855640016, 0.4262706308153309, -0.7209662999504918, -0.1039779852266913, -0.8495046936491107, 0.15940465601982268]"
