image_embedding,caption_embedding
"[-0.20717131051582463, -3.0632559982343532, 2.70426149439694, -0.8247987175983484, -0.5596677248312995, -0.029689920772064535, 0.24619221675620426, 0.5614715379839208]","[-2.4995614315091217, 0.07512744415028914, -1.7432516909400375, -0.6395373205398539, -0.8904040382754712, 0.6921971325971602, 0.29720992725485257, -1.2316182167884793]"
"[1.5052822800812569, 1.2004786155695657, -0.36261484318251336, -0.05014071143380479, 1.6948351875582535, 2.785444952528619, 1.6338661280973292, 0.5548901416591336]","[-0.95559583144414, -1.1391687185838506, -0.06852509824762612, 1.1493262145527703, 1.4386597734854851, 0.8803316259997533, 0.40732347158127774, -0.4856930251449004]"
"[0.2802227736601821, -1.831860896052778, 3.217886702194906, -0.597187853627578, -1.271244637805573, 1.070749150682119, 0.14835854049510877, -0.37558467108839033]","[-1.9408619388820916, -0.6630775253189441, -0.2823912907596015, -0.3378484533302054, 0.22261217821440382, -0.19527328776217504, 0.5911270557948551, -1.0416736345440694]"
"[-0.1525098313929757, -2.284092433384795, 0.26755613941761996, -2.2910904135835652, -0.84955323825782, -0.33254499910337904, 1.4581583691930096, -1.0296719443792373]","[-1.7456331298463834, -0.6971221819272992, -0.6556578430356859, 0.3186831000673117, -0.7715354981835919, -0.1881442781565885, 1.0545361226602377, -0.9686315955006233]"
"[2.722184916863628, -0.8233268426921858, 3.8419246273816636, -0.005571497467998822, -1.390022478484463, -0.10147791568383303, 0.8044657989314601, -1.6613458703025323]","[1.4434824123320782, 0.8103286250695445, 1.2634778724202962, 0.7069626004034537, -0.009718632605480245, 0.9630879919909145, -0.22498365357509287, -1.1451601543411818]"
"[1.9944368372116974, 0.3084637204472401, 1.6318171919859072, 0.4411892690181657, 1.981323783298564, 0.08229557939333974, 1.077798044380943, 0.0809703135282406]","[1.0902700452219634, -0.3276091617056945, 1.4696098935862871, 0.7627440431291527, 2.0392846415595614, 1.2779636623609754, 0.32739440483054855, -1.0316785529456327]"
"[-2.262098591502776, -1.141525483131468, -3.160799273948534, -1.166358068667811, -1.2588896321694425, -0.3367100153806311, 0.015689365372362207, -1.720903514670528]","[1.8843440774129159, -3.1977742962107976, -0.08289706064672746, -0.05706624467201506, -0.2391597677539436, -0.14938372257227836, -0.6464910948481062, 0.308514234376237]"
"[0.8846594317591548, -3.8031309300009037, 1.9979186414937329, 1.12872572797577, 1.3431007199776708, -2.368482593748908, -0.8078454264033956, -0.3568265825767427]","[2.290657772623706, 0.6644925778224884, 0.4786148023865626, -0.6666395481060404, -1.3716208542749846, 0.2741924551732855, -0.05038530033810207, 0.46909769556425346]"
"[-1.355680243702687, -0.5167586874637176, 2.1139181591577105, 1.6665507586042771, 1.1565718214858367, -0.050579762715797415, -0.09117545964222497, 1.1460376980632603]","[-2.3318174062485832, -0.44457521979336007, -0.3719696075842626, -0.5935828104591422, -0.5574520592578225, 0.4122145902190592, -0.20151747429893277, 0.31967042710409443]"
"[3.2020020070321213, 0.7883988212658303, -0.4725670363077639, 0.9324416343157497, -1.2167033237848268, -2.5745845103665568, 0.9051963453914099, -1.2622721571738236]","[0.5094990430130236, -1.9539720127108868, 0.8628841598594605, 0.06666467194780741, 0.902591121954087, 0.42279399774676013, 0.833192365320592, 0.4654808021178989]"
