image_embedding,reference_embedding
"[-0.14244271654645113, -0.9169997255132004, 0.3768640683467721, -0.035788771754123594, -0.5671637199457131, -0.35488638517403165, -0.6460585757853908, -0.7067686806596106, -0.48376294297502553, -0.4914653610553155, -0.5672274706752912, 2.1718743503498703, -2.1710682911816868, 0.7722126065093703, -0.011167909251192062, 1.6950297885144259]","[0.8751921171686972, -0.39628531782583404, 0.6622670869688814, -0.10730924141593247, -0.6649998940361111, 0.10003355071986744, 1.0411773298986469, -0.43202807917659225, -1.201106152731611, 0.052679289236651355, -0.05820933995959255, 0.26084458410580874, -0.4126767429064216, -0.21094982024809397, 0.17830770058042916, 0.22597477989086037]"
"[-1.3498982456053952, 2.0930751403994625, 0.9812000783113777, 1.6208818515236738, -2.0474323661739717, 0.6648871079428306, 0.8484725665887735, -1.0322076700580587, 0.285390146511976, 1.481385489994243, 0.3028184968543997, 1.1108042398611326, -0.5673675710235253, -0.8198356156272792, 0.3091387520716695, -0.9755878556861459]","[1.6114963136036973, -1.0668629711259259, -0.05639374345545108, -1.0666294886302805, -0.8665468697412018, -1.1517272670974972, 0.060621226013591, 0.2977587900344258, 0.1249161433829043, -1.119960714229771, -0.32777450844306066, 0.08808782393181766, -0.14637921115093355, -0.12392519674574944, 0.5662089042060271, 0.08271338119969036]"
"[1.4349242828897044, 0.1590427366834688, -0.3410979557958539, -2.3058183592179566, -1.4439056923655085, -0.8463236778885553, -1.628971155354872, 0.4226825114028862, 0.09580617423634963, 0.10140992022709339, 1.544041424399542, 0.853091171103386, -0.3292323696218266, -0.8107353940861843, 1.1494021774326537, -0.2672025155141578]","[-1.1932131533492023, 0.24814349922136658, -0.45360315294701903, 0.16217409420448745, 1.0054185790622343, -0.822635617667618, 0.30917561679504274, -0.5028007153024476, -0.10701210461946434, 0.13518295709983064, -1.5414591466783891, -0.13238659267024752, 0.4691642664819891, 0.6352255684721511, -0.2796602557099688, -0.3311711971373723]"
"[-1.967028199847174, 0.6359171130164268, 1.4377371580239864, 1.5087842002597989, -3.2158960374785517, 0.5756650536581838, -0.7110000735968607, 0.2019505093034849, 1.3695161986133846, 1.1165087409196925, 1.1721231425584033, 0.6984845397603245, 0.07891128626175152, 0.047619238404121904, 0.5657093748618128, 0.4452417554470049]","[-0.7409131174677549, -0.595287012194084, -1.6575458281685747, -1.1504892648622709, -0.8369336358921923, -1.0332269500392641, 0.11924121678010013, 0.07680326848270656, -0.09009613271315131, 0.16408648486500124, -1.1416362421874227, -0.30135935186687807, 0.3133352775585333, 0.36620408396744775, 0.07252623382438013, 0.5801635154614685]"
"[-0.17085693806050417, -2.119423716636479, 2.753530760651104, -1.6190360157697428, 0.8393004847773755, 2.696013947616011, -0.937077844827995, -0.42926151757719705, 0.9350934119043346, 0.7581154905757443, -0.059052198690532576, -1.182607272996722, 1.4271302335957383, 2.4461342755311564, -1.333891979650322, 0.4258038732968501]","[1.9088050839504382, -1.0735878458493036, 0.17545744047439188, 0.6471608419568812, -1.841211590226344, 0.3293332517807687, 1.5294754001462356, -0.2881254017321724, 0.4758503517847955, -1.0500762302091535, 0.2727409411791797, 0.43869709473225754, 0.3763184136932343, 0.8265896771911723, -0.3242207651449544, -0.3953600479630755]"
"[-0.19342737409235933, -2.0425354920838603, 2.6444813717693387, 0.4776875493776915, -0.07382593656863647, 1.7333903920565568, 0.7388446593990405, -1.5901570940715877, 0.5614276303135787, -1.5145930783909431, -0.5874064725880712, 2.3623000908818477, 0.6373622157017576, 0.036421003378075044, -0.6985776968035691, -0.7852025275968355]","[1.6698929278546093, -0.8178399986919929, -0.1899986097745186, 0.7197010013942049, -0.9074280103171418, -0.11239946012322934, 0.2903817525035453, -0.36963279894309575, -0.008570917733710846, -0.6366758128970169, 0.3207854514956667, 0.7052524216727196, 0.1860720416346852, -0.880387018114034, -0.16485716527498712, 0.48551549412888867]"
"[0.4650840292571802, -1.6682633953588735, 1.1500833559435, 0.4724170599350815, 0.13808978783427064, 1.8001780523432944, -0.14674800403695304, -1.9134148374263853, 1.0482334072637922, -1.2202490562920014, -0.5067781941650076, 0.7877566399653124, 1.485883771490818, -0.39222470317699254, 0.3883832937031556, -0.5845735012879638]","[-1.4146572425410375, -0.5094848972708504, -0.379262402155268, 0.7279268309228392, -1.272029631527068, 0.20218992638054037, -0.7225563076579635, 0.4326696671636794, -0.5900710297101044, -0.4686481770281957, -0.2016917767188081, 0.292217246446689, -0.6528691720459642, 0.09262613103590778, -0.057360847354016045, -0.11794202539666182]"
"[1.0533209207959682, -2.839144111863504, 0.33757268978038907, 2.601006180613, 0.7850650241038704, -0.04108942404890268, 1.1981228613664576, 0.2576399553669914, -1.4207050580130927, 0.784802711263043, -0.19159654833280085, -0.003910421434163661, -0.36559280747288303, -1.7703399843288448, 1.9345699702744203, 1.4962276939170036]","[0.26847137580225183, 0.22487306102927182, -0.7231296135912093, 0.5373644606532186, 1.6582600113023882, 0.37003012766887594, -0.24511456770623496, -1.0110761482771504, 0.4326800887893483, 0.8442743861261321, -0.45668550962431276, 0.3164419793427011, 0.6348433791638619, -0.43143564628306785, -0.3089631059537914, -0.13973058730258767]"
"[-2.5156463624113115, -2.552238548762074, -0.1943526443747803, 1.6393024141371058, 1.4671942626348624, -0.020217712992264696, -0.6895932744732335, -0.04502457977560953, -0.15002172740044106, 0.3359352215536018, -0.4797648944586528, 2.2748551526283918, -0.46410458178285, -0.6951723724527018, -0.269828277890082, 0.8382861575276287]","[-0.1231185972028617, -0.8186353100784256, 0.09467265794709911, -1.259118266918988, 1.2522981508696138, 0.9699726860111136, 1.114474490252848, 0.3957745653684101, -0.6849166726168374, -0.03317386094487083, -0.19475386037218037, 0.07313751353298549, 0.15411881575243533, 0.21917361338643046, -0.19732244271969918, 0.4954430267462048]"
"[-0.5306733280643339, -1.097484438471319, -0.018860499800657862, 2.7647413447654934, 1.5694253690955675, -0.664432178752774, 0.7106218707376444, -1.5761558676658474, 0.9442964706987751, -0.18469238269364102, 0.32988990094855286, -0.31032472979437, -0.09202555269737914, 1.7923556518198203, -0.32166552995938186, 0.05810767162643327]","[1.3296071842643342, 0.3677199500269207, -0.2011936372871007, -0.8200531252190142, -0.341749038640621, -1.4415175803525533, 0.3309418180001065, 0.05550254493903538, -0.3436799480838945, -0.17356744041074126, -0.9379145671067081, 0.8327545877951932, 1.3571407026494728, 0.8804885847825304, 0.7317421754062093, -0.4822846764536481]"
