image_embedding,reference_embedding
"[-0.14244358456902714, -0.9169989448110566, 0.37686456941730123, -0.035791360668918415, -0.5671333292471571, -0.35496153782556233, -0.6462526186935872, -0.7069444334089657, -0.484246662133575, -0.4919775783418754, -0.5662165295466721, 2.1707714527919975, -2.1728920041332036, 0.7756596855034846, -0.0010475741993604625, 1.679994764949086, -0.8425900584701551, -0.006641322550451373, -0.21988871008043664, 0.7006860879398696, 0.06758436306993015, 1.6330378532835932, 0.4875804722637926, 0.26962433591215085, -0.013052010909158572, 0.38807796910225006, -0.31982827242857487, 0.7774430618785346, -0.849677826583531, -0.6196614519444783, 0.2696175185998308, 0.27076476340021854, -0.13140101160036916, 1.432482955352646, 0.0822160953621562, 0.12975150270947947, -0.21836167229546075, 0.1411796975292565, -0.4319236586788593, -0.18325113087704278, -0.4844351797076426, -0.7280121247590433, -0.9780936165469183, 0.10619128497424735, 0.386553398343892, 0.11747032136004917, 0.6395989674195758, 0.1333352457954567, 0.6498438238158631, -0.18519452883325344, 0.08266315606422499, -0.35873553961229965, -1.242065771628269, 0.8156273049126425, 0.056213378071785, -0.2429774416895693, -0.01726318846550447, -0.14078477542053877, 1.1038601361087794, 0.9901311318753302, -0.09093536523887762, 0.17315162038936968, 0.5889834212657957, 0.1757875505924436]","[0.8751920641562211, -0.39628533872467137, 0.6622683776451246, -0.10731173256639955, -0.665015212425438, 0.10003522950163735, 1.041195789531527, -0.43223420668817103, -1.2010003870483927, 0.05271712674685213, -0.057960219259495425, 0.25919215214096275, -0.41387046031920843, -0.21734282209100544, 0.17061088931212195, 0.23728319737343995, 0.4070045687579843, 0.6894285691681071, -0.37178115319208355, -0.12853779068258303, -0.7446861716368113, 0.20704712342301415, 0.609088685160193, 0.2213389967082974, 0.25680179146577614, -0.5141859942859298, -0.08339274016908736, -0.34708393478539296, -0.271189897647398, 0.21284222189102592, 0.36965466307914685, -0.010375258507984647, 0.4530123710323451, -0.6416328251451497, -0.47283592232823746, -0.24024567334699534, -0.14471650065779612, 0.2307544843066005, -0.01997841273073245, -0.27478599110613894, -0.011445068992983769, 0.02544745380297991, 0.14123064858480017, -0.3896507902777069, 0.215090726688988, 0.29523036464264873, -0.1674785271991164, 0.4037497956677959, 0.5269764489100245, 0.37591831299100953, -0.029526578312024643, 0.03146529181291426, 0.18635837829611143, -0.019102187147073537, -0.27678685079897625, -0.10833444598666536, 0.20259463966285804, -0.06751616231037533, 0.11924037485455401, -0.021666633112996405, -0.2280406457900162, -0.2890344368714443, -0.0885737395463612, 0.29351383797812536]"
"[-1.349897603200469, 2.0930730317841517, 0.9811996152601651, 1.6208625425763215, -2.0474346169712705, 0.6648030344600795, 0.8486014961881662, -1.0320590393223754, 0.28523058062064877, 1.4814223593764075, 0.3036236612538333, 1.113130567071681, -0.5625102331784078, -0.820269826774675, 0.29706357745100537, -0.9716153254650588, -0.41334675432264045, -1.0971164875105706, -0.3200284344790139, -0.4607852930749696, -0.3934551585021181, -0.021321257882265025, -0.7898979921163326, 1.1154698243131047, 1.3596015738528315, 0.35533511999457434, -1.2134147539981703, -0.5482913289537623, -0.824302430435284, 1.7255790280264303, -0.2757526941884407, 0.31287685989887815, 0.002448988949084853, -0.007758796050822667, -0.37948349159596806, 0.07125058065338111, -0.7247222483891704, -0.6164829667368603, -0.9154443811479296, 0.3163561953239299, -0.14303131265495836, 0.6286982819280965, 0.7618914956997862, 0.11500071117555853, 0.16488305910269382, 0.12092270499941662, 0.7957871615706937, 0.2988793922799018, -0.15160581536563553, -0.24095873832565465, 0.10388369782797843, 0.5065446240492851, -0.13526957364839753, -0.2594665448832181, 0.15509546603466287, 0.39415108192080434, -0.7246208040685775, 0.34319484257050037, -0.7290929986862512, -0.23055472550314945, -0.40914524760088755, -0.19994710012650393, 0.3254641966707433, -0.2124216400570716]","[1.6114964380844843, -1.066862549375796, -0.05639572919774617, -1.0666339861430454, -0.866511688248805, -1.1517306998262147, 0.060566445538525845, 0.29827989480308176, 0.12445115134582468, -1.1205108031371604, -0.32736755977644494, 0.09019936094863866, -0.14176162528958072, -0.09951389567932226, 0.5863603311952815, 0.0770613695219478, 0.10327030752997843, -0.7626853752516094, -0.02552032024090372, 0.21452263361295365, 0.21029486120603674, 0.13604813737424234, -0.007194106032135248, 0.6223716311371646, -0.09403301786162929, 0.5764958650456207, -0.11636765959872322, 0.39278831985677437, -0.4135825056099831, -0.04332681208223591, 0.26231286224294675, 0.35640195426940746, -0.20023071764291636, 0.18160119490222354, 0.3509859154077085, -0.2394413171366866, 0.37400924000763747, -0.026029970568698744, 0.26907464947495685, 0.050129487405011906, 0.5648859593447364, -0.028240931508630662, -0.06580597895923784, -0.012549401965489917, 0.21892148723062851, -0.16299122656860854, 0.15036896036509678, 0.056339243661535296, 0.1925590003961645, 0.12442992569497242, -0.17852218858811644, -0.02433118036986372, 0.032114054337929694, -0.22476980335002425, 0.10348882047574767, 0.34316150507593257, 0.19182076403616627, -0.2860047274008345, -0.21034773100154627, 0.2744539453637911, 0.24380285692914908, -0.26585425586271055, 0.21271540793941193, 0.19040347364345106]"
"[1.4349236563337346, 0.15904221099754562, -0.3411011413516307, -2.305809558935051, -1.443898173300849, -0.8463491602652831, -1.6289741686306554, 0.42270076241903665, 0.09583809344536101, 0.10113974899622057, 1.5429527272234154, 0.8541233657273318, -0.3281866724740516, -0.8094205328688053, 1.1478137440842602, -0.2590976274417377, 1.5882337955683163, -0.5092437022749389, -0.5050454993652357, 0.22798976405374557, -1.0771989689400814, 1.0914394061560448, 0.3692634460767191, -0.5549027810572781, -0.006452839556068413, 0.1415870879396074, 0.23274259718567342, 0.39356119656690985, -0.445044023070929, -0.14631756222645526, -0.3394947766201605, -0.33405079737085963, 0.37949266447052643, -0.6173627883913686, 0.99935646691708, 0.35895524497516007, 0.1326030417230924, 0.015934214301322122, -0.5784956054815731, 0.33569151882935755, -0.1118691717670068, 0.5998266751070518, 0.19979508957989753, -0.11313049163263039, 0.49717251356166614, 0.48072728459374375, -0.2751007582596077, 0.29166300393873906, 0.18942046761879236, 1.2694507775335127, 0.12443203700552159, 0.03131842310899314, -0.6882450337085062, 0.13409086973647236, 0.8989115734907795, 0.25240329377686177, -0.11303535467291922, 0.12253794382051003, 0.7948146352143036, 0.10866438525757628, 0.7962206485574652, -0.06963772852573652, -0.5645694274536627, -0.49010846872909003]","[-1.193213215012161, 0.24814390961812474, -0.45360554503477646, 0.16216891459714117, 1.0054445636827547, -0.8226213584765412, 0.3091515699730599, -0.5022927937126566, -0.10761997428885217, 0.13453955460442632, -1.5404174770791879, -0.1307205534698289, 0.47580551911372376, 0.6473739770457775, -0.2705145075274617, -0.33118200042095447, 0.16518583165535364, -0.2533025100245936, 0.8282305554454911, 0.31650594177613917, 0.4699342600121609, 0.3470043070710405, -0.35894139945766484, 0.23720621027240588, 0.2805145303539945, 0.3841018462394284, 0.319134724740709, 0.03533707712132738, 0.542399947006348, 0.9889238962435245, 0.0030824810252365604, 0.5388049871560098, 0.5146551702723432, 0.7487392871169546, -0.15831261046426692, 0.21977106174299224, -0.39846789160592594, 0.43066850493152214, 0.3100047761598604, 0.005280191740764737, 0.12326779722426495, -0.31858381352723936, -0.5074922434927306, 0.10959890175035344, -0.795223623472385, 0.46399298875023975, -0.4681241780452965, -0.14392291048755612, -0.07887715343851066, 0.5433161196042027, -0.14434320150400254, -0.13343107091955334, 0.11574675253170848, 0.2820212385386016, 0.40305523166743046, -0.0584663491681407, -0.16362128114343147, 0.3174797816519822, 0.21812815423682172, 0.3604308987104713, 0.5065430394154289, 0.14880973462685365, -0.026810916363177797, 0.13871974131081788]"
"[-1.9670282669253567, 0.6359116090917748, 1.4377248859389469, 1.5087766047248568, -3.215910380101817, 0.5757232063037334, -0.7107537004603258, 0.2020694137580144, 1.369823973458279, 1.1170859657196872, 1.1715597673954563, 0.6997486494569476, 0.08031354561022638, 0.04415747983673935, 0.5540477245324613, 0.45133086625257346, -1.1235107433406515, 0.21306570674202124, 1.087133362531668, -0.49776284749319744, -0.37221385061945417, 0.28677911680226476, -0.21231081518377548, -0.8608384751390097, 1.6285607679874652, 0.44540199396903835, -0.02723432022181981, -0.22849226815727866, 0.850340689212885, 0.21338328903134024, 0.7512728564771098, -0.6424689783083573, -0.1767650703153115, -0.37517809681673203, 0.03427231736351708, 0.4234587300740027, -0.5177879670111781, -0.6149943004979332, 0.3734425759493013, 0.645618781295826, 0.17365068779019094, 1.0941083823790556, -0.007196522090655432, 0.14489529739386992, 0.2900288861442898, 0.10903014162419604, 0.6295722939111543, -0.10779843117407692, 1.207705699612558, -0.2580701648930012, 0.3187584265987137, 0.15954538018610687, -1.3180849551789708, 0.3341973675419481, 0.2382624081264481, 0.6255336579712683, 0.5418646851770348, 0.037714097998267936, 0.08569257619528436, 0.05376360177119454, 0.03501907479962119, -0.2644550338565487, 0.07045910932473019, -0.13981128973878948]","[-0.7409128504508875, -0.5952871887951521, -1.6575489254817959, -1.150497315723372, -0.8369154266018416, -1.0332471413751931, 0.11915392730485139, 0.07744899052486866, -0.09070977246188232, 0.1632248589828329, -1.1406107810204302, -0.29945030008774065, 0.3181342262005896, 0.3905783969401739, 0.09122314488563063, 0.588037966694284, 0.19219784716122082, -0.17246038511356826, 0.24395831191014464, -0.32903324473863327, -0.9364254439049448, 0.024671394021342274, -0.10929489809297291, 0.6489316800790801, -0.49328335687964686, 0.15130351745411133, 0.21772824236281438, 0.10016184224917121, 0.19156472683620934, 0.13725845284604457, 1.0069744533548957, 0.5643069647581167, 0.26263553865550626, 0.155927417672694, 0.6924732127806992, -0.28429038015732505, -0.758883652913526, -0.21962328418508725, 0.4931991670861739, 0.27377271242905854, -0.2537757306468377, 0.2447251624213129, 0.6362785024745854, -0.5528613857426399, 0.023356072246282094, 0.21666834802328575, -0.1642201144738265, 0.2462890895977095, -0.13431310350041292, 0.5402239739034952, -0.27686533533605195, -0.19286320471849816, -0.18846356088563243, 0.007871562726699182, -0.23733276496068437, 0.02322405390896206, -0.13661389129061563, -0.06660798670967874, -0.16725686442951412, -0.059546882578171326, 0.05497644161928921, -0.08558659989805711, -0.13335911283948568, -0.1623089678285879]"
"[-0.17085606595012554, -2.1194215550978286, 2.7535257644715796, -1.6190263294723484, 0.8393138968995204, 2.6959516575237665, -0.9368772882399133, -0.42888255229328653, 0.9355808183686775, 0.7588126376060882, -0.05928377345065952, -1.1783637836304064, 1.4331819262011432, 2.4435267270104126, -1.3367116046989553, 0.44133018531135304, 0.44676276891099004, 0.12302550603321676, 0.6617948913017091, -0.2396344201182765, 0.9669480595044946, -0.5909979607934941, -0.26187753706434475, -0.5968798494480334, 0.9791672294139437, -0.45466814355703294, 0.6084370902372765, 0.4930275189561327, -1.3046400802627016, 1.0104778372685412, 0.5731077258714574, 0.32805803810769407, 0.7943533338037725, 0.1500548502949406, -0.0007025850199352626, -0.20136728364976764, -0.1863589399192593, -0.3558060536198826, -0.682345822868786, -0.4545880628956118, 1.0333304608230007, 0.9276049180065216, 0.21494826136527004, -0.8511222714835055, -0.03880715379582313, 0.04114451552552786, -0.23248336511813159, 0.5539467184045656, -0.39724158101762164, -0.19866773517344413, 0.878180653581791, 0.5498415444084102, 0.10913495567699893, -0.2877518407561439, -0.38761894309020445, -0.04324370947623295, 0.23542641873181033, 0.31812612860874906, -0.033373770329985036, -0.8113261775463233, -0.5328187018788467, 0.32752419859126713, -0.18206334674067887, -0.36549011740125614]","[1.908805115724931, -1.0735881121712623, 0.17545735448431404, 0.6471600312306498, -1.8412150024043548, 0.3293474851597452, 1.5294550894330614, -0.28801911598109947, 0.47558611212530233, -1.050145021693967, 0.2730032115053133, 0.4388110436900711, 0.376797487594468, 0.8258260753508117, -0.3376005557909822, -0.3918633245484936, 1.016255600469605, -0.401254204250666, -0.045640742349310585, -0.30600586379307093, -0.22531819217385327, 0.17074210706567494, 0.4592145963521874, -0.4007258707967692, -0.3070552265574, -0.13083613203900332, 0.1097644859761053, -0.4051733753930931, -0.23915888755439305, 0.9920311324224216, -0.12233880714820912, -0.2760308495996709, -0.5209809138037707, -0.3215766924429568, 0.09079830335288727, -0.1204363139318103, -0.22226379706014424, -0.33482330095939156, 0.3110111318141474, -0.20238792605017825, -0.09548672056801304, -0.07136557437531926, 0.46088590612727914, 0.08794574821678684, 0.006360022220459664, 0.1870865279869098, 0.19417678997600932, -0.028484408103685938, -0.027285738593430642, 0.054505567321449594, -0.39491086332266157, 0.02331070983194725, 0.05019668272281735, 0.01355168618998928, 0.20689807234595906, -0.10297375607966334, -0.07096214981914462, 0.13818542249234725, -0.09351846625328826, 0.2266048213105938, 0.2202559534266439, 0.025570690008899655, 0.1587968524501745, 0.1815890733903007]"
"[-0.1934258062417649, -2.042537068447277, 2.644487131806698, 0.4776879143538391, -0.07379424947713341, 1.7333180369817078, 0.7386723381870788, -1.5902077070261933, 0.5614337178806522, -1.5141156364415833, -0.5868922723302444, 2.3637851108110755, 0.6366663651805472, 0.03696884378479916, -0.6929232153181079, -0.7873786280750251, 0.08974566352436372, -1.518540871004911, -1.0905005901141165, 1.2160755240934087, -0.16095720042845726, 0.6940226434544889, 1.4344580580759871, -0.2561381435808875, 0.2360098436556019, 0.06787266157127297, 0.5050521514074642, 0.8959561827165773, -0.6338124047907615, 0.06859141895645808, 0.815890402414142, 0.7739233800076266, 0.1260351559760649, 0.402372910231248, -0.08024461950080825, 1.9676399798446986, -0.8098566559273725, -0.38306252409768377, 0.18411111111352596, 0.06919040293407612, -0.04977065742925196, 0.23215195383126147, 0.11066700957283265, 0.21322498313567328, 0.022899415044982108, -0.21633602433694685, 0.9883356284228492, -0.0563015257391572, -0.5565146679421635, -0.06907379200703355, -0.2186243784996093, -0.2702918246910018, -0.2441120179275519, -0.5425045749470997, -0.13189640562033364, 0.11293571877052765, 0.11278303227850645, 0.2924310044567115, -0.20794188713864092, -0.4194924119112095, 0.09292078798743289, -0.11520861214343221, -0.3134212022765145, 0.2923736634266793]","[1.6698929084548242, -0.8178401790465948, -0.18999816842288747, 0.7196994673282984, -0.9074373257544481, -0.11240212011307553, 0.2903900879974542, -0.3698112606094865, -0.008489268743118127, -0.6366243282210533, 0.32097436782231165, 0.7042953244852397, 0.1846547094481479, -0.8865083091914933, -0.1622922325726401, 0.49088930704645406, -0.3519976030495748, 0.5334574464757547, 0.6267849546324776, -0.05842669374165801, 0.14889214921601826, 0.12171283236605546, -0.721210964582854, -0.33734092727375686, -0.3171309049732046, -0.22766881838920597, -0.10776741226072364, -0.07809139015375244, -0.23064597825026045, 0.3015134775209012, 0.5306429274769882, 0.17877448525155684, -0.42541204799962407, -0.37385082619973486, -0.515055395558495, 0.006269212040982869, 0.03425226072116808, 0.3315270047277204, 0.020664753550523985, -0.1596145668895348, -0.1489406402594129, 0.16408674030863288, 0.17264806494719878, 0.3440077791510803, -0.03605017272817626, 0.4647687325043867, -0.03586653897365867, 0.4147333331992726, -0.019725923819400092, 0.08212100031020662, -0.11907090786498888, -0.03189558000814662, -0.05673711813011392, -0.07890444630799001, 0.30434567107306754, 0.7063203732934948, -0.06137350488002064, 0.16204499815862644, -0.06716719356130817, 0.4681332146601138, -0.0012348235953765492, -0.2888699917816698, 0.3346192457667138, -0.31772213230396407]"
"[0.46508470085020076, -1.6682535640491722, 1.1500819462834082, 0.47240295271274707, 0.13808206538304613, 1.800067950779704, -0.14699587275195813, -1.913802418954151, 1.0478083192247811, -1.2206495733706435, -0.5070614198594314, 0.7874333134283287, 1.4801569265341945, -0.3931216679989244, 0.4010437047646724, -0.5956664208412331, -0.09968065853971193, -0.6186272912355234, 0.1759914705599443, 0.5906964926117169, -0.8587654756154289, 0.6461920119397958, 0.5792471055489878, 1.2158592699180817, -0.2890446348954225, -0.10760304067208912, 0.38501148438328925, -0.15833353420337515, -0.0035113928715783324, 0.041383728954548706, 0.08266914849728949, 0.14674692334238915, -0.28293151989438997, 0.12926924442538656, 0.4595394348845573, 2.275371866338225, 0.5711184732343917, 0.7921410358986657, -0.020749415374951723, 0.8448848223906523, -0.12277134625078338, 0.17484164178273268, -0.27455780261623025, -1.2973222016169306, -1.0539742513834476, 0.7029434621318232, -0.4008860580972767, -1.0490522170323893, -0.5493680565070842, -0.026622873358437046, 0.18165109706739072, -0.12180323557166488, 0.1391319412442957, 0.005879370907765023, -0.09002529744868526, 0.038659770390428685, -0.11204093482986609, 0.09129001424201029, -0.6465279758958332, 0.7057535633201814, -0.4178732959092775, 0.8690305340204154, 0.3079713693431782, 0.3243855585807459]","[-1.4146572952124075, -0.5094860363054133, -0.3792618370577604, 0.7279341116353033, -1.2720544893039012, 0.20217510085810966, -0.7224893421981351, 0.4323078363005764, -0.589536662521907, -0.46813814782609625, -0.20256848641492192, 0.2906207168082887, -0.657657934907551, 0.07905039270630244, -0.06939541468105402, -0.11941854228728746, -0.5923454369454813, -0.48029124214489666, -0.06687338568080209, -0.4821224604863136, 0.5169514308149074, -0.4300963444145837, -0.6984813490182166, -0.7259664803752576, -0.16381135492108748, 0.1480185200220269, 0.2359868411605184, -0.3003308950077162, -0.2787959405770414, -0.2546901408521622, -0.6643289846526953, 0.204563760147662, 0.6167685313314305, 0.0807292974569715, -0.41195462408617356, 0.24340488255709425, 0.04895189855124863, 0.49358648451915865, 0.025294289540192062, -0.6927255356104395, -0.2147751449018756, 0.4201678439852182, -0.3497329722539541, 0.6638381492134564, 0.1262556505331208, -0.20973173942961706, -0.24427642243677694, 0.07470102401968502, -0.2083117409147756, 0.4438651216738535, 0.7350848689772964, -0.4275735267661165, 0.3271223250368239, 0.3856395390650037, -0.12444714998515848, 0.5734861487000004, 0.5227551328217951, -0.3021529689033878, -0.32585580244166307, 0.2829660665569209, 0.05473639376714062, -0.11877340562172284, 0.09521551241534912, 0.023961491464744297]"
"[1.0533203495793906, -2.8391454899790256, 0.33757185133939727, 2.6010075998920734, 0.7851060888924742, -0.04118532606931837, 1.1979676807503077, 0.2572083812459171, -1.4213175710344732, 0.7842559590789396, -0.18937029246931467, -0.006430131153385337, -0.3662715009489406, -1.767096365339368, 1.9354643820491717, 1.4758287028567076, -1.9190042343214853, -1.2120865920534414, 1.087198087388286, 0.7505836981457257, -0.6825654581138801, 0.6544927338364112, 1.0901029148696897, 0.031315002594339704, 1.0166471816407732, 1.5632678898499386, -1.0372292269363406, 0.007781581537306749, -0.6182286502369252, -0.21537973251789316, 0.05115026070033765, -1.907529302249301, 1.0066393280979966, 0.25899796929009106, -0.9680351557785722, 0.09924534965627446, -0.5479218463759998, 0.3422852058700528, 0.427318457406769, -0.08238938565100729, -0.3964159475356654, 0.3316150221591915, 0.28023669231414844, -0.6503728808949821, 0.8187635574471688, 0.1240310605294493, -1.052984391111607, -0.7412784897213893, 0.5317956610476201, 0.4292635036088793, 0.4645986167006256, 0.33206124155314304, -0.565793807370089, -0.48108085737421385, -0.880325576597017, 0.008329051700290127, 0.13282663949482967, -0.9039558934245931, 0.10663555584389992, -0.0734582591915428, -0.49055809343859136, 0.3948786326704841, 0.7842245397795015, -0.13518619274614416]","[0.268471542853607, 0.2248728185891086, -0.7231255642677996, 0.5373633833001371, 1.658229727079808, 0.37003614876011615, -0.24510076820189416, -1.011436633639233, 0.4329119706436301, 0.844321926442927, -0.456318686960575, 0.31539768022013775, 0.6324946719175628, -0.43960877124934156, -0.31066504596024636, -0.12587645857863, -0.5814027040729484, -0.09682169836732063, -0.12815497079999058, 0.000782890392660636, 0.4252227242872161, -0.02530420233630846, 0.21333327184588152, 0.1568985709160315, -0.2622052420655535, -0.9205696859986916, -0.1854500540693408, -0.201462718794497, -0.008676261952845078, -0.25895385774082025, 1.1277701561079727, -0.27802034716570906, -0.4329679472252876, 0.22967145480228723, 0.4948307831919814, 0.1300252334957866, 0.1266896458780569, 0.4802720783152172, 0.6582761752076496, -0.18939807972552744, 0.5595834539343534, -0.18572160823254677, -0.29860626682794555, 0.1024251130218789, 0.21114155672880905, 0.06499774455246847, 0.2469146518446056, 0.2188428168200577, 0.1315430619800185, -0.26744877274660606, 0.12104471322746692, -0.12527830613514582, -0.6223500016942934, -0.0210343534546786, -0.18137234172762395, 0.46043120150682126, 0.7884749191297697, 0.2633599047575458, -0.13599435825765724, 0.13194371157450285, 0.1557110484050832, 0.001863343376380827, -0.2520889631975303, -0.1099237668950711]"
"[-2.5156454888432376, -2.552237805646093, -0.19436034750725917, 1.639301455429242, 1.4671701672296624, -0.020127201217536417, -0.6894418035621205, -0.04493015575900006, -0.14976013823875864, 0.3364632686029618, -0.4789773920534399, 2.2739038074568128, -0.46470925537425495, -0.6960605511395983, -0.27250473476535797, 0.8388774589616653, -0.30505914843858, 0.08115220110597204, 0.26236909639443967, 1.2095402636678776, 1.245017715629099, 0.4352701555654157, 0.7012169242859101, -0.6755397879467224, 0.47612911724244356, -0.7013042566110416, -0.628467063689135, -0.21514748919692758, 0.43047345266252146, -0.2233320692146044, 1.115464508523063, -0.24271592315762747, 0.6255309730080816, -0.6900885945958177, -0.4897654604489358, -0.5553076669135719, 0.10083315921437033, -0.601842789652529, -0.22803867099620792, 0.7842148729255592, -0.43451279133721454, -0.9499738270913451, -0.4901599053055268, -1.2990959547609082, 0.4697200074301823, -0.6640513806587379, -0.12630490141216907, -0.10946978049442742, 0.3747468778124747, 0.4539685947152136, 0.2618277910711781, -0.09330723177429695, 0.09391396488983221, -0.17683022383386152, -0.07239758494970139, 0.22345868310166278, -0.3786208407687346, -0.019670719940454644, 0.39702533667908196, 0.6666284970070455, 0.8358259298739975, 0.2447691148625711, -0.3724529297283904, -0.09599163292885493]","[-0.123118539693829, -0.818635050194885, 0.09467120644406035, -1.2591184637668853, 1.2523248875425355, 0.9699940181234912, 1.1144420190019064, 0.39602082199776373, -0.6852536555221939, -0.03354912537830396, -0.1943927068863888, 0.07457259869277011, 0.1590479992827972, 0.22738416664149158, -0.1870730553612363, 0.4890284591397411, -0.40982508116112465, -0.034821245424719476, 0.019675227402700002, 0.03821951030442972, 0.265834136205981, -0.21491976148429529, 0.15708444742359823, 0.1822191785183832, 0.4340539445720095, 0.18677954129084318, -0.4827991060566038, 0.40827339159941956, -0.012761083436345301, 0.4828736947866085, 0.06179370664535285, 0.07460352982429029, -0.2549330259776147, -0.11214161663374339, 0.2126022236789534, 0.1123894909903942, -0.0950287939085637, -0.027836232122049383, -0.4659122017719021, 0.193341889026439, 0.06925231675645208, 0.19263787797528897, -0.31471347439876207, 0.03959020706542755, -0.15389379909017878, -0.049780282601768755, -0.2517611826965695, -0.2743181992998793, 0.22375898910506087, -0.18335297229957134, -0.1125393470838758, -0.026109857220476408, 0.27024747842426927, 0.1026459277821262, 0.2693774586396399, 0.12981637530368334, 0.06238790770411691, 0.05312411471666375, -0.09258366922565547, 0.21326496284517554, 0.039855199510452514, -0.29611498109611567, 0.18308544922952696, -0.10217152888843406]"
"[-0.5306742986356127, -1.0974880840532772, -0.018861332423165476, 2.764740301180103, 1.56941250478188, -0.6644479544789239, 0.7105905402359004, -1.5762637494145748, 0.9439869949804036, -0.18511416396080474, 0.32931178634474784, -0.31087610740415633, -0.09226004851025255, 1.7931156348902817, -0.31708651409425165, 0.05950611625428087, 0.1000224961570023, -0.6041924441830214, 0.42501596949401077, 1.4616238622032809, 0.7709192877612442, 0.16156091361664743, 0.4500745749288789, -0.01691825128883067, 0.23928339319488495, -1.2224767410324822, 0.6599746601095615, 0.8525098989146401, 0.3379597555204635, 0.39894768696048793, -0.6692785728262913, -0.926226978464423, 0.2487459233229042, -0.5232860058156034, 0.6335791162644855, -0.7057995957209798, -0.0007440575535107183, -0.28467173604779067, 0.9156025261869126, -0.2194527170844902, 1.0445069182246889, -0.37642141159255765, 0.5496519385984495, 0.7381477085301681, 0.1666920872905403, 0.6703840655676007, -0.8587405122788621, 0.6153906517901585, -0.3709568523888901, 0.12476321592746777, 0.45690862793143006, 0.23812089813855775, 0.33901100848021654, 0.11815669623072801, -0.19159426356329096, 0.7629953067876586, -0.18351187112988274, 0.07470632322542496, 0.30978053468407996, 0.6759749780314325, -0.7751822022073562, -0.17662532251090754, 0.026436567557072462, -0.04308556206647292]","[1.3296072798707235, 0.3677195994782663, -0.20119425490459691, -0.8200561499550378, -0.3417539913363349, -1.4415419922093393, 0.3309363732549706, 0.055658751706826756, -0.34370448594363356, -0.1736883772916919, -0.9376960801031211, 0.8330554248692045, 1.3562391292941636, 0.887217141411289, 0.7229886533237005, -0.4772343251756257, 0.12682541823469307, 0.0528148137163478, -0.5478829786574527, 0.321882169734247, 0.18032127129814207, 0.05644076847277992, 0.09088144444527539, 0.08755271822330096, -0.7074628213771612, -0.09715605021031651, -0.005880741952632012, 0.0470932338215976, 0.17459550737348822, 0.14179435923875514, -0.40839717043252866, -0.02170560245022854, -0.06823501885296639, -1.0869985749120565, -0.10253534233079895, -0.3371572350887409, 0.044795678518025496, 0.19227510259283256, -0.446618602522269, -0.22225427046152435, -0.09203177479891207, 0.042254434091907156, 0.18433976743667635, -0.028681592218838012, -0.0738879305314757, 0.12900524068667749, -0.0953703060228669, -0.09325891272915793, -0.04689740308189923, 0.07862789589596064, -0.012943365603781032, -0.30381061787155106, 0.36300415788190515, 0.19570975837002477, -0.059120273419199884, 0.23209317709556868, 0.09707780494215323, 0.0042435653790082245, 0.009417618332298091, 0.1421327097025993, -0.09068359007226394, -0.18715801020046263, -0.27592763792679836, 0.33814112930819695]"
