image_embedding,reference_embedding
"[-0.14237005350766338, 0.9162664950616412]","[0.8751931155355317, -0.39628830531236947]"
"[-1.3498229979548924, -2.0936746275145626]","[1.6114954450175663, -1.066802843215999]"
"[1.4349786487683385, -0.15938053918618444]","[-1.1931883153155414, 0.2480812271272165]"
"[-1.9670297399773515, -0.6359259865301644]","[-0.7408949899457844, -0.5953120792857057]"
"[-0.1709959197719426, 2.120501840647794]","[1.908783461918153, -1.0735472872475305]"
"[-0.193228207540795, 2.0408088671402393]","[1.6698848425314583, -0.8178167841192904]"
"[0.4651588014226063, 1.6677004993950033]","[-1.4146682838518514, -0.5094985884213863]"
"[1.0532837516303162, 2.839736752739491]","[0.26849797664126046, 0.2247881575236865]"
"[-2.5154999121208084, 2.5509466357025787]","[-0.12312548187345336, -0.8186504879695017]"
"[-0.5307369401824709, 1.0979425754237757]","[1.329628514132866, 0.36768693511429607]"
"[0.17774068081486505, 0.8400656906085835]","[0.7108786662846154, 0.728912657735969]"
"[-0.20124182951062122, 0.6299900991196953]","[0.8778603053997193, -0.32989600985960893]"
"[2.6212534289028526, -1.0152858006324896]","[1.3855114999852927, 1.693953514498871]"
"[-0.6607612013612189, -1.6876166845578318]","[-0.43738704361901615, -0.25379706744033076]"
"[-3.0684680983333283, 1.288843065307656]","[1.3799344683333474, -0.9582568316811885]"
"[0.6798503979266309, 1.9145582692950331]","[-0.9840642907055397, -0.4576391280001273]"
"[1.6048944179277636, 1.2624535801787098]","[-2.065886781832005, 0.0695336070378795]"
"[1.5644492972451876, 0.6204246866606842]","[-1.7252688475434856, 0.19494274895913666]"
"[-0.6093668050173714, 1.4955321505953911]","[1.1101120545849368, -1.3263332335834654]"
"[-0.09007082044775253, 1.5872858205621407]","[0.5418748625473212, -0.9945137785080621]"
"[-1.5470764522793772, -2.2418673599004175]","[-0.166607783791295, -0.30970511789349964]"
"[-2.5836617528956256, 1.4254434245439813]","[1.9664586077125261, -0.789732665542986]"
"[-0.7192910685011227, 1.761101958972458]","[1.8164831031333377, -0.5718918045697833]"
"[-0.23301559533946734, -0.8374628829032306]","[-0.4904159864984161, 0.13416470467610847]"
"[-2.5140999483035693, -1.0648022032788764]","[-3.0711513145859115, -0.9086110767073691]"
"[-0.12651899855849788, 1.887216692821403]","[-0.24337263506335902, -0.8736666438702004]"
"[-2.034820546047612, 0.33167220945310916]","[-0.8636606581095764, -1.0166361712484364]"
"[-2.354537238431518, -0.3740761618111676]","[-0.294816808350116, -0.16417019404682934]"
"[1.0601623299837135, 0.4499738855726895]","[-1.16555864519579, 0.99996604784734]"
"[-0.3065440066490333, 3.042335610215446]","[0.6800021117907464, -0.48308767613710085]"
"[-0.03566940494214665, 1.5286022198047309]","[-0.725499308686747, -0.4701671694260984]"
"[-0.13097990112219898, 2.4871989808182042]","[-1.4536648257833635, -0.718521034413178]"
"[-1.0198762435894524, -1.1835027452300755]","[0.1488066388553237, 0.19500051111642036]"
"[-2.085571438853825, 2.171486592926212]","[0.0557189962154364, -1.2801479142089234]"
"[3.974070065890167, -0.44688568815151614]","[-1.356936194590021, 2.812362720271133]"
"[-0.604315435539006, -1.6007980538797275]","[-0.09792893991584478, 0.6600082361501534]"
"[0.3717919770060429, -1.5593788192630393]","[-0.4041499810345937, 1.1887116677943548]"
"[-3.060663370975494, -0.028688757242526654]","[0.6120170622661403, -0.8960205211146429]"
"[-2.123146228101653, -0.5206141232764131]","[1.0851308238134711, -0.5627599937132375]"
"[-1.8202140321237126, -0.09137683450802651]","[0.0628134937302015, -1.286413616887555]"
"[-1.962890433021777, -0.9532216786552573]","[-0.48111482695259083, 0.25679162909716263]"
"[-1.7193944218112083, -1.8097821955586648]","[0.5933552170244161, -0.8766075735932889]"
"[2.9689941878842467, 1.1188391776633475]","[0.2280825266700292, 0.3259318853484718]"
"[-2.558209827569722, 0.43652672659166947]","[1.2531097237492697, -0.5900575437216916]"
"[-1.880193617045577, 1.0730417139682262]","[0.5708245411175946, -0.4320387215886476]"
"[-0.18601475612111135, 2.208018768760856]","[2.009726087544431, -0.3066764671500185]"
"[0.9487135539975268, 0.2327912022650483]","[-1.251661696292682, -0.3363064371392412]"
"[4.495730498823932, -1.3576057136114672]","[-1.4257761161207434, 2.557356413665868]"
"[-0.228020218689081, -1.1848865887216933]","[1.366998008586829, -0.3221126916088474]"
"[-0.5970497143267599, 1.9233830557123595]","[-0.25466236651128193, -1.3938189398985228]"
"[0.30474745212079235, 0.4091871346844207]","[-1.2190505790969812, -1.2616645315247381]"
"[0.6098898118024463, -0.575963342958677]","[-0.3577930002801287, 0.6861326629482855]"
"[0.435143506647761, -0.23486373453591852]","[0.8034733563266035, 0.4154340011430162]"
"[-2.66637928069686, -0.6196900333142199]","[-0.670077028253084, -0.8503998485683774]"
"[-1.5379878508773246, 1.3124313627575988]","[-1.0548044578009583, -0.8394205429418629]"
"[0.42782452333095716, -0.07662263642208356]","[1.5254459858231726, 0.390443872856825]"
"[1.0431076221235416, 1.9205364855791087]","[-0.6890275884825297, 0.3441073837847848]"
"[4.122200687148253, -1.6973023868122155]","[-0.3533207562080397, 1.969042226734374]"
"[-3.5555860511058044, -0.7662781973150358]","[1.509107330420042, 0.5924006212284524]"
"[-1.6917655935071019, -1.3500320379719588]","[-0.6336791889916493, 0.35178912620347086]"
"[0.5087227095617778, 2.2857113704216916]","[-2.131627770982387, -0.7750731567429224]"
"[3.913764968156506, -1.512951963475691]","[0.005603902673089254, 3.2198884721548082]"
"[-2.0309145557773283, 1.2901984061885845]","[3.4731261717015967, -0.5849244470454493]"
"[0.005819413990771761, -2.311642197987656]","[-0.8084949043370242, 0.01090332865525867]"
"[-0.8396845930832475, -2.312057817142253]","[0.29229966832339943, 0.14169542378991776]"
"[0.03626337402989534, 0.15322129312671348]","[-0.23246959671623924, 0.5397888228896824]"
"[1.6934198983445368, -0.7779455513506784]","[-0.1468611790918668, 1.0072126136482389]"
"[-2.0672604002663606, -2.3293382363955533]","[0.2666061418631188, -0.5620128307743162]"
"[-0.629069533640876, -0.09718647233311106]","[-2.366526105172013, -0.7938568515369203]"
"[-0.9832841752979126, 1.1825076442024653]","[0.3104575955439717, 0.019334816330085297]"
"[2.731535538997125, -1.7284816036345974]","[-0.4545659535506458, 3.0447046701737266]"
"[1.269446224981987, 1.524511744855399]","[-0.4896766985270689, -0.9203598720925114]"
"[4.271826764495851, -1.1428125274670187]","[0.8322665341832851, 2.476724954530524]"
"[-0.7795415723873945, 3.0086622163383803]","[-1.8670446511383838, -1.5478362378461146]"
"[4.646597640222685, -1.3193428974699113]","[-0.5538846882173022, 2.7728274262316246]"
"[0.543272141043915, -2.615125234443666]","[0.9218440475818709, 0.39352946043408676]"
"[-0.45330540636456745, 0.9867732366458445]","[-1.0690247614635546, -0.9723399486208778]"
"[1.1833763404516253, -0.12184440821917572]","[1.235187212396005, -1.1191886465272043]"
"[0.3937377096408191, -0.8798450534938396]","[-0.9948877724722938, -1.4047424567066455]"
"[0.2608713315846186, 0.1402936768944579]","[-0.3014583524729587, 0.9002799146415686]"
"[-1.1842239591107098, 1.2915661248282668]","[-0.3448334205827443, -0.5075052323206254]"
"[-2.5284322961264802, 0.4349118952290057]","[0.8473009706935313, -0.7133016222003806]"
"[3.577421519593717, -2.4333184594076793]","[0.5223561931902374, 2.991542490595523]"
"[-0.47585491263917307, -1.5572210657304972]","[0.8368835113390231, 0.9231751092030495]"
"[3.417325491275818, -1.8004390135705295]","[0.195270261238339, 2.6185416464768316]"
"[1.1200463210643365, -2.5692477082951894]","[-0.9156304421888616, 0.5735935864368628]"
"[0.7575694349901616, -2.2283771285282854]","[0.4026523807857772, 0.5583805737017183]"
"[-2.473450890618825, -1.3893654995466613]","[0.7366655981233755, 0.5997620780648979]"
"[0.06822842713579183, 2.949218046775572]","[0.5629832400446546, -0.9682141386785414]"
"[1.158694561402407, -0.5560798742188188]","[-0.30750402625031753, -0.2589882314595648]"
"[4.019944618772285, -1.704548489635918]","[-1.1528429235800794, 2.17656257909571]"
"[-2.3852928704604923, -1.1385986179562138]","[0.7868726909983489, -0.6671688048157685]"
"[0.07072471831877626, 2.5127618401134026]","[0.4067979783782711, -0.43824048354729855]"
"[1.725469076918552, 0.3710999506330986]","[-1.5003358441424046, 0.4935664141776871]"
"[2.2506266864844715, -0.8014052996798611]","[-0.7743497681420941, 0.43986521615639107]"
"[-0.4073392107460058, 2.7330237862662314]","[-0.2194158734123285, -1.3657843704913735]"
"[-2.7118360850220675, -1.5902379405099643]","[0.832240186029976, -1.062801988298934]"
"[-1.5590064813015088, -1.8838760979558318]","[1.6661062973345024, -0.7261745128469713]"
"[-2.324084752752706, 0.8916864238631779]","[-1.917224487659239, -1.9088258999041667]"
"[-1.2822904462831446, 2.3057476522677898]","[-0.08968296420551493, -0.686144680814002]"
"[0.3571239673517055, 1.7327121770751968]","[-0.6866424670451996, -0.9307803015033554]"
"[-2.386835193977384, 0.8522499757146815]","[0.9880457769427327, 0.13716502434243175]"
