image_embedding,reference_embedding
"[-0.14244278693375675, -0.9169997977731438, 0.37687094839078367, -0.03578937771796262, -0.5671346547679156, -0.35497237854768304, -0.6462771934512656, -0.7069701209093185, -0.48418786884498405, -0.4918800687818625, -0.5662683707604095, 2.170904970121654, -2.17299124060738, 0.775754339025854, -0.0012161884459488776, 1.6800863273207476, -0.8427303217346743, -0.006382065143841386, -0.22086715590091582, 0.7007415442004008, 0.06864371684188937, 1.621556605917615, 0.4952697907989962, -0.2640601984631483, 0.0028060567395670017, 0.38896063501300504, -0.3059761480959264, 0.7332296659803439, -0.8515919806266056, -0.60818358762048, 0.17840537531741185, 0.5200591727930676]","[0.8751920960271752, -0.3962854169264551, 0.6622682595517262, -0.10731131607264173, -0.6650163193614982, 0.10003438695182693, 1.0411871405003992, -0.4322349073403846, -1.20100187806258, 0.052712363658965616, -0.05797318027783093, 0.2592283121667796, -0.41394262469273346, -0.21733432995919683, 0.17098663724674212, 0.2369641907552207, 0.4072207238216165, 0.6896339213801241, -0.3716681744168862, -0.12887726543716485, -0.7465814112087017, 0.20752492470122108, 0.6086353123619269, 0.2275860915767107, 0.2638411470888016, -0.5127449757950472, -0.08268019241707839, -0.3738465350639436, -0.23403229815083817, -0.3839023700305058, 0.16203277573347147, 0.03110417246634656]"
"[-1.3498984896390844, 2.093070991487866, 0.9811893489365902, 1.6208710644703714, -2.047442009755996, 0.6648086961555356, 0.8486558998673048, -1.0320905694513, 0.2853261140456757, 1.4812559721371588, 0.3037668424990584, 1.1128839022360066, -0.5626800379541501, -0.8209455191779802, 0.2966087884767211, -0.9709674457364129, -0.41484390939144344, -1.097803710447731, -0.3162471562175106, -0.4608994180650774, -0.3904995396983328, -0.009123855967278827, -0.7869510575941843, -1.1224931143249361, 1.3575613373150155, 0.36597167900251765, -1.2228765948505191, -0.5747274941382708, -0.762016666132677, 1.7025723957665106, -0.3804686413776086, 0.2718486807524309]","[1.6114964855035665, -1.0668626953844929, -0.05639602023857718, -1.0666330102385013, -0.8665137760353836, -1.1517322299848836, 0.0605606266708218, 0.29827704546585304, 0.12443915620853353, -1.1205147937498894, -0.3274216559769416, 0.090203754906151, -0.14172508832572087, -0.09941198157992898, 0.5867385303025752, 0.07692658230074134, 0.10244669586870113, -0.7623600642020271, -0.02477582867746257, 0.214234464608736, 0.21176691314550228, 0.13725920575015216, -0.013364364177545182, 0.6159310751103984, -0.1004470519967372, 0.5677238559584581, -0.12099659168473874, 0.3500557499823225, -0.5226544745013452, -0.09997477822542278, 0.21834535220656495, 0.27469806741468505]"
"[1.434924276766616, 0.1590421848217836, -0.341097795278588, -2.305813767823892, -1.4438934409939073, -0.8463437577981896, -1.628993284737437, 0.4227188532555628, 0.09581387119964285, 0.10114495269400194, 1.543030350443021, 0.8542639243574223, -0.3283033579946695, -0.8100267679418173, 1.147930404430346, -0.26054856715714547, 1.589044521652713, -0.509200310129174, -0.5036217194342056, 0.2244392457120269, -1.077926769331368, 1.108980461143078, 0.3623032546701428, 0.54736677547691, -0.01867668412952658, 0.14345103822058292, 0.20541993426564104, 0.48784620080993824, -0.5303484838024296, -0.1828634245360941, -0.1789275444048187, -0.09992759891231198]","[-1.1932130448857885, 0.2481437347124058, -0.4536058872680427, 0.1621704568933059, 1.0054424821523928, -0.8226224883705651, 0.3091311322802059, -0.5022717955231825, -0.10760509853717191, 0.134525810508564, -1.5404222582769598, -0.1307309268183177, 0.4758458459100091, 0.6472715206680955, -0.270615223249129, -0.3323192079292686, 0.1648876948498267, -0.2537201612681078, 0.8316247599382961, 0.321334004521593, 0.47104493274763837, 0.34463174407114866, -0.3600963424810788, 0.22121093212026274, 0.27280122540068635, 0.3637197618155576, 0.3320570015871674, 0.0650643247794969, 0.577019734757833, -0.8661020013927486, -0.4311977802045769, 0.526158643664349]"
"[-1.9670283644856283, 0.635915415302366, 1.4377238177595753, 1.508780975495985, -3.2159275080012293, 0.575718283278394, -0.7107435559371139, 0.20210636999443005, 1.36994086952109, 1.116997807465798, 1.1715947214639628, 0.699330689329392, 0.08034152532720738, 0.04343989041491817, 0.5528856281986517, 0.45172951603987377, -1.125029404530903, 0.21334050996027493, 1.0870712490059113, -0.5015768482965911, -0.3704527800029688, 0.29240131280680687, -0.21169878483805346, 0.8688789367800346, 1.6403328222623306, 0.47216825375487065, -0.03483164861460743, -0.17076283420500887, 0.8692809933176783, 0.20479845994727805, 0.8628564465055834, -0.6204782921933442]","[-0.7409128267248063, -0.5952869299004545, -1.657547920660941, -1.1504988840302304, -0.83691267665198, -1.0332488792456123, 0.11915807602764376, 0.07743557216227809, -0.09070164780201825, 0.16322679760323625, -1.1405479990466936, -0.2994257025141489, 0.3180768066445478, 0.3906994834601545, 0.09137834901551445, 0.5887500310460949, 0.19261717454076213, -0.17207978925157785, 0.24295141735747516, -0.33154480257134916, -0.9379638844181436, 0.025359476046652934, -0.11121965369738084, 0.6535367585202719, -0.48429997541798003, 0.17525903117254843, 0.1969776035850325, 0.13213013111001556, 0.14123786699162388, -0.6030646450163303, 0.8138786785933892, 0.6435044574277723]"
"[-0.17085677568034455, -2.1194282300068954, 2.753525997860686, -1.6190312050258813, 0.8393129550120159, 2.696003307998312, -0.9368479937671373, -0.4288816509362092, 0.9354840428176704, 0.7587671486544839, -0.05909552104537955, -1.1783989345021604, 1.433168514842765, 2.4432442062350304, -1.337368541071857, 0.4405118668449318, 0.44627119846954527, 0.12141745756595383, 0.6659865605276636, -0.23848894814374286, 0.967474670518315, -0.5738863967275843, -0.266726097425561, 0.6058846068159609, 0.9810997293087771, -0.42907676937385925, 0.5492119607977007, 0.45125674695340073, -1.2761931811849452, 0.9857897015589584, 0.6275405989453546, 0.7369544723915579]","[1.9088051060052371, -1.0735879919667168, 0.17545706443790857, 0.6471613434426671, -1.8412162540503196, 0.3293451354016382, 1.529452402844759, -0.2880218186945566, 0.475581378903769, -1.0501439470783853, 0.2729795996228469, 0.4388336041800946, 0.37682960171424723, 0.8258802950873472, -0.33752217303492443, -0.39137988683631203, 1.0163521380104785, -0.4007108649627011, -0.0468254301536147, -0.30694429975218157, -0.22552610154490668, 0.1694375438379858, 0.46480845088933764, -0.39133244852823845, -0.30830515347937343, -0.11595917523111207, 0.10686866437779363, -0.45213925358126955, -0.14630759436673194, -0.8092890990270072, -0.5735195225810062, -0.3196639719848766]"
"[-0.19342730547387632, -2.0425366261204925, 2.6444863997486308, 0.4776941327360208, -0.07381214884602982, 1.733345617869842, 0.7387091275865323, -1.5901627200382993, 0.5613709423430937, -1.5142753739184864, -0.5869366629656774, 2.3636162175430497, 0.6366536614276126, 0.036162176516155456, -0.6937580288568465, -0.7858136280546621, 0.08968638103016509, -1.5187956101770401, -1.0894237443191668, 1.2139697311184365, -0.15368749887501798, 0.6888383745097515, 1.4369636071420506, 0.2596396949313673, 0.25546067586640925, 0.08388152614137288, 0.5237042750427292, 0.8521706701565912, -0.6414279808237721, 0.10473007797373007, 0.5403573798549806, 1.1889948780874167]","[1.6698929239810016, -0.8178400379039426, -0.18999774009335557, 0.7196992339618784, -0.9074378801343334, -0.11239868466884667, 0.29038895728157715, -0.36981313313386743, -0.008471900887121325, -0.6366258834149349, 0.3210104792564016, 0.7042967478066006, 0.18456680700579506, -0.886521573119757, -0.1622649635258471, 0.49053965415124134, -0.3513670962364137, 0.5332044938952433, 0.6275932653924574, -0.056766014999101784, 0.146749038306052, 0.12164525020967382, -0.7178549507815573, -0.3406077635389859, -0.31204003219831095, -0.2330743711910226, -0.1093593689645204, -0.09376181300796002, -0.2214488848527433, -0.5561975079874175, 0.2421765519095786, 0.17833412716781594]"
"[0.46508396707379296, -1.668259220355099, 1.1500894363657927, 0.47241936499126636, 0.13808478829549023, 1.8000455429727205, -0.14702566168508668, -1.9137655713779718, 1.0476383040166213, -1.2208715310088358, -0.5070940003502404, 0.7872809714152489, 1.480086290521104, -0.3944340133296221, 0.4027299998638703, -0.5954663395655009, -0.09732132590610569, -0.6176633075546011, 0.17946920871673155, 0.5810028305854729, -0.8522103359811589, 0.6817514994196033, 0.5876675715794178, -1.2390993039246379, -0.29622001955074667, -0.11118356791379667, 0.41722547986163816, 0.04481205451820306, -0.07629307598991045, 0.04656247371152409, 0.0876720824203687, 0.4546707772351458]","[-1.414657348450616, -0.5094850919748444, -0.37926090594523343, 0.7279295701244372, -1.2720500199853795, 0.20217742448938072, -0.7224897777824131, 0.43229968233938776, -0.5895139026596407, -0.4681183585353188, -0.20244909471551267, 0.2905096596854588, -0.657707657136532, 0.0788969955342003, -0.0701290497583863, -0.11915151167295751, -0.5919679836712788, -0.4813226416412038, -0.06517087166216899, -0.4792118022107659, 0.5185651597693189, -0.430291065529961, -0.6888578759168876, -0.7299175906726707, -0.16403297799626798, 0.15095658596289788, 0.236585425577405, -0.36083621777116004, -0.1810421115690359, 0.5758257577193686, -0.4188836195833873, 0.1981177211592417]"
"[1.053320568338049, -2.8391455492433937, 0.33756467883710867, 2.6009909331231635, 0.7850924772642417, -0.04117122520565519, 1.197905985461479, 0.25722431020219216, -1.4213850735891498, 0.784052630350537, -0.18927672846550914, -0.006331642511769763, -0.36582858565249526, -1.768585605857136, 1.937741200915967, 1.474710603295496, -1.9158846547519697, -1.2116278174557704, 1.0868107467204746, 0.7425128769347995, -0.6845252396690259, 0.6793145220900989, 1.0848887780066394, -0.07477825828656294, 0.9755033215823251, 1.5468986608720503, -1.0387439463878159, 0.22089892110599713, -0.8668515051423359, -0.28068889817775966, 0.5635193702294164, -1.3676436244554315]","[0.26847133612334856, 0.2248727901275543, -0.7231269385899229, 0.5373621190047994, 1.6582319401373564, 0.3700292621078283, -0.24508709829661987, -1.0114244126905545, 0.4328772030058902, 0.8443495681632744, -0.45632774287980593, 0.31533308360610673, 0.6325658738773251, -0.4397816530901511, -0.3104492370106976, -0.12592514711276628, -0.5820259631007504, -0.09720669381827365, -0.12617522250160135, -0.0003173205404581094, 0.42906690940454306, -0.021622771140800474, 0.20496838150122532, 0.1464604728762212, -0.2645029588444046, -0.9460939089527913, -0.15204842160822687, -0.16592378030036056, -0.10493459583803634, -0.3156818638611101, 1.1089039346136051, -0.38654056528666314]"
"[-2.5156463668442863, -2.5522398894560205, -0.19436156399877977, 1.6393001356671928, 1.4671810859302323, -0.02012992079680119, -0.6894573178227968, -0.044921481216022484, -0.1497873305918134, 0.33637978541165436, -0.4789569363510437, 2.274094299087351, -0.46460128894202735, -0.6966133274964625, -0.2717981543898194, 0.8375724522341298, -0.3057391498542043, 0.08169023105487117, 0.26403907515453157, 1.209919038527876, 1.2410764747882137, 0.44940881829825613, 0.7044914917613575, 0.6680266120310235, 0.4955866880357089, -0.7039105564473793, -0.637862218790813, -0.22006820495988313, 0.5109994567240621, -0.17852034491658147, 1.3004775075904063, -0.10843018211739015]","[-0.12311858260826168, -0.8186349729194075, 0.0946714089086043, -1.2591179309829403, 1.2523235237405865, 0.9699956312587307, 1.1144449496081228, 0.3960105594002247, -0.685249477672243, -0.033565344721972035, -0.1944086622510759, 0.07454789777336301, 0.1590453767470305, 0.22735776420221288, -0.18717425813377234, 0.4888682903045996, -0.4100993409635642, -0.03499452308490271, 0.020103639210335218, 0.039372026448264576, 0.26596481097775376, -0.21619905460673236, 0.1576740819493405, 0.18382610573142574, 0.4318838808937634, 0.17686120167782488, -0.48199561201191493, 0.38570196077384117, -0.039369784954063666, -0.44888785417482163, -0.18659423592026247, 0.030925759033731886]"
"[-0.5306733779850871, -1.0974834729678178, -0.01885975742030006, 2.7647358258990953, 1.5694227932874265, -0.664483253569483, 0.7105692150944809, -1.5762815493204545, 0.9440904592036834, -0.18499974118992316, 0.329161439691589, -0.31109109299622306, -0.09221548102683892, 1.7945984406963051, -0.31786081598745797, 0.05900684904746358, 0.09802044741287694, -0.6070142304997818, 0.42206784631435734, 1.466951982182811, 0.759026547463394, 0.14476779684325183, 0.43529714827755206, 0.04240167581589316, 0.23370316889464682, -1.218287454213453, 0.6012769111195763, 0.8456802734886418, 0.23422336003551225, 0.334063256855817, -0.3589629286588863, -1.1036347356267318]","[1.329607279322317, 0.36771967698767694, -0.20119392307960873, -0.820055057181606, -0.34175535659953543, -1.4415400196637136, 0.33093496919531873, 0.05565748396212967, -0.3436907031455462, -0.17368661811968078, -0.9377044156122167, 0.8330620103576676, 1.3562234965494537, 0.8873016740034962, 0.72298055937027, -0.47706207433546005, 0.12717809207717548, 0.05291519179996664, -0.5481420866824709, 0.3209560808567492, 0.17924595140147628, 0.05654706649408713, 0.09130806563808008, 0.0903569136734736, -0.7011004566118219, -0.09184690134202564, -0.011625998444749768, 0.06996434914593165, 0.17278867153608604, 0.05703483493112642, -0.4883063673833647, -0.03108292927777987]"
