image_embedding,reference_embedding
"[-0.14244280383786667, -0.9169998048849399, 0.37687146379652375, -0.03579029024752091, -0.5671299722186434, -0.35497791350033453, -0.6462395221210672, -0.7069631007406032, -0.48415782346796427, -0.49206589203747586, -0.5662881712249834, 2.1704817071792273, -2.172957992979033, 0.7758635866178145, -0.0018782470147833787, 1.684166110745478, -0.8491796256547354, -0.006523510019381803, -0.21305821539568703, 0.6889855553993681, 0.08985071294731678, 1.632744746896511, 0.5122778686327127, 0.330895383298241, -0.16475524487738705]","[0.8751920960057356, -0.39628543169615976, 0.662268121790536, -0.10731098477219064, -0.6650159065377752, 0.10003682065414825, 1.041192732111519, -0.43223639019923954, -1.2010175739380247, 0.05269175488093489, -0.05795117950517664, 0.25916565371889727, -0.41392581039827386, -0.2172316590769049, 0.17045830552639177, 0.23698287707285853, 0.4085828753559627, 0.6872798415478176, -0.369235293576773, -0.12610197731944572, -0.7452017936156642, 0.20354105570859693, -0.6311000438663485, 0.09065366908478004, 0.3047436519516405]"
"[-1.3498985318363899, 2.0930711154822617, 0.9811894519494523, 1.6208692040110066, -2.047447625138186, 0.6647988242422658, 0.8486770305486152, -1.0321000731945882, 0.2852019261846821, 1.480962951801203, 0.30381987262230364, 1.112244435381585, -0.5624929515021262, -0.8209228543665353, 0.29662417016555936, -0.9729885181931553, -0.4161925863007393, -1.0931970942659868, -0.31671519773219636, -0.4721645949871458, -0.39028606344206346, -0.020924848414936952, -0.8278599469725249, 1.1507234221237366, 1.3982302676402134]","[1.6114964807253889, -1.0668626775189871, -0.05639586849726701, -1.0666331182435507, -0.8665141731016485, -1.1517279532217857, 0.06055278807592839, 0.298276209722591, 0.12445233996288588, -1.1205113971701086, -0.32742600840317876, 0.09031693213573165, -0.1419183658730253, -0.09916601048166893, 0.5865040491327285, 0.07782121405730966, 0.10218095478251547, -0.7605377314550029, -0.027183168516036842, 0.21369601268034985, 0.2118343196689158, 0.13625932880894628, -0.11562332429296214, 0.6174879022798128, -0.12741682248013178]"
"[1.4349242528660948, 0.15904218101274356, -0.34109778796834794, -2.3058143122653667, -1.4439013302358175, -0.8463488510868609, -1.628993211178963, 0.42272019911434483, 0.0957339753993434, 0.10113390295645791, 1.54311492265889, 0.854077716616206, -0.3281853839654346, -0.8096865101346067, 1.148678966189531, -0.26331765426393433, 1.5918932388056828, -0.5089391879552079, -0.5102791656701117, 0.23817269412231107, -1.0644411884477027, 1.0840434074663208, 0.3294617913946726, -0.5659162302923049, 0.03784066217677455]","[-1.1932130506910064, 0.24814375643360712, -0.4536059634779233, 0.16217063820702346, 1.005442615633993, -0.8226143798291152, 0.309123687235569, -0.5022724283005839, -0.1076328757098301, 0.13451079192499374, -1.5404018030803561, -0.13055918268906208, 0.4755403895590085, 0.6481830474593918, -0.27081470833492816, -0.3307479394850919, 0.16675494217323908, -0.2528239677758263, 0.8329046512669623, 0.3253769980032079, 0.474381755117359, 0.34762668893690735, 0.3000504464972537, 0.2948695997582916, 0.2719316148381259]"
"[-1.9670283794397925, 0.6359157540033835, 1.4377239559530333, 1.508781708690593, -3.215932974574375, 0.5757160540465264, -0.710770807069955, 0.20212150018176545, 1.3698817991266417, 1.1169507891920236, 1.1716400518583212, 0.699501647541884, 0.08039345245013288, 0.04390915912199306, 0.555544701257033, 0.44910348180608767, -1.1203971737631835, 0.2119925448728238, 1.0817156931015717, -0.4951271084475137, -0.3591468251639904, 0.28162663655975634, -0.1932026536276932, -0.8677649504120376, 1.7545240295542384]","[-0.7409128321891791, -0.5952869427310331, -1.657548344549774, -1.1504982564964292, -0.8369111146704646, -1.0332403230307878, 0.1191693812972525, 0.07745038681197575, -0.09073922989980238, 0.16315956982613386, -1.140392533151755, -0.2993584240894683, 0.31794752287491174, 0.39095209718207197, 0.09020614915023963, 0.5883603442222349, 0.19553424984103504, -0.17806658194054203, 0.26082793190985204, -0.31960870013696546, -0.9348965132931847, 0.03485027623327506, -0.07385176380591778, 0.6112542547929848, -0.4284002460874427]"
"[-0.1708567909675493, -2.1194287017292974, 2.7535260668891617, -1.6190337496286304, 0.839314167683251, 2.695997932955154, -0.9368004480623854, -0.42890348803792105, 0.9354097163199723, 0.7586869387749267, -0.05908447046323313, -1.17881083542476, 1.433075200713983, 2.4433239724310085, -1.3387149479449387, 0.4410880721618083, 0.44281922127812123, 0.12508224587894792, 0.6649186656765322, -0.25409126478208194, 0.9593234101835806, -0.6061301455750654, -0.2643987491686197, -0.5435516710354152, 0.9860912327118537]","[1.908805109071378, -1.0735880044279122, 0.17545702643096575, 0.6471614189606723, -1.8412165856356781, 0.3293412579653167, 1.529457685529871, -0.2880238727912418, 0.47559024052070625, -1.0501192217182738, 0.272943258178599, 0.43868082476451353, 0.3769753751897934, 0.8254454752495891, -0.33736688363970657, -0.39197714476085965, 1.0144520474569976, -0.40246484825122525, -0.04633396135347863, -0.310782393447089, -0.22725802415848909, 0.16865220438350617, -0.3603926591206621, -0.48813085331759365, -0.28461153273115186]"
"[-0.19342736865242516, -2.0425364769891248, 2.6444869799782826, 0.4776899087932433, -0.07381724779549152, 1.7333207069851457, 0.7387668865149263, -1.5901932448957654, 0.5612566556885737, -1.5146569200773812, -0.586405469757361, 2.362589417740953, 0.63662134914233, 0.03597406494371911, -0.6973456017914227, -0.7914211789228632, 0.08437521835979132, -1.5039909438833647, -1.0863829434282437, 1.1981813861734605, -0.1642147499956975, 0.728418406378437, 1.405661970011753, -0.24595441368103071, 0.231054218123538]","[1.6698929238655034, -0.8178400394528614, -0.18999771248315497, 0.7196991277224217, -0.9074376421146819, -0.11239905322824173, 0.29038916625207445, -0.36981621786681457, -0.00848250224967792, -0.6366319844498156, 0.32099309066851966, 0.704306666287884, 0.18466762294874062, -0.886181223000555, -0.16220649143006702, 0.49060836064282476, -0.35106569095042756, 0.5341139673278316, 0.6268258550049663, -0.051786042394268074, 0.1488101948827813, 0.12381839745784937, 0.7561413954680509, -0.19364875865625045, -0.33413815726549156]"
"[0.4650839105254578, -1.6682602518532947, 1.1500903533180076, 0.4724134544360578, 0.13807875362140737, 1.8000234720567996, -0.14690248275395293, -1.9138513994445225, 1.0475649746801767, -1.2210146308443948, -0.5066577805226494, 0.7865985466329605, 1.479854653346114, -0.39369130625146376, 0.3947940100205698, -0.5990786423886311, -0.10636425879262268, -0.6021208211807969, 0.1838783116659939, 0.5713277503234433, -0.8900389238177345, 0.7196697741075672, 0.5083425349522633, 1.1700957786020945, -0.2554991863663663]","[-1.4146573437600387, -0.509485090666699, -0.3792607182899636, 0.7279291132805572, -1.272050382760037, 0.20217531303587166, -0.722493972907882, 0.43228696962357954, -0.5895142144058227, -0.4680735850334515, -0.2025501065922682, 0.29048026246825326, -0.6576036121266313, 0.07893258055873748, -0.0694455126846985, -0.11856665975183811, -0.5938016152734084, -0.47763852751651675, -0.07306595555242638, -0.4799353286665126, 0.5148575544787521, -0.43295295990145594, 0.8623883542722627, -0.5497242843545807, -0.2155053222165136]"
"[1.0533205608077776, -2.8391461791896817, 0.3375664606654033, 2.60099402929116, 0.7851017682549958, -0.04116200639102528, 1.1979627491780012, 0.25718281761763373, -1.4211978840083905, 0.7844305440779065, -0.18980337357454488, -0.006053892850221311, -0.3658164681971768, -1.7668789985844329, 1.93678937920301, 1.484416096056609, -1.9261193187722145, -1.221629831171179, 1.100250825667736, 0.7396290621900643, -0.6717738881784281, 0.667372544682142, 1.1562033351677958, 0.08126795945861864, 0.8576580755095756]","[0.2684713274748751, 0.22487281275704327, -0.7231267411153547, 0.537362116722122, 1.6582313176760186, 0.37003644869272934, -0.2450980543836483, -1.0114318031434089, 0.4328899884996122, 0.8443598521528619, -0.45635188353923806, 0.3154806647075458, 0.6323313825320392, -0.439314606426773, -0.31103552094192505, -0.12421644385562147, -0.581599275959871, -0.09366327931919588, -0.13134216911501245, 0.0007456445291522251, 0.4298849413264996, -0.03148307993976393, -0.21256547076277038, 0.1190437722147442, -0.3171478484185348]"
"[-2.515646377750895, -2.552240474452548, -0.1943616534622639, 1.6393003911224446, 1.467180243279448, -0.02013035617715197, -0.6894295593039115, -0.044947865400103135, -0.1498129511529811, 0.33622307909112936, -0.47892262545659187, 2.2740815884987446, -0.46502710342223846, -0.6963200808598106, -0.27437276385663684, 0.8432728036914939, -0.3078798318721568, 0.08482018873815725, 0.27174475503777, 1.2054239937242544, 1.238310701865576, 0.44231801470339654, 0.7210146874533044, -0.653377621893624, 0.5015371666199089]","[-0.12311857821786597, -0.818634975583269, 0.09467127377079325, -1.2591178850979896, 1.2523241726410215, 0.9699943287851784, 1.1144467132173037, 0.39601855040504697, -0.685257638393435, -0.03356116907678667, -0.19435560880212957, 0.07456387547171216, 0.15909203633784508, 0.2273807412016186, -0.1869119656252956, 0.48822722651155565, -0.4093239175817482, -0.035593990496734396, 0.021206007746938732, 0.03950613974484713, 0.2651282382800128, -0.21236958642543868, -0.21590408821876872, 0.14081042669822533, 0.4886193386269508]"
"[-0.5306733281601911, -1.0974830702792095, -0.01886098254779924, 2.7647375100037848, 1.5694190386497149, -0.6644755412879769, 0.7104851946895914, -1.576262711878068, 0.94405853039396, -0.18481696783030693, 0.3294052640377454, -0.31043384923202333, -0.09233623847447407, 1.793363347133913, -0.3164259051934682, 0.052336537502100475, 0.10740379078888727, -0.606598728128476, 0.41487279840936764, 1.4775469597267006, 0.7696533306213492, 0.130196257437725, 0.4416562216538838, -0.058092250794571705, 0.33999027694957645]","[1.329607283810829, 0.36771965454488054, -0.20119423139189063, -0.8200545689634274, -0.3417544431090842, -1.4415427159150584, 0.33094612135327856, 0.05566590386200559, -0.34370623150702456, -0.17369371752337684, -0.9376367977677404, 0.8329338127762471, 1.3564057941180654, 0.8870531732469521, 0.72276025264269, -0.4783686929286729, 0.1278088934490693, 0.04780927525261193, -0.5409057731706394, 0.32495789925177093, 0.18015503875949157, 0.06480923738155979, -0.16386409131159785, 0.024365846182488392, -0.6417747385387959]"
