image_embedding,reference_embedding
"[-0.14243765744151887, -0.9169595127788073, 0.37704928609752764, -0.03557128529897896, -0.5667972635695653, -0.3550010194378487, -0.6515432712111584, -0.705333495045698]","[0.8751893628214661, -0.39628027207517497, 0.6623361583749893, -0.10738000034872275, -0.6651573801886672, 0.10076292725453158, 1.0390644175118462, -0.4265563701147058]"
"[-1.3499047730341254, 2.093021625779908, 0.9809118606524454, 1.620666815090155, -2.047860578322958, 0.6650124875354542, 0.853637122330948, -1.0335985995774146]","[1.6114967011756627, -1.0668652481510752, -0.056382351243498836, -1.066613453164078, -0.8662018046081971, -1.152101748197049, 0.060653794615053366, 0.2962973802248334]"
"[1.4349189275886043, 0.15898142004554086, -0.34091753797645147, -2.305426638362187, -1.4439820674246846, -0.8467766250030678, -1.6345234215218378, 0.4296118245325585]","[-1.1932108191499036, 0.24814009100158552, -0.4536641070009291, 0.16219163980138063, 1.0053477036218084, -0.8232423722021132, 0.31097077047941296, -0.5069974054192907]"
"[-1.9670238927817376, 0.6359555562704597, 1.437483190232243, 1.508451215894513, -3.2159961944143687, 0.5763207126460114, -0.708690715006772, 0.19988785088488345]","[-0.7409139004065124, -0.5952851746951213, -1.6575264080152634, -1.1505287306943413, -0.8369822173183329, -1.032997538363188, 0.11859615954607203, 0.07900457887818849]"
"[-0.17085343167969416, -2.119393335369732, 2.7535728677891713, -1.6190399168208702, 0.8394504447700603, 2.6960198804659337, -0.9361595448166216, -0.4296658669627208]","[1.9088037252432497, -1.0735859389832345, 0.17550894435095968, 0.6471602644224139, -1.841068662612622, 0.3297330518732935, 1.5279910905658078, -0.2854093556301767]"
"[-0.1934324594856346, -2.0425866796515333, 2.6444579365759124, 0.4778012245634962, -0.07412106730269784, 1.7333176877065783, 0.738594957829134, -1.588057626880566]","[1.6698933088993395, -0.8178388033085506, -0.1900231532823633, 0.7196836003723531, -0.9077499434057221, -0.11213056079642561, 0.29063192498981477, -0.36791544985734104]"
"[0.4650833752734437, -1.6682663897458354, 1.1498769592888418, 0.47223038049971877, 0.1378491035889867, 1.8003129083824387, -0.14542865093898474, -1.9154350956257393]","[-1.4146561005993257, -0.5094879379298968, -0.3793115130131337, 0.7279800395042881, -1.2719503504400136, 0.201909822903579, -0.7210585940355418, 0.4304059530896427]"
"[1.0533290056375981, -2.839075077195471, 0.336989159057846, 2.60021439789145, 0.784819534852483, -0.04004241408715721, 1.2043140638004612, 0.25009684219928857]","[0.2684727675488775, 0.22487168077066727, -0.7231542355801682, 0.5373993835178138, 1.6582289635162761, 0.3697925833915617, -0.24413366784928867, -1.01438345096449]"
"[-2.515640325459616, -2.552182769394214, -0.19424565536357663, 1.639292827404716, 1.4674754939773298, -0.019801143877092316, -0.6905899305058488, -0.046479941650661785]","[-0.12311729375732854, -0.8186360708165403, 0.0946359496474139, -1.2591175164141462, 1.2521538591803336, 0.9696771362068541, 1.1155004712157712, 0.39412550286210607]"
"[-0.5306696243796647, -1.0974414997319542, -0.018988645186227133, 2.7644964285420963, 1.5693824536849421, -0.664108608718158, 0.7134250687716289, -1.5804654628120798]","[1.3296074755284462, 0.36771962010766646, -0.20117532160918103, -0.8200373769789501, -0.34163801433473867, -1.441548029634706, 0.33064751450017144, 0.055137729491388725]"
"[0.17764510929477814, -0.8408983051772589, -0.07509643509463812, 0.11137139056197598, 1.8881434598183318, -1.4749284916678687, 1.2988407917098996, -1.235220724474471]","[0.7108882628958706, 0.7288963949667983, 0.5882998066041769, -0.10763541169918464, 1.5636395806182286, -0.5729090163051718, -0.7630411437480061, 0.9622743600456138]"
"[-0.2012702770810694, -0.630345825183997, 1.0177482803159914, 0.8886998045200845, 0.9520352374907058, -1.1725421593813634, -0.9558746889600941, -0.3873628216992121]","[0.8778696900656088, -0.3298566802078862, 0.48560224441851674, -1.5644874220635452, 0.41136459126291713, -1.830158558185725, -0.7722647729700312, 0.7506584125693015]"
"[2.6212893105906088, 1.0156820859634974, -1.116371032052085, 0.9212042595072856, 0.12630515869349557, 3.531838980559576, -1.3757580438242716, 0.300437331744103]","[1.3854840394252, 1.6940041484003434, 0.879580055078724, 0.31700048788127155, -0.9036286383228803, 1.922340179104773, 0.40550147269961667, -0.18415870512395857]"
"[-0.6604468132951485, 1.6905327695481005, 0.7642632467071062, 1.3772858847647846, -1.6598709352769312, 1.1165283307301657, -0.09448900770933204, 0.9977397331584423]","[-0.43739784993679687, -0.25383432869673894, -0.4643604652958859, -0.8026549568746723, -0.6735309194419402, 0.9033943932586447, -1.068617175998771, -1.3981750772057668]"
"[-3.068531631813481, -1.289467691666264, -2.0980789476660804, 1.5175039478796595, -0.7685859232605533, -1.2945485102868863, -2.24336854300999, -0.1837938880935182]","[1.3799116663975017, -0.9582225764050314, 0.2806718503687163, -0.7615371098291427, 2.098122828786551, 0.6897630490021948, 0.4278972817333642, 0.14147557191034937]"
"[0.6799748238511129, -1.91347575523743, 2.0132068324444887, -3.2949365361987355, -1.2418126516276047, 0.8344999752768965, -1.38558290791023, -0.16777293054111686]","[-0.9840447782893565, -0.4576511090115804, -0.4056747998223829, 1.113565662331888, 0.6151276460740752, 0.7255396560374366, 0.3333705252108123, 0.780351320138079]"
"[1.604807312999998, -1.2632466429811766, -1.4565420704815073, -0.8285324902231924, -1.764425095306023, -1.2300088484953455, -1.2567465338059365, 0.5599405529921921]","[-2.065899288520939, 0.06956765536212314, 0.5666099540015289, 1.0696751198539411, 0.5261311313836083, -0.2765429265627187, -0.23247281272184184, -0.6649983850777854]"
"[1.5644821900074466, -0.6201878538009167, -0.763108742023663, 1.146604283020255, -0.7537813461465036, 0.4196150594970602, -2.0532002262183977, -0.48655429004558737]","[-1.7253084170899218, 0.19500981606447626, 1.0498891599848126, 0.07269507602039907, -2.191761729556533, 0.38631524160854164, -1.0387198850591068, -0.009405270552489539]"
"[-0.6094393935909642, -1.4962460243293898, 0.9768367639822112, -3.2072641030131623, -0.10060817352354005, -0.25127152810181214, -1.1301624914163546, 0.6426534149758828]","[1.1101357859202161, -1.326394014968558, 1.109625769001024, 0.4442466449927847, 0.5287442668304471, -0.0407097664277625, -1.62517617803608, 1.24151597026014]"
"[-0.0902235781454876, -1.588604824362622, 2.0361742506445784, -1.9617051857292427, 1.0829069628936667, -0.8024787064495491, -0.7426483122875861, 0.9397874148478949]","[0.5418857502928474, -0.9945604336947516, 1.1053562125737362, 0.5556886105159704, 0.7658385492012771, 0.19693772699074108, -0.9928948118066939, 0.6847077275708153]"
"[-1.5471543165449748, 2.2412801532373536, 0.2726277632445716, 0.08399985966091476, -0.9000397562785194, 0.7497407863433645, 1.1301226083282134, -0.8390327323929482]","[-0.16661149758577953, -0.3096681603439919, -1.4037443729611498, -1.1330154864322453, -0.04445808796196618, -0.3303338300360192, 0.5372026347132002, 0.8588448379418178]"
