image_embedding_entropy_512,reference_embedding_entropy_512,image_embedding_entropy_320,reference_embedding_entropy_320,image_embedding_entropy_256,reference_embedding_entropy_256,image_embedding_entropy_160,reference_embedding_entropy_160,image_embedding_entropy_128,reference_embedding_entropy_128,image_embedding_entropy_64,reference_embedding_entropy_64,image_embedding_entropy_32,reference_embedding_entropy_32,image_embedding_entropy_16,reference_embedding_entropy_16
8.995625651142344,8.972499145177576,8.299474907053224,8.300922576446741,7.972428313088941,7.973913915642612,7.279395279447637,7.281942338208196,6.94843324436705,6.951412077349616,5.916658483590211,5.912940730779447,4.877505588352797,4.861711812940541,3.804702448339799,3.808170186770241
8.995316443505187,8.95590160413129,8.29146394738489,8.29144945761469,7.962538032889144,7.962213798858584,7.265016531636734,7.262745772733311,6.932666433021078,6.927265302231659,5.886526729680321,5.865434712482053,4.800584190654387,4.742377843182011,3.758853819519496,3.5212736626702865
8.995112242705366,8.937057476130757,8.299820482669926,8.303107230102867,7.972607047310746,7.9767139278258625,7.280517180547155,7.285571302126156,6.951309548709217,6.955026376816798,5.9204143301589305,5.925018403053484,4.867908581729795,4.874035425145319,3.78025756536513,3.797234450129056
8.99469198047797,8.95122589785947,8.308507400887395,8.302067996070168,7.983352550820673,7.975250318889631,7.296859136939895,7.283041908306508,6.970093951866826,6.952299445474521,5.947664776555071,5.917243010255957,4.914037620681844,4.85679292952981,3.859019882232317,3.772741603667578
8.994144323163734,8.969726685199568,8.289484396991044,8.3064039016201,7.960127122480165,7.980772246850597,7.262775426069735,7.291634315965728,6.930629227365346,6.962392151867611,5.877398633187204,5.932251148913234,4.810974925967619,4.868654385811981,3.6794474455074875,3.7988518098041535
8.994279179702644,8.960252368359608,8.288109440993514,8.280993542057365,7.958532012954668,7.949476440599997,7.259039954812682,7.244528363291574,6.924569841216639,6.906264688350559,5.877944234655537,5.8302277452762485,4.799403844774446,4.705004896722878,3.693098536046312,3.5676171658349047
8.994901489605247,8.943759540099208,8.287840935471472,8.292496074293673,7.958009307895001,7.963218650072143,7.259017740564177,7.264323306559385,6.928164411010791,6.929247471460224,5.883541711195188,5.897373131336363,4.836749677165361,4.84710980019318,3.7401311762698084,3.7643403610953134
8.99428149405211,8.93680450422399,8.299176287394973,8.28372542581525,7.97181888188379,7.953111400955052,7.278894525880455,7.250671590592093,6.948139293845877,6.914228153340984,5.907274391570413,5.860466905758845,4.853099642181823,4.772267179146997,3.8146280981719665,3.734993533936694
8.99463311432663,8.935979369189415,8.298925752682143,8.304312235564012,7.971627626946914,7.978210723961743,7.279426144154379,7.2883669462478835,6.949049648668733,6.958640032591313,5.911189551807935,5.927300007016244,4.859529250500374,4.871561714466143,3.744684601973373,3.787120650340612
8.994959886010932,8.963803357042558,8.277083268277497,8.301321002121512,7.945123974622161,7.974527279612294,7.23937499607978,7.282517483902996,6.904309663834116,6.951733912616286,5.862597713278724,5.91389424521614,4.791002356302637,4.860899705877957,3.7148077607115173,3.762979645969663
8.995138484953895,8.954226239881198,8.298078415175432,8.273649572965718,7.970574391367147,7.939812837335435,7.277880284355268,7.230494135893005,6.947779041458734,6.889636755873671,5.915622644378251,5.819641289710125,4.8628684060337335,4.74854299717625,3.771626602939653,3.6582466052251235
8.994780852899378,8.976165692731033,8.253215859395725,8.30347161858204,7.915268047004862,7.977027558895461,7.196491983753021,7.28572886738973,6.848973682635344,6.9549194720445175,5.751025891961783,5.913539763457486,4.58651776404564,4.841493644921705,3.3724864569062722,3.7152074651980564
8.99566880494394,8.961065475348118,8.291363228822892,8.281412340554997,7.962180289244346,7.950200359648158,7.266442927476655,7.246000153917921,6.931421680004014,6.9101546758141605,5.878730063589008,5.837212540595452,4.786876564069463,4.763104595562013,3.631890519603707,3.6905387845915545
8.994815803284425,8.927612041573095,8.271783177933358,8.295408067260077,7.937827878826255,7.966985100088767,7.227840360269699,7.272416786834778,6.893100445172058,6.940185485883503,5.820034177320759,5.888291727476847,4.724941091471616,4.843812554613776,3.7044976720982987,3.761568495501672
8.995415961374121,8.963853656472372,8.306512300673273,8.281559653408095,7.98096802945716,7.950080169366844,7.292753935957304,7.245121892262105,6.964211442067786,6.906937460223637,5.935058209002484,5.853899262174314,4.884281028513711,4.74446355325968,3.80020023903288,3.6230984973687157
8.994658762186528,8.946688182371705,8.306372711183487,8.272448868322284,7.980793078185907,7.938754722911316,7.292468668037971,7.226750952796094,6.9648927200548805,6.884604525776678,5.93482715252633,5.804458064444994,4.883705836100486,4.71080976350411,3.7999157854280448,3.6205338288952307
8.995580407187788,8.953531024378272,8.279690024581758,8.308157838624854,7.947978786564715,7.982832354147384,7.2455522827577905,7.295186780047228,6.907407374908381,6.967624990946338,5.840988519057722,5.942004900323898,4.71757786576625,4.905166635187482,3.597515091731875,3.843191555053883
8.995457198174606,8.913019391777393,8.30064692538304,8.308773283921257,7.97384855063366,7.983615546642456,7.282463850195206,7.296059643045518,6.952522245570622,6.968001952903648,5.917496457767302,5.938218732671468,4.859078261371577,4.888209486358777,3.7804635494898386,3.7852339472492993
8.994461358022333,8.953514095382413,8.307376047643107,8.305112419739567,7.982057752873484,7.979269647141422,7.295109302313943,7.289691267453032,6.967475069476549,6.960832193835618,5.942368460105737,5.929489791904106,4.90551191002788,4.869682830544184,3.857945760983831,3.791010966985861
8.99416763288712,8.96071893602833,8.278429519077532,8.28085844157537,7.945886115243903,7.949143387343637,7.238476157485457,7.243339638630446,6.897049007443065,6.904784067552413,5.817620671134663,5.836128726005624,4.704474416564671,4.698152636388558,3.5851070090147195,3.6139110665868968
8.994903685370677,8.949468743506813,8.280642849069483,8.305588452602283,7.948885524773367,7.979824331464649,7.245295459479652,7.291188425665341,6.908431705962216,6.962215095862781,5.844181046588194,5.9336626233075815,4.732584747470044,4.887241440855282,3.5842096375225223,3.803694940333125
