image_embedding,reference_embedding
"[-0.14244277962316435, -0.9169997554109689, 0.3768707136634339, -0.03578994356338466, -0.5671346797556871, -0.35497185986202456, -0.6462796346146001, -0.7069622946374325, -0.48419367194736124, -0.4919346909397405, -0.5662646236542977, 2.1709005503936605, -2.172945674682797, 0.7755612289246884, -0.0010042721369431932, 1.6799450689665438, -0.8426144015202597, -0.006462903408232786, -0.21984502621753718, 0.6995275492101979, 0.06788749843250275, 1.6324857777759527, 0.4882869189083843, 0.26724839318552757, -0.013901987892261877, 0.38727746633712173, -0.3140543616018823, 0.7814721965798823, -0.8434058142206595, -0.6060149563402953, 0.2781595966447329, 0.2611874139590225, -0.19009827551314953, 1.406289883891696, 0.0740610292180411, 0.12559503793325633, -0.2395447915408397, 0.11014271426320721, -0.511810085582712, -0.16120568236226748]","[0.8751920950668187, -0.39628542338331574, 0.6622682806313905, -0.10731123867467318, -0.6650164484132041, 0.10003393842249526, 1.0411886649959154, -0.43223832475442986, -1.2010044802181095, 0.052707443762977514, -0.05799098485907746, 0.25920988535990974, -0.4138678789926706, -0.21725110579687823, 0.17081664206284491, 0.23711696575411237, 0.40696023964559513, 0.6896879008519239, -0.3719164654862401, -0.12749336302032557, -0.7449070638653965, 0.2066658193718332, 0.6090554347230951, 0.2211567517587727, 0.25703074591675396, -0.5166773434829492, -0.08723053016036357, -0.3470426680974988, -0.272347015688812, 0.19777868952418998, 0.37527821585970084, -0.009492721574898912, 0.4956434259279299, -0.6129492449912722, -0.4713743105056989, -0.23844098721704332, -0.11290512300040645, 0.22294313161520787, -0.06804782127443476, -0.3388359269025676]"
"[-1.3498984871591648, 2.0930709918275276, 0.9811896808328407, 1.620870665426332, -2.047441684286399, 0.6648088362663782, 0.8486607839430294, -1.0320913188145215, 0.28530573769159445, 1.481282263837181, 0.30372482711119153, 1.112994520789316, -0.5625886786038261, -0.8204863711072945, 0.29708425565993685, -0.971274817100335, -0.4135858590438779, -1.0971165369943305, -0.31919864599625414, -0.46112477179080014, -0.39290761731852747, -0.018740569863066426, -0.7872510370092896, 1.1151742356062035, 1.352218255470683, 0.3559579675615894, -1.218307115737073, -0.5566186492360323, -0.8304639393483741, 1.7091026883217229, -0.2680330683725653, 0.29382667827716197, -0.009351366088241107, -0.010405314010635205, -0.41940472904961446, 0.12928150073408015, -0.685366379103989, -0.7656253053636736, -0.816649387543229, 0.35121154905938706]","[1.611496484050996, -1.0668626924426585, -0.05639608798846621, -1.0666328439933122, -0.8665137438521597, -1.1517312900793777, 0.0605598628853594, 0.29827922945227076, 0.12444539301398554, -1.1205067945614415, -0.32740115583843626, 0.09023320399213092, -0.1417671102786228, -0.09950640722847268, 0.5866245450760018, 0.07694123412972666, 0.10309943793031494, -0.7623347528627652, -0.0255614249141659, 0.21448536718645558, 0.20977000428334455, 0.13567714402178338, -0.007228334439488808, 0.6221728433816157, -0.09418611335237873, 0.5732347386047969, -0.11863040933038917, 0.3939060533322661, -0.4161260232724075, -0.05149133130072325, 0.26008313196993493, 0.35660990817754495, -0.21697609102681692, 0.16821797539620995, 0.3500847168567673, -0.2389985109421384, 0.38807831553473227, -0.026160048307398674, 0.25264800702080253, -0.016032271948259427]"
"[1.4349242682273864, 0.15904195205618252, -0.341096971562272, -2.305813406539486, -1.4438939662397758, -0.8463449219185534, -1.6289767562606658, 0.4227127805779602, 0.09583146230589323, 0.10122327693105426, 1.5430071338369686, 0.8543348099952878, -0.3282768043212227, -0.809491872149524, 1.1478990500646353, -0.2598709572726665, 1.5887603073112075, -0.509720912400911, -0.5043470693231134, 0.22729258414392786, -1.0746244710031603, 1.0914110752052144, 0.3684347751360909, -0.5500880490120591, -0.011704445320079438, 0.13586161571763633, 0.2446749678598097, 0.38591101294886165, -0.44526576875033236, -0.1307613615466307, -0.34373710541336433, -0.322655098228783, 0.4155283974050688, -0.5750204710351523, 1.021050251531281, 0.36014238101042956, 0.08091166563343988, -0.011562383228111943, -0.6253464031735855, 0.5412007001150815]","[-1.1932130433356682, 0.24814374846905216, -0.45360582960224977, 0.16217065881090814, 1.0054420374513036, -0.8226227314988246, 0.3091290483625222, -0.5022749529458943, -0.10762001513736305, 0.13453086190608798, -1.5404581461152524, -0.1306778047649159, 0.47577719655477024, 0.6474161259428467, -0.2704188569273819, -0.3314843590297016, 0.1648669339696927, -0.25325264463830244, 0.8281078952925622, 0.31622650493089405, 0.47000643020060956, 0.34556829809587297, -0.3582066017637658, 0.23649466939196614, 0.28098417603582837, 0.3868657312612841, 0.31746632606513453, 0.037919315640286125, 0.5250747545455249, 0.9837733050330958, 0.016915736900322415, 0.546495581559594, 0.4513973879447198, 0.7572961970324663, -0.1568470788901673, 0.24853344780156272, -0.42265698665087403, 0.37737010470790316, 0.3603549148359521, 0.04199661867005414]"
"[-1.9670283591590645, 0.635915313090277, 1.4377242336617233, 1.508780563827602, -3.2159277954548338, 0.5757196707736538, -0.7107379268197782, 0.20211486218289446, 1.3699200675256942, 1.117029501474728, 1.171563910136411, 0.6994515043157917, 0.08049435843455384, 0.043765605460656734, 0.5537640631646233, 0.45250581957635755, -1.1236384756999789, 0.21394419120838531, 1.0863420524746088, -0.4994008260275526, -0.3699892475083219, 0.28258723208573266, -0.2120575492768372, -0.8630284077875577, 1.6353909496827277, 0.44016321250980356, -0.02272310605388272, -0.23261077322621226, 0.8451708155421844, 0.2013132481734103, 0.7532284090550443, -0.6662646162847452, -0.19946262626820271, -0.46662474194275394, 0.09270409895288265, 0.5075378078023888, -0.3457668039138454, -0.505313903113375, 0.3954845432354257, 0.5593669811263091]","[-0.7409128273064839, -0.5952869433094014, -1.6575479282538486, -1.150498896956049, -0.836912503368852, -1.0332490958071627, 0.1191603556897005, 0.07743719126487114, -0.0906977342058466, 0.16321683401930484, -1.1405509994122534, -0.299465976304369, 0.31816739147204903, 0.39064820025812114, 0.09113601817318902, 0.5884679868554266, 0.19238157406452447, -0.17253830229419595, 0.24417848152253413, -0.3281636990529701, -0.9363482818172202, 0.025675839231820492, -0.10859353261299949, 0.6486612893889427, -0.493210383323421, 0.15098942418443748, 0.21577363316337383, 0.09856807457366029, 0.19569674803517065, 0.10727886072166386, 1.0220177471792848, 0.5625022204196166, 0.2762617101888036, 0.19511604094447407, 0.6777692412289364, -0.32623148810822833, -0.7152690910017159, -0.19156906768419235, 0.5680776629414596, 0.1376908695459349]"
"[-0.17085678217556052, -2.1194283539759446, 2.7535266547736716, -1.6190306680078588, 0.8393132794776001, 2.696003554047246, -0.9368427592478876, -0.4288863930274145, 0.9354692141465649, 0.7588312248960927, -0.059136155108372036, -1.1783135146710386, 1.4330972127251833, 2.4435266521126313, -1.3369434892003869, 0.4413085289798024, 0.4473313238128954, 0.12225407831818026, 0.6632885474816246, -0.23919173935983723, 0.9723946417680336, -0.5897854083361742, -0.26158030842996477, -0.5910215647918381, 0.971385597188587, -0.45491704962635693, 0.6052932169370188, 0.47733572726999157, -1.311128939774236, 1.0175092859854238, 0.5803660062578505, 0.31592675278319504, 0.763735564632749, 0.14979427677948665, -0.032987995905833956, -0.14126117860855386, -0.13147653407244497, -0.38293836409033427, -0.7001845315144453, -0.4515450486865987]","[1.9088051069431422, -1.0735879937854904, 0.17545704424026168, 0.6471612213117358, -1.8412159563998474, 0.3293452787555251, 1.5294526700276232, -0.28801889310567286, 0.4755857934390799, -1.0501459509701896, 0.2729887673299933, 0.43882432437418323, 0.37683991416719675, 0.8258624788852051, -0.33745612679727843, -0.3916691161620891, 1.0163677844179235, -0.4010000333768684, -0.045424764272509764, -0.30602833570570587, -0.22487135351151447, 0.1707231573171401, 0.4590544467359808, -0.4005623319712779, -0.30624762002760025, -0.13599266361428247, 0.10869072841975168, -0.40591830468046836, -0.2344717586462647, 1.0015455156030502, -0.08056176254729643, -0.2801733330601137, -0.4869497380938201, -0.3469077681420019, 0.09631206723073903, -0.13161546973208219, -0.22121729528901043, -0.32878893545325294, 0.3486846870858245, -0.2874452113093225]"
"[-0.19342731146184422, -2.0425367001384003, 2.6444862431918725, 0.4776936439339888, -0.0738126733120166, 1.733344909343001, 0.7387172474964983, -1.5901632608704257, 0.5613806385432685, -1.514229173573977, -0.5869487408497027, 2.3636332750095748, 0.636716211835213, 0.03650280118221315, -0.6939007014752464, -0.7863791360432735, 0.08927289132920131, -1.5183898692019906, -1.0892093655520825, 1.2157383594922033, -0.15676821835237184, 0.6912895405759553, 1.4359694647208165, -0.257482485261021, 0.2326759925234834, 0.06778530318797968, 0.5058426303669051, 0.8833709143630589, -0.6395807085856483, 0.07727076809477604, 0.8133828252090677, 0.7565321986655869, 0.06777095472504523, 0.3976058234014759, -0.12108461256438859, 2.023037911924878, -0.7122743987573902, -0.41374428754306625, 0.28065791528712175, 0.05346287349065878]","[1.6698929234851414, -0.817840043098838, -0.18999769166058955, 0.7196992896951235, -0.9074380657538207, -0.11239960952718474, 0.2903901885193286, -0.3698193975982859, -0.00847977465502078, -0.6366374813457202, 0.32098327504429586, 0.7042879328315778, 0.18463352902839844, -0.886454997749921, -0.1623445251196534, 0.4909262655399738, -0.35197207034292205, 0.5334128069338148, 0.626985691624399, -0.05833241858519877, 0.14846158298274473, 0.12229345138622648, -0.7207673386303005, -0.3364898999188845, -0.31754268091508825, -0.23092681131723472, -0.10855130360572626, -0.0799213868837716, -0.22938139194730683, 0.29134813162811274, 0.5512301147427603, 0.17760511701935125, -0.3842088020377408, -0.4059999877745762, -0.5095367664977698, 0.007901294628147506, 0.010485894679391206, 0.3454632026841814, 0.0429920217037595, -0.17721428305279102]"
"[0.46508394578799234, -1.6682596460117023, 1.1500909214016166, 0.4724194173857536, 0.1380836242285336, 1.8000422602627895, -0.1469802040648027, -1.9137844323765616, 1.0477041057730618, -1.2206899077250861, -0.507235906431812, 0.7872504508868995, 1.4798424296449613, -0.3927004517359102, 0.40069748919491016, -0.5951082507745982, -0.10038716543577712, -0.6194276399777532, 0.17610943911965873, 0.5889649404488064, -0.8596595625303007, 0.6471042217937564, 0.5809280138918579, 1.2115935563987963, -0.28737538602754226, -0.10232336154144324, 0.3781219256128275, -0.1544141471691545, 0.0005135764997593177, 0.03323422555445761, 0.1009862185867629, 0.13036696292703254, -0.24163218117373964, 0.21507390656310846, 0.432727629171001, 2.2361330197466964, 0.6800576761782546, 0.7819707223122688, -0.03321991061206033, 0.9535033112662437]","[-1.414657347127022, -0.5094850813595192, -0.37926084203732585, 0.7279294678095821, -1.2720503637818725, 0.2021773309372534, -0.7224906913598641, 0.4322987863676061, -0.5895279921025105, -0.46810836887416546, -0.20246612277969267, 0.2905306963869846, -0.6577732294860206, 0.07888234940046095, -0.06979194811869298, -0.11880326872082615, -0.5921446585665472, -0.48064401068885393, -0.0668884485268329, -0.48306114754599166, 0.5162570547345616, -0.4298307386927416, -0.6985355591401899, -0.7255473336177587, -0.16438857692603223, 0.15796160661374128, 0.236392543421671, -0.3034656412265118, -0.287224469797789, -0.25045401055915695, -0.6892456861934467, 0.21806681130089753, 0.5941832037797019, 0.09953017293590968, -0.4027003639179798, 0.29006475800258547, 0.0021194129130431122, 0.45128285387655476, -0.07559781277010075, -0.6416480107857648]"
"[1.053320541903321, -2.8391459862889628, 0.33756577153348194, 2.6009922661482445, 0.78509118790644, -0.04117452877256053, 1.1979430005513059, 0.2572067403560804, -1.4213179195112602, 0.7842231477571728, -0.1892947276353005, -0.0063904810611710135, -0.36607220879523783, -1.767482122224404, 1.9356208308410765, 1.476166356807101, -1.9188722220452743, -1.2121214466166994, 1.0873750875785109, 0.753306147202351, -0.6805661507692788, 0.6560991086298893, 1.0920547723133371, 0.03422661514311313, 1.0273086098884208, 1.559580136543937, -1.0264143316120342, -0.00346976178429852, -0.6305329502760936, -0.22702680654492183, 0.0483811373603711, -1.8964720379311382, 0.9488770017281374, 0.23748855490038043, -0.9733128601601082, 0.08285412969914584, -0.5790509646479295, 0.4485330909085644, 0.301834344930026, 0.06193240888476143]","[0.2684713327238344, 0.22487279389539905, -0.7231269932064732, 0.5373624445796642, 1.6582316948502325, 0.3700301861044321, -0.24508781608979124, -1.0114265813087078, 0.43288146259612426, 0.84435496773843, -0.45631349516262326, 0.3153557863356733, 0.6325236384971219, -0.43990721015950346, -0.31073693183549644, -0.1257906397718368, -0.5813684088474897, -0.09696561836642555, -0.12820230511454533, -0.0005192393271639921, 0.42684356733172807, -0.025555517717023066, 0.21037121133619205, 0.15676546729016427, -0.2619325070110264, -0.9173451820442892, -0.17809314002638926, -0.2021548150891317, -0.012022639161014708, -0.293803252080945, 1.118383691548667, -0.2838407906032491, -0.45810210948849733, 0.20665923413434528, 0.49312296086672935, 0.12977006653953846, 0.11951045929988546, 0.48850283233824676, 0.5468475977852661, -0.21975790419269522]"
"[-2.5156463636844273, -2.5522399572215977, -0.19436077936637486, 1.6393008361028876, 1.4671810902876221, -0.020129858185146832, -0.689451108359101, -0.04492347947669193, -0.14977447362781263, 0.33641165650981963, -0.47898028961711486, 2.2738985660768867, -0.46479274803391646, -0.696142129662553, -0.2724308377702926, 0.8386291404205023, -0.30608299759760643, 0.08152899071299127, 0.26382444407084793, 1.2093144420817037, 1.240825071766706, 0.4378763636156622, 0.7020908321329128, -0.6782944387803649, 0.46978361208585284, -0.6993359929010541, -0.6485244378807447, -0.20519963888489293, 0.4325079976674625, -0.22508299422970407, 1.1066611671535662, -0.231758806410549, 0.6364003894553084, -0.6755236221557238, -0.4066191121109162, -0.528094007183592, -0.023237460347895905, -0.7422331693721445, -0.10915996959090846, 0.6572733322056202]","[-0.12311858188908754, -0.8186349662100224, 0.09467139814408024, -1.2591179598649143, 1.2523235026282298, 0.9699957279198842, 1.1144444086836502, 0.39601189039703827, -0.6852522858451577, -0.03355538213410012, -0.19440643507381636, 0.07456587913513311, 0.15902734279645345, 0.22742794518136336, -0.18697641343313157, 0.48900930606052456, -0.409817920975283, -0.03467477648361805, 0.019592631890599257, 0.03876641741508259, 0.26505607463399256, -0.21521924874110057, 0.15707637386968715, 0.1828698870901217, 0.43527030330898436, 0.18499325365487798, -0.4852571233828378, 0.40818150607761017, -0.014759560000231643, 0.48050667198515307, 0.07782638466313564, 0.07268293621388079, -0.24807077032800867, -0.12279110713344238, 0.21278446517575383, 0.11236376390539589, -0.07749903355945793, -0.046683448052842594, -0.4690801932765566, 0.21561994338352608]"
"[-0.5306733734896945, -1.0974832455058507, -0.018860569669630373, 2.764736759178576, 1.5694238375560905, -0.6644817463847865, 0.7105399655946099, -1.5762791606583997, 0.9440467158068954, -0.18506660330759245, 0.3292660596440351, -0.3109860714482457, -0.09218520968607195, 1.793298498909277, -0.31691960239660505, 0.05905667843812921, 0.09978145440440375, -0.605882255633478, 0.4224372485102697, 1.4613859878847304, 0.770558461406352, 0.15883396010618728, 0.44984015077774914, -0.020642343000151123, 0.2521240373055758, -1.2267884048188629, 0.6684088757520351, 0.8514011092467512, 0.3390182330318574, 0.37516787022514264, -0.6634638266825187, -0.9375264843890979, 0.34494081303922863, -0.4508006956279019, 0.5981087309617485, -0.764276923034315, 0.09448896443195523, -0.025766960675127282, 0.9695352969064626, -0.3018011561975412]","[1.329607279335834, 0.3677196736835168, -0.2011939129999499, -0.820055016142574, -0.3417554096528183, -1.4415404256488256, 0.3309362339603078, 0.05565624920230303, -0.3436916302866375, -0.1736904717236743, -0.9377126877013067, 0.8330539262686788, 1.3562717910722295, 0.8873643626651614, 0.722917195161552, -0.4769465726239802, 0.1269922465161982, 0.052826308997384865, -0.5479872314393216, 0.3223819334118633, 0.18022490063822763, 0.05707640366788595, 0.09151136173768809, 0.08679759735165352, -0.7069131520871574, -0.10150822929452707, -0.008851097413368795, 0.045730050941561705, 0.181133726827135, 0.15266818871415688, -0.3967742139064689, -0.019656357716894945, 0.0035779914001794013, -1.0820822399813608, -0.09217325094204465, -0.3229860608354383, 0.03201684489654336, 0.17317988738549928, -0.43831734584184334, -0.23382685301927983]"
