image_embedding,reference_embedding
[-0.1421403667750645],[0.8751777313564998]
[-1.3498568331570797],[1.6115099867925344]
[1.4348832014449449],[-1.1931138161756234]
[-1.9671504177851122],[-0.7408533624246423]
[-0.1710717851378748],[1.9088172915738788]
[-0.1930339715183662],[1.6699085252375216]
[0.4652694361615874],[-1.4146717527904447]
[1.0533074557996782],[0.2685454986115989]
[-2.5153958505642855],[-0.12311326202796999]
[-0.5307679743068654],[1.3297397703266927]
[0.17762545309487512],[0.7109738208291505]
[-0.20111670087142028],[0.8779714970255387]
[2.621522014003085],[1.3855486954242862]
[-0.6606352333968075],[-0.43741697627058684]
[-3.0683465811200374],[1.3799138478528226]
[0.6796876189457363],[-0.9840514093585221]
[1.604846190528858],[-2.0658921512660675]
[1.5645260158483456],[-1.7252003959360331]
[-0.6092613439570592],[1.110124556470861]
[-0.0899986263674127],[0.5419264063118501]
[-1.5471448944050574],[-0.16662962920308497]
[-2.5835192865936163],[1.9664220487011261]
[-0.7193812419294974],[1.8164976246383955]
[-0.23300821794204482],[-0.4903375517789191]
[-2.5141392027400755],[-3.071180137037033]
[-0.12642973682439831],[-0.24345426821244026]
[-2.034923520077963],[-0.8636833375214515]
[-2.3547013114872355],[-0.2947950717863759]
[1.0600451597317933],[-1.1654967646501413]
[-0.3064461512882078],[0.6799747000441098]
[-0.0355083870278776],[-0.7255324888708319]
[-0.13087742149950551],[-1.45366475375157]
[-1.0197298422311445],[0.14879308780116487]
[-2.0853738775196518],[0.05570216844830406]
[3.9741160945743017],[-1.3568682994183636]
[-0.6041430787724438],[-0.09792125233717465]
[0.3718740186513894],[-0.4041517178404579]
[-3.0605186204587063],[0.6120172639533511]
[-2.1231965051504806],[1.085081783420155]
[-1.820266184270699],[0.06283222925245384]
[-1.9629556227232703],[-0.48107506549925033]
[-1.7193043100682825],[0.593328638446277]
[2.9690528911944827],[0.22809196900625608]
[-2.558274980160101],[1.2531027855434447]
[-1.8803205747095624],[0.5708253341738094]
[-0.1858488064649903],[2.009725654452727]
[0.9486339371883795],[-1.2516250886472222]
[4.495767056504804],[-1.4258319385483371]
[-0.22817610860850338],[1.3669951350142489]
[-0.5969551047068755],[-0.254684757703426]
[0.3046168917085817],[-1.2190490261376001]
[0.6097693901471131],[-0.3576895947342753]
[0.4351371441781508],[0.803539578049071]
[-2.6663981037882496],[-0.670030559185271]
[-1.537916845242029],[-1.0548782564747587]
[0.42811602774350194],[1.5254543152098243]
[1.0430588150811293],[-0.6890297699315513]
[4.122316863765517],[-0.3532629176979108]
[-3.5555063845174297],[1.5091223108441254]
[-1.691786847254756],[-0.6336963349972787]
[0.5087499110806601],[-2.131596792102453]
[3.913824578233972],[0.005606424031104403]
[-2.0307353627276625],[3.4730771580443878]
[0.005888919596225261],[-0.8085103018855346]
[-0.8397307698011488],[0.292293273423374]
[0.03604641959729003],[-0.23238401970454092]
[1.6933727775265106],[-0.14683758570144698]
[-2.067190573554759],[0.26661551946892864]
[-0.6291541236800484],[-2.366544066515135]
[-0.9834507624876262],[0.31042745919986]
[2.731569869125651],[-0.45451901619421015]
[1.2695141271548953],[-0.4896616565893082]
[4.27198278730227],[0.8322897625556633]
[-0.7794256620639625],[-1.8670725755339193]
[4.646721027622589],[-0.5538294188215482]
[0.5433513002768317],[0.9218052937233805]
[-0.45334004469939077],[-1.0690396231287396]
[1.1834932171098997],[1.235183180853146]
[0.39393206026706323],[-0.9949392744140221]
[0.26079412157852894],[-0.3015194670238119]
[-1.184038317617575],[-0.344843475305316]
[-2.5282731095185014],[0.8472918849192105]
[3.5773481123340547],[0.5223313743021749]
[-0.47606214219945725],[0.8368463044718069]
[3.4173363691104623],[0.19522511267666717]
[1.1199665252148385],[-0.9156242197898924]
[0.7577781499755395],[0.40263517260642356]
[-2.4734923631443695],[0.7366526357293248]
[0.06826140811105062],[0.563012585236251]
[1.1586498398613632],[-0.3075431275312201]
[4.020033112585162],[-1.152844790338551]
[-2.385354661357032],[0.7868312333546894]
[0.07081145930963001],[0.4067718546513905]
[1.7255020978601143],[-1.5002387233040742]
[2.250651795628683],[-0.7743963082202476]
[-0.40734110276830043],[-0.21937145032392186]
[-2.711816564842504],[0.8322248451564167]
[-1.5591072411240714],[1.6661613365330457]
[-2.3240922293324386],[-1.9172083757175942]
[-1.2822095375648035],[-0.08970239693873473]
[0.3570882912152228],[-0.686669611105376]
[-2.3867529541625156],[0.9880301662625401]
[-2.48857806493606],[0.6707570114891962]
[0.43998956318738214],[-2.2490190836553055]
[-1.094423391410771],[-0.6279958591743942]
[3.1550475604342965],[0.1771666982258013]
[0.9975614706460637],[-1.4108359581223882]
