image_embedding,description_embedding
"[2.8111798327966353, -1.9081306080726645, 1.418092255629814, 1.9827152516219195, 0.33149967111906303, -0.31113854713891415, -0.9525713241635155, 0.4532559615290956, 1.3783228624013337, 0.452537692655042, 0.8891959924123598, 1.0032198882570997, 0.5463333926000183, 0.6665522563260222, 0.12334434760186985, -0.40458433099215074]","[-1.2199086240984691, -1.5093118633302924, 0.32849030475333685, 1.1465326821963875, 0.744260895639226, -1.1774336454438492, 0.1148137762588215, 0.09192790935502695, -0.7469028554259961, -0.2596663164787459, -0.1934693046673748, 1.0087544630967393, 0.6872191767948487, 1.0996087219563206, 0.40862636600572955, 0.9550128093852112]"
"[-2.614848172066307, 2.5951152839989904, 2.0305425932376617, 1.4028285019363158, -1.654856386997941, -0.046085449836041376, 0.23003168532609267, 0.7423597827665525, 0.7915909349540358, 1.153210555876109, 0.8222232623275925, 0.7361320588155916, 0.6415101217853034, -0.397592091284451, -1.7623424356856958, 0.23439053129974288]","[1.3377968940812754, 0.6001087972783017, 0.4635272009215501, 0.20104217957582293, -0.7005515538700254, 0.27047624080156435, -0.4855135238699255, 0.0973167658181323, 0.08506531385694852, 0.7831994670729168, 1.4614011598468666, 1.4900071145916247, -0.22637724998771636, 0.4672671269483025, -0.929122527657254, 1.1890729602192296]"
"[0.23326913419567552, -4.069607191998339, 0.4655122827677729, -1.6152892782589816, -0.0014139005234131894, 0.15012306411663048, 0.6309141045840465, 1.0983465519703577, 0.8654985774345124, 1.9832031995259842, 0.7539725876805856, 0.29680675859294253, -0.49655744513696776, 0.4009804994917898, 0.7032155425608524, 0.26541861653301474]","[-2.1319513432138355, 0.7477803358102749, 1.749985742699812, -0.769076735341743, -0.5374535591766086, 0.5249474523049537, 1.1586764756426025, 0.6459812388083169, 1.3146263556963556, -0.5831400706952777, 0.34223749740779785, -0.44283621656632116, -0.47469341471254023, -0.3586928939586882, 0.19352205831415717, -0.13353353728014378]"
"[3.2046153207117505, 0.021760287939094004, 1.3983731284448406, 2.1563827765697687, -0.8442801361263707, -0.5718317991434201, -1.0127418706294942, -1.0456298570776021, 1.0415559208958893, 0.4121125002430895, -0.5267789282493174, 0.23866787557245603, 0.08359315665088042, -0.04943358658412732, -0.2668847326233197, -0.5203875524071074]","[-2.635186458827087, -0.7566574289555678, 0.15996692082664576, 1.489591038515401, -0.45663541399246954, 1.0192159606011202, 0.3137774725353208, 0.3394061243615602, -0.2208218930110929, 1.0200567572175474, -0.5177896029475753, 1.1447986927250209, 0.056364268141933106, 1.0255380411693216, 0.21578999848706315, -0.1890340068893771]"
"[-0.29171421752421733, 0.8035449016442036, 1.897700932306065, -0.689984596979581, -1.1382477998648572, 0.6785372524259657, -1.5331527222892833, -0.4372222858867446, 0.38245991116622885, -1.8458549183502624, -0.6740611947365547, -2.0606798140175715, -1.3234330000814707, -0.5846217461156629, 1.6267413227013388, 0.339045478417295]","[-0.35598936189025426, 0.8375581280701507, -0.9226605232850573, 0.5652258760479454, 0.947645283604641, -0.20486990922381054, -1.1585555919645647, 0.5655252966167287, 1.1003541369730339, 0.8817685785703235, 0.13042578820312753, -1.0470185269996362, -0.6595768563331189, -0.7241604281814038, -0.26301525293570693, 1.0154384045946039]"
"[-0.3661527494911098, -0.25351277043449544, -0.6418528010457387, 0.8914161994084528, 2.6147311720121507, -0.6701658275007253, -0.043540360978388176, 1.0292615705260797, -2.769507778444585, 0.15447270832327728, 0.1909788061839429, -0.5992563252636027, 0.3356832843534153, 1.2829133695272377, 1.17054599301897, -1.0549895251543164]","[-0.35611725939745636, 1.0032639827651033, -1.2708996286363172, -1.2322983759311539, -0.5449132897784933, -0.6002848629762185, 1.6848250811823344, 0.2405707987522634, -1.1129709154766976, 1.2754103514175856, -0.385795901212859, -0.32521725825415576, 0.3021700375092672, -1.000844720462298, 0.3693533915288677, 0.046686116815324724]"
"[-1.6920746988922042, -2.1047780674698577, 1.6921913574453558, 1.5694616962009624, -2.734103238195407, 1.4614909175953825, 0.44564188122125564, 0.044324672189553944, 0.005621683093987381, -0.5856859046792919, -1.12478762721513, -1.6320197450352676, -0.40091646355256927, 0.5843961875410195, 0.3234910077008883, -1.4681271291055888]","[-1.2600541586945468, 0.6731641804908567, 1.5312507624917824, 0.6327033125255523, 0.984215075715017, -0.7505619080505508, -0.5440630735324882, -0.4758391336897099, 0.26031152697991605, 0.5354652867895624, 0.595595822984637, -0.732497780548645, 0.14427766840458978, -1.209847847447305, 1.0647680567865907, -0.3604116015211554]"
"[-0.7469337278007243, -2.51558960817524, 0.5490312275133059, -0.35297868492849316, -1.8693022675443525, 3.038841777507715, -0.8403352701934985, 0.600657430254713, -0.6618773213773961, 0.5845697545096964, 0.23104915283857705, -0.5017092603702185, -0.002378035363221224, -0.4059938895206729, 0.9581758255435806, 0.38035079701882757]","[0.47913787858678447, -0.7808360275390304, 1.0077087949595602, 0.18470102509354183, 0.18001818894129437, -0.9130192478203702, -1.5222199376296635, 1.3556849192587466, 0.6708791685624692, 0.5399383158317441, -0.09841189186979422, -0.10393381406555023, -1.3044822505427311, -0.4825620098422823, -0.42702290334716475, -0.6494637705998197]"
"[-1.1897231565897186, -2.6852576862834474, -1.0712259259813761, 0.5723620521496016, 0.19526496277522964, 1.8161154881369386, -0.6862163160413786, -0.25917052827002346, -1.5351889941739596, 0.41642252829776966, 0.12435363913762668, -0.026479486429685662, -0.7121178556223942, 0.9097578993135864, -0.6343821947485027, -0.185065215538836]","[1.0889740676828568, -0.7524556960961232, 0.05053545150205308, -2.1134199561519154, 0.20984242034059786, -1.354508523955922, -0.04155843145114936, 0.7330931751348294, -0.29668695537914824, 0.9122002159388525, 0.7215720238751537, 0.5685439306622522, -0.17978090679776895, -0.03380068577970686, -0.406076939902406, 0.8669407016867993]"
"[-2.5715895605884076, 0.1735471584653682, 0.1011650365655038, -0.13310111758085566, 1.1985572801034765, -0.30356306964439306, -1.0025008386941863, -2.0024760386425333, 0.17124894659319514, -0.22004877871559983, -0.3357080009195289, -0.3978366872613968, -1.4604092493632777, -1.4091165874947689, -0.3000528306830152, 0.8794785369128681]","[1.643767563965527, 0.7767693194341847, 0.30845978295350546, 1.620616187109348, 0.486923237701141, 0.46434548090845845, -0.019313134052892263, -1.5969279781521666, -0.0672675847655092, 0.07079147713358261, 0.695171411464394, -0.5880255135884384, 0.28980180129094696, 0.8248098844989918, 0.28726285904931187, -0.5056079230192434]"
"[-1.308477220010311, -0.8847348472863533, -0.8594899066407085, -0.2863185394897511, -0.8778446019108398, -0.5094284094241853, 0.491905249080915, -0.04254360931007322, 2.9961626384540465, 1.4705103032469578, 0.3520113440139347, -0.5082090793915705, 1.948894524543372, -0.9330504404750458, 0.23284027502294397, -1.145629526791528]","[-0.6962930657030588, 0.7385343780934994, 0.3703278517324154, -0.4269483214810125, -0.3492267544377471, -0.4734000834494868, -0.7380571112535553, 0.42026102808820937, -0.8732419871691377, -0.15050957006339924, -0.4328805643404927, 1.625921298119572, -0.18335413239791148, 0.23482000653068602, -1.5227438123040955, 0.7788684240002385]"
"[-1.5489792054481248, 2.253854779631845, -1.644911579188651, 2.1483547719826084, -0.8734252010950178, -1.2577029751223565, 0.13289481675386036, 0.8820519584367928, 1.3011612597714122, -0.3167198947056222, 0.3295151714552884, -0.8401987458872973, -1.5391077582013006, -0.41853542039673053, -0.6637152554358192, -1.5920383664755025]","[4.277869473366128, -0.8802365500108336, 0.2488068757014176, 0.4380416285104903, -1.029511397853582, 0.12754109296980753, -0.3925701178599028, 0.3111157500606817, 0.22504578415957607, -0.3783905555266926, -0.3908759497884274, 0.44792987085600583, 0.20994006768861617, 0.6649040829765196, 0.44801693805678744, 0.2609563528885454]"
"[0.10894805970477875, 0.7659775411553971, -1.5093598170687612, -0.9818000241028154, 0.5151534786311497, 1.7843766454996342, 0.4069366072777784, 0.2900225459477065, -0.5655994396523831, -0.741762376286822, 1.3175067626131827, 0.7131862180453467, -1.3368213378631555, 1.0105179559628112, 1.4597833049600062, 0.04434995124374911]","[-0.44365334054962025, -0.09278187412219534, -1.4962897971867781, -0.3471676701830621, -0.35570333447275826, -0.7374067870940588, 0.2831908402251328, -0.8341959700125008, -1.2803069957333046, -0.16038829838660057, -0.304715446915607, 0.6057262357114104, -0.2899072168614145, -0.37199741861551766, 0.35559069075703914, -0.6449440664926522]"
"[-0.1455230773271591, 1.3617892939172633, 0.5692102199322596, -1.231728442374809, 0.8357812253056629, 0.00995935342153641, -1.3111806601077836, -0.8621604798869182, 9.370276107401194e-05, -0.27814466176337055, 2.232384418446241, 0.11287182616412278, 1.3464760905215887, 0.5677951921947808, -0.49019064981153376, -0.372463043913132]","[1.1642670188051791, -0.5779406032657041, 0.1496983351264135, -1.2543588808458437, 2.0041930928210463, -0.2655282774373277, 0.5469873758594963, 0.21806324047576542, 0.21796945109048657, -1.1855323250359795, 0.08804609200460534, -0.10065426017945654, 0.25823662036396894, 0.5653693734608909, 0.886090874792463, 0.8316573992263164]"
"[-1.361640085927455, -0.9545946924211745, 0.8974573672649548, 1.984967962566298, 1.69954012714939, 1.1172232087932432, 0.6482478891468981, -0.13228874530490564, 0.1880055138925396, 2.1531558336079124, 0.33633328537104473, -0.7678065406179989, 0.06605271693830038, 0.5239213925130112, 0.4233040231140883, 0.7281496623494303]","[-0.40608479243171947, -1.2513757463219624, -0.8326304787652086, 0.2048515626239008, 0.7678383865708232, -1.8464277390935848, 0.48856965461116375, 0.15284588050966938, 0.15246341669675903, 0.0861406732960464, -1.4868423537161013, 0.32826731106018264, -0.21772186725697198, 2.055707663309423, 0.7071266409272565, 1.047546642407753]"
"[-0.03027689194512208, -2.567214461913977, -1.1539081333229912, -1.0174228215371417, -0.7448321282274092, -0.2168095619435581, -0.3376223184630392, 0.7049449337107794, 0.24266597819985256, 0.9602648644936239, -0.8498403351086385, -0.036081242280894675, 0.7045261728063533, 0.6825613326174602, -1.3324403268510217, 0.9545785673410386]","[-1.126740778163842, -0.39252392470821923, 0.9021200805552982, -1.0950053562756588, -0.5509449086240676, -0.48069813878853124, -0.35641685936369116, 1.7491072452839902, 0.4818722217587017, 0.522824031504105, -0.47018152656453616, 0.12233546416115816, 0.004803465989347318, -0.4675578603649662, -0.44285210500435723, -0.49032435624347726]"
"[1.2183213180634063, -1.9870221807046586, -1.4001956958758004, -1.7848376026847723, 0.11998980114030779, -1.1802297237834276, -1.4458847360901186, 0.5900650909350785, -1.5735776887379225, -0.4952258301121214, 1.0347694697452843, -0.9303203520301896, -1.2993139505041023, 0.2892415183005949, -0.946663435360923, 0.05484535951603675]","[-1.0530191858322002, -1.113246952530998, 0.42614038493481743, -1.3327581579246814, 0.14342392636001045, -0.9172235959382993, 0.7648220051349587, 0.03544443213131408, 0.5093562137341303, 0.49278958418106317, 0.32890771340098557, -0.7246892359213458, -0.5787070483247236, -0.9616244971826267, -1.3199157017556973, 0.07624974499416387]"
"[3.5278698043803054, -0.3886884255850919, -0.24917978288625514, 2.598230256619115, -0.31115347585835684, -1.895158185816706, 0.4460595848570554, -1.6131171323236817, 0.36379788553684683, -0.2571715463134927, -0.5988700033458556, -0.6696102443497001, -0.01989106881416131, -0.4556529817775041, -0.35916152183443356, 0.314859020267906]","[-2.467795878844276, -1.0521528715105863, 0.2260265490630368, 0.2636414958743228, 0.1544810160458425, 1.288659133660348, 1.5727773668390268, 0.6739010514949597, -0.7457065365599638, 0.10159509496391192, 0.024971943372375315, -0.03127179828356532, -0.6411099159896423, -0.4444425363264325, -0.27632031214625297, -0.43243683910549274]"
"[-2.2298601208948323, 1.6103727944650421, -0.840373070999274, 0.7465021790433358, 0.02593352701547098, -1.8760982881805843, -1.0890317397580909, -0.4871076063608096, 1.0123697711424204, -0.7109284290244946, 0.9901069877583529, -1.2227828605131814, -2.145437064352078, -1.6097212072544802, -0.6447739131937203, 0.22097825488015363]","[0.9815143724801215, 1.0143722145248262, 0.5379446642485067, 0.15423687122348037, 0.7238947431454316, 1.1042896807962554, -0.22255874736481407, -0.11418643490194523, 0.40013690104319044, -1.2862254135525941, 0.003652514896907817, -2.2693400782530873, 0.1816240561573621, 0.8793000299045931, 0.2078420211795685, -0.6288894117764817]"
"[2.000039861853234, -1.2279265282067084, -0.8401053362653836, 0.01646201414436595, -1.0340022506294801, 1.89306833315832, 0.6320161435551079, -1.119392936973519, 0.7093640520850011, 0.869389797459979, -0.3956251988095888, 0.20310784006298865, -0.6283537041146738, 1.2234176283780152, -0.29646886535929146, -0.016094098164478515]","[0.22420164357860706, -2.2094324266588528, 0.33663351983773626, 0.5549988955718155, 1.142961399080685, -0.806229440560399, -1.122443468410698, -0.2681496544894788, 0.1450734309490284, -0.7150954880819582, 0.2923618684058549, 0.4845160106268538, -0.41757355224636955, 0.7144222302747775, 0.19331250740421488, -0.5545524049977048]"
"[-2.204461019644894, -1.2125824528712106, 0.19571816199377623, 1.0961406467597792, -1.7227912215961834, 2.145800117012039, 1.0389343269901101, 0.28367759008443644, -1.5189374037402918, -0.16456609769325295, 0.18387933493342387, 0.717166388984034, -0.07061693079069005, -0.03722254512712052, -1.1414871599339669, 0.015256998988890809]","[0.7791737411578129, -0.44983805541616645, 1.3524207945543516, 0.7657864177404072, -0.6638430269755066, -1.0952505018589647, -0.9327153471084197, -0.4079296169764818, 0.5962430617943114, -0.023322007880874324, 0.8672674638179333, -0.7034665656261002, 1.0139350560835432, -0.3626047925113894, -0.49862729781718534, -0.640363890138266]"
