image_embedding,description_embedding
[2.8112029228506454],[-1.2197062823688936]
[-2.614841973870825],[1.3380146370920905]
[0.2332896991535475],[-2.1319351703193243]
[3.204608526526016],[-2.634948032612736]
[-0.29175357275219993],[-0.3560382128632432]
[-0.36613454528896433],[-0.35598888514053784]
[-1.6920926747353866],[-1.2604425459707336]
[-0.746943929343215],[0.47911989934975135]
[-1.189694399017717],[1.0891086378619534]
[-2.571614188051897],[1.6436910965645533]
[-1.308513427156447],[-0.6962005677765034]
[-1.5489884472498217],[4.277953495105814]
[0.10899055844629925],[-0.44377829572426314]
[-0.1455063921943512],[1.1642982670997246]
[-1.3616335352785038],[-0.40583731371377224]
[-0.030269600535729902],[-1.12663498465127]
[1.2183345584069554],[-1.0530130042670571]
[3.527845801155935],[-2.4676133973244196]
[-2.229885262530355],[0.9814951350031248]
[2.00006462832718],[0.22416775874015393]
[-2.2044453902114856],[0.7789657035931508]
[0.17216716644754432],[1.2525380610089054]
[0.5865224217810966],[-0.2607874086215269]
[2.0933387605851443],[0.2766885362320402]
[-0.3123637279576745],[0.048512321879970705]
[-0.5381262142007985],[0.7630611485884646]
[-1.7762922875860592],[0.25961221163659814]
[2.052140808957987],[0.9401071578238471]
[-0.692764668205677],[-0.3335953001177832]
[0.7068710325301075],[-0.833821302203777]
[1.8370819552458244],[-0.9619463289310062]
[0.5943671656622673],[0.41532047217674134]
[-1.139523333310272],[-0.262506664720186]
[-0.6176831646004664],[-0.17796586251471566]
[1.4923951362523264],[0.3204856630223988]
[1.5303986636923381],[-0.009965669930999288]
[2.585091741318359],[0.9256333182844524]
[-0.38847381820398935],[1.7454764793993356]
[-1.1429865975619626],[1.6319210415256915]
[1.7860295052875952],[-1.2636162093611474]
[0.8606787983116021],[0.20753549833360627]
[-1.1890169344132508],[-1.7176492069706177]
[-0.4798559058001109],[-1.5014912792478081]
[-2.909380749430388],[0.6289787065628242]
[0.4175529765807204],[0.06390409712690545]
[-1.8782612586783312],[2.4648073783609488]
[-2.155582343288878],[-0.23317554131836898]
[-0.3953578169219381],[1.869447212428264]
[4.614647984391206],[-0.8790966730510325]
[-0.36120818294147305],[1.3936696821447758]
[0.24235010807555676],[-0.28010820632259226]
[-0.10379801366983836],[-1.1034050589409032]
[-0.1282839629431676],[-0.7383969186484702]
[-0.06338105104340112],[-0.07605730704402523]
[0.8354116946310609],[0.8309088358255262]
[-0.9265016429082381],[-1.2648928483572732]
[1.1378752445577809],[0.7966027487829042]
[-3.1947971479353847],[0.42614291500927487]
[-2.4427699461268193],[0.18379407660638658]
[0.9856842128549381],[0.17833402826084588]
[-0.30666191211098326],[0.5904053410059852]
[0.4169584031513929],[0.2175760452499361]
[-2.0813617281338863],[-1.391318015901063]
[-1.7683068595730425],[-0.4268647697630541]
[-2.33384882776134],[1.7941576438537234]
[-1.3958221403489988],[-0.7912455411502557]
[1.364922148220405],[0.7345172112168653]
[0.8743249550095599],[-0.20475267387286905]
[-0.8012087434528747],[-1.3552722148146337]
[0.12199141037049925],[-0.17330386510457166]
[-1.2734497381101073],[-0.8198357803444943]
[1.6303698361875205],[1.7512009278973422]
[1.7732443200681363],[-1.0335742153112886]
[-0.8770132601929833],[-0.6215452339725427]
[1.3764015154265314],[1.15062100624616]
[1.9996500121951086],[-0.0621247847990971]
[-0.2798621259543002],[0.06549109248250681]
[-2.1298760262031973],[-0.22465481090361075]
[-0.7904253330878],[0.10543035861675625]
[-0.9696407103048023],[-1.452134362775043]
[2.422732771087343],[-1.1047285783671108]
[0.2696434042988535],[-1.1808509851529647]
[0.30479033933165556],[0.7958847305667013]
[3.5804860469887267],[-2.9686180274843657]
[-2.6854315725308093],[-0.7347980262892324]
[-0.7507566696642789],[-0.6733131374318968]
[2.6341543250507464],[-1.5732161719271092]
[0.46312343457460636],[-0.07637261677073545]
[-0.0013382719009237705],[-2.360718671643079]
[1.2016390413539042],[-1.3411006439886417]
[-2.1766908986283164],[-1.2357741461502323]
[4.846056821953972],[-1.7357774280486133]
[2.931704606209462],[-1.8383119484982162]
[0.838738074427904],[0.90866671925117]
[0.8157645705131776],[-1.4369767043835313]
[-0.8903208187948644],[-1.7417857545128737]
[-2.7893566337079885],[0.6279330086759232]
[-0.42283234918839],[-0.5216611395186999]
[1.0092633886869464],[-1.1586461913367667]
[5.129764648219944],[-2.5721527649040565]
[-1.9200374099434492],[-0.9425323620010743]
[1.0445120643115569],[-0.8434117228915974]
[-1.4781657988164862],[-1.749046992051044]
[-0.9326777010606553],[-1.2439430061774903]
[0.5616795493319359],[-0.6363251784626123]
[3.5358792198972995],[-1.725046944132115]
[0.7863947265737592],[-0.05193389439131253]
[0.6236884509818661],[-1.7299817885151467]
[-0.7042696702229326],[-0.5626762938242691]
[3.234334313700898],[-2.1003831472069137]
[-1.73774092670699],[2.9930843404491148]
[-3.193494024881637],[0.4960580493427057]
[0.6842571449588077],[-2.123712072449109]
[0.43999335426856984],[0.1782975980902269]
[4.137235330344372],[-1.185651256881641]
[-1.506003417397742],[1.8556387072978777]
[2.4244024798038613],[-1.3170019255786083]
