image_embedding,description_embedding
"[2.8111800355550494, -1.9081308304939884, 1.4180894695909756, 1.9827187746215382, 0.3315165598154558, -0.3111371163008626, -0.9526341715389252, 0.4527254104773936, 1.3808633164235569, 0.4543193542466215, 0.8848353342306926, 1.0029136766600002, 0.5734798121400823, 0.6851590245372894, 0.12885604783749874, -0.45078906961468634, -1.4786595719736386, -0.975917285427695, -0.4087853959681501, 0.6758901853461619, 0.010769705858563097, -0.028664639903335256, -1.150422916415961, -0.2317056859490829, 0.5149409174428526, 0.2684253853955805, -0.48189644692003364, 0.7768748466567795, 0.5047637947850149, -0.1707547693915967, -0.3199404238140912, 0.46120178494494624, 0.7222980076045376, 0.794532683019549, 0.4027507532574783, -0.3704878454419579, 0.28063498781618684, -0.752412939490563, -1.074333010849452, 0.11990839311468021]","[-1.2199084549618509, -1.5093113531730094, 0.3285064582801414, 1.1465380599453692, 0.7443795969367623, -1.177820265774141, 0.11519455823965417, 0.09158539757628877, -0.7468903562433488, -0.2584705187747497, -0.19487893589530159, 1.0034887371850385, 0.7041101292478168, 1.0883168979654583, 0.4116433802118469, -0.8820980463016892, -0.720335511225611, 0.22265451578688372, 0.20564755704497403, -0.41545320105741007, -0.10771031412911698, 0.9043368214300695, -0.2088147351190568, -0.5912275330351121, -0.23528224523617433, -0.052192547578891316, 0.3403631386287825, -0.4835386072807317, 0.19188963599845182, 0.3625810948532298, -0.2116350766920832, 0.035635817517990165, -0.10805950371877925, -0.2508855450685152, -0.26243162673421044, 0.07742230167719036, -0.06695578468767628, 0.28694637500750414, 0.16243857388276753, -0.01069148529598835]"
"[-2.614848332445839, 2.5951159123861243, 2.0305411405331553, 1.402823723939876, -1.6548847276466572, -0.046115552155359764, 0.23006890096735735, 0.7433260217294444, 0.7891557715602985, 1.153223670595969, 0.8245779724363538, 0.731270088214885, 0.6216898402770049, -0.41433555395469784, -1.760512458811424, 0.2959972789815217, -0.7904259964895337, 0.962817860906941, -0.4370634758977248, -0.4926419930807888, -0.239786792221642, -0.7049684211754188, -0.1211221923597694, 0.4465012864194076, 0.3429945696585847, -0.8126058927092396, 1.1077670975384013, -0.28366614511249416, 0.5483750515946225, -0.15229242544542795, 1.1534915128921284, 0.40771533477354127, -1.3634777186305738, 0.5252820438459543, -0.35878064007966926, 0.526452044483717, -0.6238049717271386, -0.4071786464220752, -0.7338292684197827, -0.09385231243188231]","[1.3377968962321003, 0.6001142921744125, 0.4635288184111656, 0.20103336643787753, -0.7004367310760693, 0.2696851639305229, -0.48474081505735656, 0.09752588504757348, 0.08510067501656615, 0.7846273787471529, 1.462241345411934, 1.4859304624960878, -0.1985600002311996, 0.4910370157913541, -0.9313758838619609, -1.3752192387964612, 1.3745205279306032, -0.1602832159327948, -0.7219126227941303, -0.9612859306564862, -0.08417150116966048, 0.21401806582904004, 0.583062973981413, 0.49435769210274333, -0.5555632636273384, 0.04685515151451389, -0.18538540572194426, 0.40605720529375866, -0.8098966587032203, 0.13280707029067132, 0.16603741704141373, -0.7231481460669336, 0.025875633276369023, -0.6055207725161864, 0.45551566310483443, 0.1029078930336603, 0.06307825631235536, -0.8737671447232647, 0.5367771114716724, -0.7542628077793008]"
"[0.23326947745024285, -4.0696084436481055, 0.46551380752317145, -1.6152811815972248, -0.0014469106245777036, 0.15015398263661062, 0.6308282420456929, 1.09814075027548, 0.8695870908991078, 1.9844226926154829, 0.7462509084720332, 0.30190385640494355, -0.4583530232400686, 0.42900878239086204, 0.7004856208523734, 0.2067582428079863, -1.689039345351792, -0.5613014954972915, 0.9478167495787617, -0.9811215722384707, 0.6929675173088535, 0.24109130568663856, 0.1388825559731302, -0.0153996396883288, 0.019183933768615005, 0.054241714632345714, -0.02138863619098975, 0.9338306252629768, -1.7806194291713988, -0.5064655223273503, 0.4337840797179963, -0.557155763800751, 0.11272650473957779, -0.28170035483593736, -0.7122472612140126, -0.09109778909437079, -0.1969951341350583, 0.649874318213768, 0.22115393802380023, 1.3188535185931387]","[-2.1319503698393034, 0.7478145875626444, 1.7501317844896858, -0.7691860377612486, -0.5368362601331426, 0.5224747193773104, 1.1627866253540968, 0.6458762432510554, 1.31023090719808, -0.573468253047452, 0.3352696687385167, -0.4559082953526369, -0.43176582389058293, -0.3136405416395351, 0.19280794834528267, 0.037633305224369536, -0.22933937623805478, 0.2562136327593935, -0.7672542217034586, -0.4230600723881251, 0.4257748624829515, 0.2755693838361433, -0.05718551025608285, -0.7313553281295501, -1.0797384423552296, 0.8349664311858853, 0.9921768034445378, -0.028684864231666933, 1.176652365287223, 0.32519927614818095, -0.19732960919986559, -0.8757400278138129, -0.6121614081543566, -0.001111310123542088, -0.06889516192170071, 0.07937683055521225, 0.03331868377681152, 0.14509859511280068, 0.46947897800279054, -0.06439401354927979]"
"[3.2046150796251, 0.021760496204949593, 1.3983676153434652, 2.1563747986633155, -0.8442898677965199, -0.5718153483780227, -1.0126966709635543, -1.0452580417091182, 1.041416192286783, 0.4129386870844947, -0.5248845421899649, 0.23669517576319446, 0.06295238296510544, -0.06495778394432157, -0.2566458852180877, -0.47937533377900154, 0.470021613914708, 0.4091162885556287, -0.13270587064640285, 0.5663982504170765, 0.39448677185120085, -0.939187727258302, -0.23833244983991944, 0.24916006966374027, 0.35495525610741285, -0.6073178135468377, -0.2034780748143634, 0.27873231756003475, 1.4923290994374092, -0.4692752946491904, -0.2863183702535499, 0.9048503463813294, 1.1856081009029018, -0.39745562915122956, -1.1444899786830574, -0.8031895127163754, 0.9924569364034352, 0.1278827068642619, -0.5653129352645261, -0.1352218563564297]","[-2.6351865220489388, -0.7566599936879679, 0.15996144016560707, 1.4895790033837004, -0.4567920532968069, 1.0199473469757645, 0.31352042410042913, 0.3397506480685135, -0.2212836430132584, 1.0194148881745626, -0.5143296630956861, 1.147243268941488, 0.05616741271402821, 1.0170520072996732, 0.21600329821643452, 0.25107738536099117, -0.4840708262990167, -0.26622679467012494, -0.01840664556613278, 0.43079007505705524, 0.31184883505954614, 1.3014972260177142, -0.4035500779329822, 0.8151664058721911, -0.7323553574199683, 0.05034341574172011, 0.5225469844054662, 0.5274804597659832, 1.0657097477589323, -0.24589604764620587, 0.12638107538935298, -0.3140323079425643, 0.21223868105792937, -0.5135545914307783, 0.13298978101600406, 0.3794616773327977, 0.48990988070240743, 0.34665986039441904, -0.43636384666161565, -0.39569066995178137]"
"[-0.29171433570234717, 0.8035444212040045, 1.8977053049803694, -0.6899823846785393, -1.1382962622233501, 0.6785480502930754, -1.5331152036229874, -0.43680931003876466, 0.381061574941679, -1.8458655326124804, -0.6733310103540526, -2.057831667892918, -1.3161504871691778, -0.5754381828686748, 1.620032982371444, 0.34030754192914564, -0.19880294445365343, -1.008790751118663, -0.1875822007048268, -0.43433757351975494, 0.6037960078770277, 0.39448653980818693, 0.3445085918069758, -0.6986882647484627, 0.611237426572332, 0.570245355563822, 0.19709628988361805, -0.7794465931333842, -0.898187246231557, 0.03141337018366932, 0.8252598684375412, 0.1278233905612726, 0.28842942576379205, -0.5894004170102598, -0.9847160704950061, 0.4043844700224566, -0.1634479420060934, 0.4422074131940876, -1.2752889207761553, 0.28773135715550796]","[-0.35598888184006455, 0.8375223587934091, -0.9227341587696194, 0.5654117000183748, 0.9470656914868196, -0.20295797986166764, -1.1607893157360187, 0.5654936001164599, 1.104561449798781, 0.8745819136399453, 0.13256342254944056, -1.04456923391172, -0.6962527239394393, -0.7589555029513619, -0.2578152758468878, -1.0035662732765718, 0.10559008847821455, 0.057556667132012046, 0.5393170166913486, 0.08199519871127582, 0.431907495087504, -0.6671705003365208, 0.38483882310725237, 1.2906908866070068, 1.3301179315874962, 0.015477807729390383, 0.27657545190963384, -0.7939297138531858, 0.07219216025943302, 0.25367387488891463, 1.2340504843963498, 0.28321416357753953, 0.6677382013831861, 0.39475811026272367, -0.19540634354156364, 0.08944540582735463, -0.4127083752485725, 0.5688747301407332, 0.1407269410089367, 0.1780900330740392]"
"[-0.3661527353681237, -0.25351228997041747, -0.6418522229919972, 0.8914198584593832, 2.614795226806241, -0.6701984201222827, -0.04345500260752001, 1.0290012853165482, -2.7717140061678367, 0.15634417756330846, 0.19577617842528086, -0.60502516135843, 0.33092824931273834, 1.290252914746576, 1.1884292206643403, -1.0493883453817807, 0.05884924675762932, -0.1842636358887751, -0.3946159992164179, 0.44824940408344754, 0.18219510182277793, 0.6323985456512143, -1.097847110264748, 0.1299092269501212, 0.6497928229438557, 0.9138209081768651, 0.5892570505639436, 0.04590883254691671, 0.33746919680219245, -0.32614377078888446, -0.15904222274196708, -0.9191993033295219, -0.3321920689619887, -0.07789693075556955, -0.3836588592975109, 0.25792259829535236, 0.42413615399446136, 0.32453837249455486, -0.3428348286097518, 0.3732333395146396]","[-0.35611705856446474, 1.003260521946089, -1.2708834212415376, -1.23231177097615, -0.5447546393280864, -0.6007722594138565, 1.685570039432637, 0.24014619184708133, -1.112818027998302, 1.2755400666157015, -0.38699590942292084, -0.32884617444745873, 0.30003854928292095, -1.0089555746170018, 0.3647499583223199, 0.009162711639848926, -0.6729779979579763, 0.4755519806140883, -0.0262451135426834, 0.09790484288659557, -0.47930329001997857, 0.11212667253892702, 0.2854519466018202, -0.7474471798112933, 0.3333790929810088, -0.0858102235338918, 0.40204059432671835, -0.2632737406306454, 0.509780285824016, 0.8507432621338992, -0.44651300706793795, -0.046857185824811985, 0.30893290809491636, 0.3198857415418136, -0.3665593156532535, -0.06917234493563916, 0.679028220388933, -0.2955933545816153, -0.2631196742888572, -0.4614371932189103]"
"[-1.692074857208453, -2.1047773902340565, 1.6921839561608565, 1.5694488581766932, -2.73405930930631, 1.4614907081983817, 0.4455547217823924, 0.0443929813628625, 0.005691513069204047, -0.5880919519928147, -1.117550799065789, -1.6392332047367304, -0.4302273229933355, 0.5583475251416956, 0.32130954414597795, -1.4387600153681532, 1.346612865919284, -0.11837697137711424, 0.45678585890458245, -0.0509215371257139, 0.14460197825103596, -1.4912851408039718, 0.25261971730093996, 1.5646494961818995, -0.9320733839991908, -1.2238578264204707, -0.8710956177745159, -0.9853630855986723, 1.5358467282643047, 0.8181501607261584, 0.1555288616404104, -1.5210870224744732, 1.3003706949867604, -0.7044788994241495, 1.0063202695024211, 0.6893084091544317, -0.6893196263080138, -0.04447040990097706, 0.6939589490955058, 0.1813310113621256]","[-1.260054659335411, 0.6731674044345783, 1.5312255239372907, 0.632671940558919, 0.9840423218662236, -0.7498965149690969, -0.5457743801325636, -0.4754970084217134, 0.25849122512844463, 0.5347263816546701, 0.5977336304449938, -0.7250334296978411, 0.11099794920904617, -1.2096698907058068, 1.0630202662809056, 0.33709204743533583, 0.5419207939094665, -0.8384490128348653, -0.28406125226272266, 0.1426634883735919, -0.21094746491457822, -0.5132434811110863, 0.9422247698355372, 0.15845530059349838, -0.23495531499774264, -0.49060593746399445, -0.296269233835577, 0.17027655291003732, -0.027690695458247563, -0.3218170076127629, 0.7183135838980271, 0.11280429084643206, -0.5685054252719903, -0.2987349945129736, 0.41986750874134304, 0.32595610198328756, -0.09943347360405327, 0.45297742622984793, 0.07056298411561043, -0.11576306720967673]"
"[-0.7469335561949446, -2.515590156755241, 0.5490261939267332, -0.35298134274182996, -1.8693324378522902, 3.038875445971983, -0.8404477942459814, 0.6007413527828075, -0.657183068668688, 0.5854579077996991, 0.22446451774172377, -0.5001844904037009, 0.013983895351960563, -0.39805088835535785, 0.9576109530623504, 0.3526974150679418, -0.4538552431987307, -0.0789308471040153, -1.56491775554453, 0.1494041602404285, 0.9557027034035258, 0.7473674140201311, 0.054649405673113424, 0.47093300073991023, -0.17800051707895279, -0.8444530360022737, 0.45631397625925046, 0.9963363929399524, 0.3343262337307473, -0.027693765993603254, -0.28504142990344683, 0.8012622213469746, 0.0398628107990763, -0.3255001713225995, -0.6828588847310711, -0.12751284728279116, -0.33790359974218626, 0.3794677604111476, -0.3438956212150076, -0.014914040763654672]","[0.4791373142989721, -0.7808386580074657, 1.0076562681619496, 0.18469878635357884, 0.17999428079058077, -0.912962411137058, -1.5231816436344834, 1.3557890790542502, 0.6728640508664644, 0.5367383583905507, -0.09735662801717623, -0.09630520511281429, -1.310042034507941, -0.4708389875848696, -0.42893321810257223, 0.6017213642487601, 0.7939491521610871, -0.3958809793233809, 0.8856787620345653, 0.6105008691077648, 0.01779319648966616, 0.49033714844271487, 0.4229068080880185, 0.49548348639628037, -0.5159677588446009, -0.3340909891171738, 0.2514825629710935, -0.20176844138348776, -1.2694476130479542, -0.3068527358227011, -0.4266825084244886, 0.14057681791945725, -0.5947075693942742, 0.3834860015545024, -0.2925583710691269, -0.130937938708173, 0.6296790426666024, 0.6280281740136419, -0.4656710300595222, -0.15455719288762107]"
"[-1.1897234027197998, -2.68525748703449, -1.0712279537180902, 0.572356925577781, 0.19523855944803373, 1.816119179408265, -0.6861692162579612, -0.2584318200879892, -1.5369380415737848, 0.41593940933476853, 0.12808010454302177, -0.02964002774499242, -0.7260867420765846, 0.8941332861274903, -0.6344472756266446, -0.13140078893083135, 0.8884622289236085, 0.31497701438027675, -0.15830220256555788, -0.31802621951422, -0.9388334737267716, 2.03538958405878, 0.16406700503427438, 0.4693792020458131, 0.4415199161432525, -0.871447591744147, 0.6171299032036478, -1.318780305528007, 0.35113105024379365, 0.17812085376647346, 1.3445086116601166, -0.2822705714609693, 0.6011392601967442, -0.14710735613365541, -0.06966465944466686, 0.2181968880561206, 0.3924271985171745, -0.043543398354996626, 0.6996561238725447, -0.35039092248112563]","[1.0889730812963294, -0.7524502936809154, 0.05049627434693946, -2.1135101975076798, 0.20979081638375158, -1.353919814902911, -0.043762481987359984, 0.7329754386763844, -0.3006136184432519, 0.9126536639404629, 0.7260438840996832, 0.578222865167453, -0.19777044481101516, -0.027052956627001305, -0.4129355461389769, -0.8666372072195576, 0.4938824717159942, -0.6982735498061092, -0.3171432764267475, -0.11108211106528723, -0.2718343475869948, -0.4638344620380951, -0.052083571174459706, 0.32207129290209563, 0.19421364635366897, -0.7491702890142015, 0.11786135383575169, 0.12057697467477718, 0.33596062411883426, -0.6442622419754108, -0.03343109648377997, -0.26954297994539617, -0.16782040085355446, -0.3817741423617068, -0.552288417468104, 1.2626115134845002, -0.5275323095296321, -0.16267877894739505, -0.09208995807629851, -0.28186837264155534]"
"[-2.571589496577274, 0.1735463194150147, 0.10116545594600292, -0.13309710563311083, 1.1985078691663928, -0.3035305196111576, -1.0025225732833718, -2.002458570586008, 0.1733638527944819, -0.2193647951201047, -0.3406686003519122, -0.39478543433555097, -1.4447285994311314, -1.3928634354849054, -0.30616515334552663, 0.8511017474671088, 0.16978339021913397, 0.08679484646946208, 1.2506803271059914, -0.03262221418827581, 0.49146820465620983, 0.6283495225378162, 0.3360998847101957, -0.24429993104561004, -0.10866573613170831, 0.5745230762215896, 0.5851197422965685, 0.7156212254323229, -0.4690612135231412, 0.4698002258888786, 0.1942705843143847, 0.7913604610085841, 0.8520652139770168, -0.5118084723442001, -0.44294238069882674, -0.05409328520363484, 0.513058166519637, -0.9614308135905401, -0.18374401126071901, 0.3836026208492923]","[1.6437676795773155, 0.7767774079864034, 0.3085025073731275, 1.6205691183004372, 0.48733011511373286, 0.46282100451810126, -0.017705985595099387, -1.5974300134846764, -0.06914310624688448, 0.07610208068428391, 0.6916743831503626, -0.5946890281393679, 0.3155089331172389, 0.8335261895735192, 0.2770833011972153, 0.526569867385292, -0.32557602366191724, -1.0301828361337595, 0.7565146306226587, 0.6158452493698185, -0.5613577689849921, -0.7844718205863329, -0.02812576136573027, -0.34384114659275733, 0.18622015379932438, 0.21599376988186128, 0.22975309630688365, -0.6086643207156937, 0.2406669861509878, 0.6624627603275376, -0.43396365619316635, -0.7585475617091268, 0.26902641176163594, 0.24125546217587904, 0.531387424182694, 0.18735928128822632, -0.7000939655994374, 0.055306925403116214, -0.2422843532117234, -0.1505600397992781]"
