image_embedding,description_embedding
"[2.811180601205388, -1.9081196695530431, 1.4180861858075164, 1.9827483107531962, 0.33132880894660277, -0.311292641690464, -0.9522818150389619, 0.453957198059535]","[-1.2199206775820166, -1.5091783495830253, 0.3282787874139937, 1.1463105835273721, 0.7405835979105418, -1.1712734646313765, 0.1178548357969296, 0.09080235351014367]"
"[-2.6148473114088704, 2.595104674386809, 2.0305987285693936, 1.4028049108447807, -1.6547727320709136, -0.045553318721285485, 0.23062855455733883, 0.7404030647386446]","[1.33779773388695, 0.6000185504247694, 0.46358118868444625, 0.20146354939379352, -0.709553746246512, 0.29718341233236695, -0.4749121271074444, 0.11435866026490792]"
"[0.23326831926499694, -4.069602111377639, 0.4654553020249773, -1.6152898835534824, -0.0015547090920640667, 0.14983977174877244, 0.6304863489612038, 1.0996059234771858]","[-2.131952004843085, 0.7478010674436394, 1.7500336265770855, -0.7688497721497889, -0.5387870975408648, 0.5207468585815443, 1.1713054595238026, 0.6413828749446503]"
"[3.2046158128443443, 0.021756286950736982, 1.3984003147700197, 2.1563870395449216, -0.8442472426843977, -0.5714487402737308, -1.011170964616914, -1.0458122524252014]","[-2.6351940010113424, -0.7563946871588504, 0.15961574383616198, 1.4891084556564094, -0.45564222630556644, 1.0188419705747254, 0.32796523678310163, 0.33165227180148427]"
"[-0.29171518544134617, 0.8035471984827448, 1.897645800059297, -0.6900084133755195, -1.1382663367142385, 0.6777227165167925, -1.5348641007261052, -0.43538817231500343]","[-0.3560001604659347, 0.8376473232356185, -0.9224462353268504, 0.564954729867085, 0.9402169908692957, -0.16924934177403053, -1.1472327163807396, 0.5638237484394509]"
"[-0.3661515779419012, -0.25350597123940644, -0.6418215704196637, 0.8914065190825198, 2.614618110713742, -0.6700300987544328, -0.043222467876615954, 1.0259155645279725]","[-0.35611376147797347, 1.0031600833587353, -1.2707829204393768, -1.2319945771163032, -0.5439842353215154, -0.6104376588094791, 1.681314046575613, 0.2290746017385245]"
"[-1.692074778659277, -2.104786570484052, 1.6921870852128356, 1.5694769036237206, -2.733951478685906, 1.461863101459752, 0.44723265543684454, 0.047744311874818285]","[-1.2600429841414018, 0.6730368800925047, 1.531495992821444, 0.6330911608436415, 0.9862830907568818, -0.7563582520522611, -0.5612900045159338, -0.4614301955168348]"
"[-0.7469330933366293, -2.5156007855052125, 0.5489988136731891, -0.35305934648562237, -1.8691228880585817, 3.038205669838298, -0.8425780492632668, 0.6006807221640518]","[0.4791352576997661, -0.7807694206405863, 1.0075879660380316, 0.18441972845752141, 0.17716104934695304, -0.8994534341533434, -1.518045653376785, 1.3450722813820595]"
"[-1.1897229281821553, -2.685254257666271, -1.0712010144848283, 0.5723294481877742, 0.19522605239263838, 1.8166755305783542, -0.6866468907663117, -0.2612152436143267]","[1.0889692260630934, -0.7524501105015616, 0.05057130107890466, -2.113578173987482, 0.2052329601497064, -1.3430908657622553, -0.04717969958724508, 0.7421020975158715]"
"[-2.571590811168085, 0.17356102287420824, 0.10111725913948424, -0.1330873842001467, 1.1983090563232341, -0.30365403037727073, -1.0021854306502407, -2.0012142365878773]","[1.6437833447597368, 0.7767574739518376, 0.3085111927750434, 1.620604750864915, 0.4980654532972159, 0.432757381462171, -0.03947780511790778, -1.586861163533433]"
"[-1.3084790996790359, -0.8847161297367426, -0.8595493511823555, -0.2862620509162427, -0.8779877802193693, -0.5096083055868958, 0.49242661357658646, -0.03931679935501466]","[-0.6962891169113475, 0.7384855878673977, 0.37036667847585114, -0.4270322460265254, -0.3480994636183359, -0.47212113481992235, -0.7427901543950552, 0.4150918294209261]"
"[-1.5489781377371343, 2.2538381919645145, -1.64485723363314, 2.148302010201151, -0.8730797435066908, -1.2576632041218971, 0.13279852478809093, 0.8779118447566151]","[4.277869340515825, -0.8802608351216729, 0.24865031699718776, 0.43791565307401786, -1.032730373983182, 0.13454846872756257, -0.3882480949414035, 0.32159774955825116]"
