image_embedding,description_embedding
"[2.8111800438123575, -1.9081308208786467, 1.4180895602652694, 1.9827186959461103, 0.33151525358303086, -0.3111421483228376, -0.9526325554665349, 0.45273652809443293, 1.3809007184966557, 0.45425039782940835, 0.8847696745965687, 1.0029941173134762, 0.5733442230831238, 0.684951585124345, 0.1304463795459248, -0.4519983328091826, -1.4779240892201886, -0.9780294216148896, -0.40931830269226954, 0.6759134879227726, 0.011094075216826392, -0.02060220629837675, -1.121875846959502, -0.20796279693663844, 0.5545753599383093, 0.23755822461773063, -0.5061615407660466, 0.754612716787203, 0.4718680627408357, -0.27224240573885544, -0.40812134095173325, 0.32709323978215815]","[-1.2199084343480786, -1.5093114444087823, 0.32850769231707516, 1.146535795845088, 0.7443808015555754, -1.1778392659135337, 0.11517647942674573, 0.09160523476337519, -0.7467925275663186, -0.2583066022393861, -0.19491039227669243, 1.003460397538105, 0.7038812574771874, 1.0883022559935112, 0.4119822757406276, -0.8831537758898175, -0.7207678300148184, 0.22289026009020535, 0.20554036521544425, -0.4126271760035767, -0.10610046377554512, 0.9030385506499707, -0.21455650493298511, -0.5878280517827944, -0.21435260084318675, -0.06448837282614471, 0.35625060267493186, -0.4662708512818156, 0.23639924892539022, 0.268472766225814, -0.2641698580476181, 0.001808289692949619]"
"[-2.6148483383097236, 2.595115876434738, 2.0305411942893374, 1.402823889655676, -1.6548857274041313, -0.04611140115987045, 0.23007151574110146, 0.7433068777055118, 0.7891325446556534, 1.153244216625984, 0.8244916775106098, 0.731197045778981, 0.6215035638914889, -0.41422870211931195, -1.7606147087776607, 0.29652556362003196, -0.7903483132054058, 0.9644087915480748, -0.4355088762957156, -0.49136051975403594, -0.23753458750197082, -0.695035058389449, -0.11814638341312625, 0.4457735386511651, 0.3489388052433027, -0.8091743426626921, 1.0988009439998765, -0.3294051927700028, 0.5210498403843694, -0.3843734986277378, 1.245396965681678, 0.44605141869563175]","[1.3377969112599697, 0.6001149189653405, 0.4635298679882571, 0.20103626540239003, -0.7004368981120769, 0.26965510760414124, -0.48476750859518364, 0.09753561911606283, 0.08519989677832407, 0.7848145211342482, 1.4620422663221968, 1.4861123556037361, -0.19889784362157534, 0.4911017662517305, -0.9314470082950808, -1.3767953214978328, 1.3738097473010218, -0.15982401533345406, -0.722516087127809, -0.9569942188609531, -0.08255796498086987, 0.21079153684008897, 0.5763405773481277, 0.49236445130614875, -0.5490394640488374, 0.026969415303672944, -0.21139687474342414, 0.4073085781333266, -0.7834683267303004, 0.19725814494636096, 0.14014023667560196, -0.6936854216020613]"
"[0.23326947598077394, -4.06960846317047, 0.46551409654869325, -1.615281454559072, -0.0014480037489289852, 0.15015381387995344, 0.6308197261634443, 1.0981239733976969, 0.8696457138072005, 1.984430893615485, 0.7462815282670346, 0.3017392815088969, -0.4582853404100474, 0.42882272311902053, 0.7007613212869512, 0.20698035655623503, -1.6895286741461757, -0.5616964274336526, 0.9376691021942374, -0.9851085107451529, 0.6853337055221523, 0.22674224213915917, 0.11891457290963008, -0.006197488060605413, 0.02997650179183612, 0.03189590288362758, -0.015273577376310177, 0.9305839678504163, -1.8029469514571448, -0.3117272341046085, 0.2694856671663438, -0.5570105768385889]","[-2.1319503645187856, 0.7478146023534062, 1.750133762063317, -0.7691859483794632, -0.5368346898374333, 0.5224608224910005, 1.1627561366439976, 0.6458824466685684, 1.3103348006671791, -0.5732748089949299, 0.3352098997446175, -0.45576216906931666, -0.43206241716746546, -0.31343129892909277, 0.19338138004524383, 0.03589981489641184, -0.23019781324463526, 0.2556714496173559, -0.7690757377143662, -0.4232072562605184, 0.42567431494802516, 0.2791453505064545, -0.06358971050875736, -0.7228950637823766, -1.0810704538834905, 0.8249680268841564, 1.0042740825777903, 0.03516878432745615, 1.187441422806073, 0.25588393814675436, -0.23793711885621113, -0.8823533353687759]"
"[3.204615050341221, 0.02176033923636947, 1.3983680151005162, 2.15637518974495, -0.8442914429152168, -0.5718002117276583, -1.0126877928855809, -1.0453694626292411, 1.0415441993045156, 0.4131161971266471, -0.5249578995423284, 0.23575690235658747, 0.06257103426296953, -0.06517512442544293, -0.2590903490328041, -0.4758984473598234, 0.46991414899739, 0.4122096591034489, -0.14179031489788957, 0.5710942070090671, 0.3929880815988946, -0.9111052842074768, -0.2426562208279442, 0.2563716951518501, 0.3845769430532666, -0.4806310083875156, -0.2074048199613974, 0.2679888918533594, 1.3502131491852614, -0.6950955886999343, -0.49304808570857017, 0.9235173902435407]","[-2.6351865198770255, -0.7566598723214755, 0.15996068625120347, 1.4895764917093093, -0.4567923802313323, 1.0199508815538276, 0.3135429685673126, 0.33974578064133654, -0.22131156269093294, 1.0193305010341482, -0.5142858472454513, 1.1471130964413458, 0.056388539523767156, 1.0169348134385487, 0.21563431422200546, 0.2509825359011221, -0.48326862916036517, -0.26496349320313145, -0.017058969003530496, 0.43238005381125494, 0.3117596960346864, 1.3040287992418242, -0.3976908960978393, 0.8174240970234913, -0.7213140360044578, 0.04932059333115187, 0.5065941445535171, 0.5824562621754487, 1.0541923980966654, -0.2192827744655667, 0.1828433150920585, -0.26590593800030515]"
"[-0.29171431277976256, 0.8035444368336028, 1.8977054802581943, -0.6899825607118029, -1.1382978945605298, 0.6785414299613886, -1.5331163502685714, -0.43678091970993105, 0.3809625194072558, -1.8459977560764722, -0.6733119647813792, -2.05768338773189, -1.3167406275847622, -0.575995121612232, 1.6231650893382958, 0.3364036396053545, -0.19865457861537741, -1.0111733073733604, -0.1866286735705818, -0.4496002557188898, 0.598779891443066, 0.40061730774543525, 0.36504745884835943, -0.6790783103156014, 0.6694802926273262, 0.4886811054082379, 0.19332347573101488, -0.9100916485078767, -0.84297513091879, -0.20646996737601764, 0.8092457368511824, 0.05671073646525768]","[-0.3559888872825012, 0.8375234095936819, -0.9227324501654562, 0.5654089461488568, 0.9470522952768177, -0.20298433672409744, -1.1608402840060048, 0.5655460137591722, 1.104542719613667, 0.8747390068321934, 0.13261048894322244, -1.0445878082739104, -0.6963756130402003, -0.7595189545390354, -0.2569567839672282, -1.0044127197419985, 0.10699071838162223, 0.054534362812944874, 0.5374153227435552, 0.08213985006529402, 0.43211965185369255, -0.6669786773718067, 0.3816970793959098, 1.2931836641592402, 1.3437152179706588, -0.0018081903531813634, 0.29314358672420066, -0.7971239035774024, 0.06950800592855681, 0.42233332012725144, 1.223851249198128, 0.3934265351576231]"
"[-0.3661527472357919, -0.2535122875326563, -0.6418524357849561, 0.891419988491804, 2.6147932629475594, -0.6702012637695994, -0.04345654208259974, 1.0289708197281429, -2.771730066353474, 0.1562325953356976, 0.19573787104893545, -0.6049839677053572, 0.3314680106097339, 1.2900868528188083, 1.1875697012927033, -1.0490879533954311, 0.06148618777420963, -0.1838943202157314, -0.39746997344066565, 0.4515137396821011, 0.17362912937457736, 0.6402423852022824, -1.0947294880514964, 0.1476772199877275, 0.6610981912928416, 0.9366168305499001, 0.5738286569557915, 0.07739063423249001, 0.24828200539328898, -0.26653318345854304, -0.23509799626447986, -0.9570892804155111]","[-0.35611704446442516, 1.0032606230314123, -1.2708820252302735, -1.2323094239014774, -0.5447564213092987, -0.6008129710347306, 1.6855302632552833, 0.2401728567212735, -1.11274382162672, 1.2757819181746277, -0.3871015901073088, -0.3287390024310423, 0.2996191085744012, -1.0088598306435776, 0.36523429376896677, 0.00787163754475391, -0.6732782816902146, 0.47536479039842466, -0.027077926379166704, 0.1005463173933146, -0.48240880608903364, 0.11630766375591522, 0.2754779758376641, -0.7457106186328393, 0.338738519763823, -0.10754637744760029, 0.3885170318314205, -0.23353944617326072, 0.5791257151664839, 0.734277262721762, -0.5819462216540722, 0.0404927020608441]"
"[-1.692074875555593, -2.104777370812133, 1.69218374520555, 1.5694488843567092, -2.7340581979290204, 1.461496629719981, 0.4455494606933971, 0.04438161108235872, 0.005694439586786486, -0.5880294711278311, -1.1177323978554596, -1.6393461517549894, -0.43028475107165803, 0.5590962026109214, 0.32047153984247784, -1.4356961883910604, 1.3464597165823413, -0.11400301226330906, 0.4576199486886761, -0.043772797068077685, 0.14754817230763273, -1.492319109650879, 0.2395753398194684, 1.553788434270249, -0.9923987817397263, -1.1829980181764495, -0.8770600556487796, -0.981946760717077, 1.5661606797197176, 0.8440847593182564, 0.21352907759746878, -1.495308189364445]","[-1.2600546653753386, 0.6731680841356616, 1.531225953220933, 0.6326645174392134, 0.9840367763563074, -0.7498855010463886, -0.5457796864515775, -0.4754882011575751, 0.2584447198391655, 0.5347032861456849, 0.5978359831110186, -0.7251199943662009, 0.11117244017975682, -1.2099866830100166, 1.0629169492815025, 0.33590186299069874, 0.5425196636230747, -0.839815658730405, -0.2845937955310335, 0.14151710390310404, -0.2089360642443536, -0.5084297590899727, 0.9463142870450281, 0.15988967957326147, -0.2327727286370817, -0.4906100562697704, -0.30908157172319445, 0.12573639969470282, -0.0822286283951775, -0.15810058129164237, 0.7224848716463526, 0.10905266160014096]"
"[-0.746933554429674, -2.515590167432882, 0.5490261173720687, -0.3529813679803963, -1.869332837539891, 3.0388697254029426, -0.8404470824386224, 0.60074569743271, -0.6571688725152558, 0.5853771135474163, 0.2245844711807656, -0.49995967664331553, 0.014648040708585832, -0.398350329480734, 0.9567968278775727, 0.35165262644116835, -0.4536707265557466, -0.08134550793775892, -1.5650809562839023, 0.149350518911572, 0.951772800607905, 0.7462735568150115, 0.06034057266626801, 0.47530017168999966, -0.16316500680896576, -0.8323660997584005, 0.4374694433637022, 1.0387317011164512, 0.347974312877807, -0.013287302547213699, -0.19997225061841817, 0.7288136007991451]","[0.4791373277603472, -0.7808383400717055, 1.0076567285887974, 0.18470428908755482, 0.17999913535608014, -0.9129999854008007, -1.5231934082573235, 1.35576270938373, 0.6729316814304213, 0.5368606644164322, -0.09754906171315424, -0.09619963280315162, -1.3102704562427785, -0.4708749879633759, -0.4288388972680837, 0.6004926738364524, 0.7937811025963072, -0.3952607800020968, 0.8853777457260892, 0.614021614266293, 0.018674919283840453, 0.48865929108466705, 0.41488388404150006, 0.49678403361520795, -0.5056833597628997, -0.3565175477743251, 0.2547908791532971, -0.15646930658128116, -1.284800313282966, -0.29484076534881826, -0.4269814592591833, 0.1644868926204495]"
"[-1.1897234120665785, -2.6852574820154036, -1.0712279598060923, 0.5723568642624791, 0.1952398291830498, 1.8161259094353985, -0.6861715776879938, -0.2584435104872527, -1.536927388450362, 0.4160188386305181, 0.1278074704391833, -0.029808885036283476, -0.7266964967459139, 0.8944949801209445, -0.6343284936094612, -0.12950427927758087, 0.8897023177671167, 0.3191861988722805, -0.15624320657041416, -0.314802686004288, -0.9360757014819535, 2.031528454965521, 0.1601434840605575, 0.4587164848471709, 0.4114262273609788, -0.8684818388428402, 0.6189807362538043, -1.381733275672176, 0.34397316723576044, 0.08672664813707198, 1.3456155400215521, -0.22074394399281794]","[1.0889730526953518, -0.7524483771751747, 0.05049469294487396, -2.113513512014948, 0.2097748286121861, -1.3538948404092328, -0.04371179889378969, 0.7330252041857059, -0.3006904107902068, 0.912276214807436, 0.7259418721648698, 0.5781279315191504, -0.19733209317721806, -0.027937015146375314, -0.4141338887318516, -0.8670087628463586, 0.49571033310127577, -0.6962945691592666, -0.31730526647153207, -0.10935943218032974, -0.2634326402978235, -0.4631107357328378, -0.03926520861234543, 0.31679004659220683, 0.20186437265228668, -0.7410762083541871, 0.13193421389038393, 0.1245300507413254, 0.26799686858440286, -0.6107842929685569, 0.09929713901268189, -0.32903255554701105]"
"[-2.5715894933768477, 0.1735463075723875, 0.10116573518459195, -0.13309715994872387, 1.1985063334664323, -0.30352947161140104, -1.002523720497713, -2.002470981345116, 0.17335562072472355, -0.21936330181151398, -0.34062316909395457, -0.39486773252149404, -1.4451247333791553, -1.3929902158076954, -0.30529339510472436, 0.850518309695111, 0.16801813810476457, 0.08834960592220992, 1.2428946561831524, -0.03910945729999202, 0.48454496775849343, 0.6214858814978879, 0.31408258406379597, -0.22716397797202587, -0.09170356291493321, 0.5499020016266273, 0.5990850723182498, 0.6848303624488664, -0.4346263991261671, 0.5008006611105229, 0.11951769197389817, 0.8258613695931667]","[1.64376767298637, 0.7767772802884443, 0.3085038565932517, 1.6205736935481754, 0.4873266273545708, 0.4628045135481324, -0.01774343588011287, -1.597413204996236, -0.06905150860838646, 0.07623208070527487, 0.6915467582366517, -0.5945690730582182, 0.315412250242591, 0.8337246066029146, 0.27749026645185765, 0.5261474066065338, -0.3256125829503198, -1.0304371684627909, 0.7537752102919545, 0.6167209039777958, -0.5636175541234358, -0.7843237040388422, -0.03148980831134463, -0.3408471134076128, 0.18218742741054741, 0.20678982146746006, 0.258894377755805, -0.5991302678278732, 0.30724216098030444, 0.5179166635159355, -0.4831145709657846, -0.7415853442565612]"
