image_embedding,description_embedding
"[2.811179278435479, -1.9081311952479616, 1.418090518976152, 1.9827248450041746, 0.3315194428385393, -0.3111591828759875, -0.9526693889145043, 0.4527486410732302, 1.380858952971826, 0.4545571163982543, 0.8849685327715294, 1.003043802017442, 0.5734574497081368, 0.6843365868406646, 0.12894895803210327, -0.45056288900973135, -1.4779461794150528, -0.9721646727558558, -0.40855257330160927, 0.6724167173236026, 0.010092411181153728, -0.028883068833969322, -1.1489451998582114, -0.2292318142841537, 0.5230264015546512, 0.2587756821528113, -0.48204755530807536, 0.7713654123208551, 0.5050015343394137, 0.18638339974161947, -0.31130575645984715, 0.27641813394863013, 0.74184107141293, 0.8096935878459084, 0.30154152392566663, 0.1153315455885781, 0.5209084202076973, -0.7443366335816558, -1.1514409587393266, 0.1050890868174866, 0.002024808839792403, 0.1131299736021859, -0.4450738521609951, -0.05759320163416377, 0.6536746495097784, -0.7239457086635761, 0.7268789496261274, 0.6308768426093422, -0.15713972034983928, 0.6118456355090937, 0.6334556598093911, 0.5988159867003795, 0.10486517012862454, 0.5297267647635958, 0.804716520308622, 0.46213622433324664, -0.4416255083767569, -0.049378770342711015, 0.24480999442779058, -0.858036611959018, -0.5024723060307872, 0.22384833678879684, 0.2686475442516069, -0.17455850860836206]","[-1.2199092443462778, -1.5093124084981921, 0.3284949530412336, 1.1465345003246545, 0.7443563489415204, -1.1777960851442388, 0.11524909847368756, 0.09151531868271753, -0.7470707406434474, -0.2586814815207329, -0.19484192420234506, 1.0034781558495582, 0.7040247544286611, 1.0884009748412864, 0.4117077436439542, -0.8817413066564521, -0.7202816424021833, 0.22322568859938638, 0.2052918441108662, -0.41722575121733124, -0.10753643312181119, 0.9014197928006573, -0.20759821309385215, -0.5906874857838834, -0.23394953860247136, -0.0478055078465914, 0.3360085875480148, -0.4940987238133697, 0.19402657500400983, 0.32698110177392914, -0.2103736456065671, 0.013533871792193827, -0.08756199132710686, -0.3100608544959869, -0.22845089943021274, -0.08387285867435947, -0.11161343385282722, 0.1510744241324497, -0.14520516683077528, 0.16581997441101362, 0.533212286403716, 0.24673472134012106, -0.21389706657689284, 0.15850033304888883, -0.04825323127757354, -1.036696647138603, 0.3288122936277297, 0.09103342603410808, 0.5508422644455876, 0.6612084492476705, -0.6368827683960443, 0.18694182257098188, -0.19991809864957996, 0.2050758415453079, 0.28886306734014855, -0.6013447924948759, -0.4617799032477159, -0.28017271899155044, 0.6735021802943955, 0.4756832560096065, 0.5297750178101187, -0.6619996702146626, -0.4003592198308593, -0.35081029087639715]"
"[-2.614848728768437, 2.59511118416973, 2.0305412809742016, 1.4028235233521498, -1.6548662710118067, -0.046115311609493254, 0.2300044771625485, 0.7432595631283265, 0.789188618718356, 1.1532704210056755, 0.8245296551709034, 0.7323176919854715, 0.6217552527134108, -0.4144717378589701, -1.7610368079100231, 0.2956028002777019, -0.7893917101003864, 0.9623161864816603, -0.4326196083077724, -0.49312931047730907, -0.23779201376882497, -0.6978823181130357, -0.1183000912345291, 0.44893257784650425, 0.34232034672753175, -0.8115093857403333, 1.1188269175857144, -0.3175739627688659, 0.5270487764887264, 0.19023453467233828, 1.2171349968530432, 0.4513360131319529, -1.2635633520675489, 0.5120551380374215, -0.6887925737164278, 0.2425798084507991, -0.5885130765256639, -0.5044365244724086, -0.7116547491465856, -0.15174176948924661, 0.0809735679546894, 0.4321195323107845, -0.27411922116626586, -0.8118118209435168, -0.6033778362952424, 0.18445983728638976, 0.370151703315353, 0.7411673863607515, 0.3768277631331251, 0.251230029362165, -0.5728116262979489, -0.14540934875680048, -0.22895803546923782, -0.3522754786972085, -0.25854651941472095, -0.3306726698224314, 0.024222692769259566, -0.016545789221265643, 0.528288882730106, -0.0005954725265198566, -0.1395022072712141, -0.10827431367861777, -0.19844631950554867, -0.29821018085221934]","[1.3377972875530015, 0.6001143241332725, 0.46352762671314585, 0.20102939897760994, -0.7004494330782806, 0.26968654594023134, -0.484769203500539, 0.09755333420489286, 0.08512423959269777, 0.7847083196701109, 1.4621252123038422, 1.4860624147786945, -0.19847963177641484, 0.49105184348261716, -0.9317240304371965, -1.3748284805869555, 1.3751904237551782, -0.16037961725223654, -0.7224465021682288, -0.9595065400919605, -0.08463651190465309, 0.21175037634265334, 0.5808399477446398, 0.49197314461389785, -0.5585517346196431, 0.04324513932852973, -0.17744726629635518, 0.40625316318640864, -0.8191663261616966, 0.11405111083614859, 0.16759761686258107, -0.7298194876353854, 0.012136840343651735, -0.5867819363759702, 0.3653827644158049, -0.031228404386101083, 0.12582427636217522, -0.7753376069610715, -0.38431007506374, -0.8616452609936615, -0.21921604924300694, -0.14481153497690918, -0.27604012305542885, 0.3371718761151187, -0.035532070729786515, 0.17029500321086039, -0.417006598635151, 0.573292077978723, 0.49886133692258405, -0.07977308083314423, 0.8122816317809209, -0.1410477124526376, 0.0124429001336579, 0.12419885313744097, -0.3675988015250847, -0.032817990877097275, -0.5872285440094592, -0.2321198138697842, 0.3882953534478266, -0.2576885485563701, -0.02855545765572488, -0.43977192808865107, -0.24792651011081726, 0.48845515400842626]"
"[0.23326909328730872, -4.069608113020704, 0.46551432249266245, -1.6152849819664559, -0.001426152063289109, 0.15016221409463434, 0.6308085361808862, 1.0981896240454991, 0.8696925115578735, 1.984391360070588, 0.7462989560256774, 0.30196599441672145, -0.4581685806424255, 0.4297531948077874, 0.7008054035443685, 0.2064859355666781, -1.6880657060015534, -0.5610439841579208, 0.9462394551838049, -0.9784890734146968, 0.6946528885040074, 0.23008362847113656, 0.1383917592706079, -0.009052296241459165, 0.010886960884094894, 0.04212282620047928, -0.023660006449129387, 0.9660842461418808, -1.7323318326370496, 0.44307861983455155, 0.3760070615901531, -0.5502003795984762, 0.1025928813619243, -0.48741338596950035, -0.5034389402955805, -0.4462466582223012, -0.21783197124102835, 0.6502130254777352, 0.12118252117414692, 1.2702894597213004, 0.16117356221610935, -1.2541882206325916, 0.7396264289115582, 0.11027414672405052, -0.6313533716793749, 0.1933788143605561, 0.05870613839454626, -0.14193843485148483, 0.825616147804924, -0.3591277873370014, -0.02791539016319568, 0.7418953669810446, 0.02514542265483634, 0.5071118104818819, 0.36331470399875515, 0.740411378727886, -0.527072009350817, -0.06294219308385622, 0.4685089350616491, -0.27563618170363613, 0.9560961011358673, 0.5764084426578857, -0.0028932030032293725, -0.10521558382854101]","[-2.1319510778268094, 0.7478250229164004, 1.7501445818595915, -0.7691947590107608, -0.5367726138169663, 0.5224063463483385, 1.1626991796663988, 0.6460045105853545, 1.3102339058678143, -0.5733568895647349, 0.3353106399588846, -0.456266214641236, -0.4315505440700014, -0.3139796698282871, 0.1936862541527208, 0.03698774192481642, -0.22949009180154484, 0.25568086048232547, -0.7668770319607314, -0.42176227148032447, 0.4255596588528761, 0.27645681078094053, -0.05972260181090693, -0.7293043674442494, -1.0821610417735736, 0.8391644476168886, 0.9953409801711687, -0.02883506449885624, 1.1854803249306367, 0.3438830312631986, -0.18752178973803751, -0.8735727594561186, -0.6414427850882911, -0.012506947293614954, -0.06959765899530365, -0.1147571638960354, 0.00567212120700589, 0.15158410189359228, -0.5682934372873409, 0.0026770831455177673, 0.49562970541832774, 0.3474746613825671, 0.30846533567087825, 0.4498705496383102, -0.015830721166715522, -0.06378128971937151, -0.23930899913093237, 0.1207963408297809, 0.5951519198668522, 0.5007561195317166, 0.008818212805410066, -0.6139351831154303, 0.35155148937188835, -0.606699502485277, -0.4556733792104871, 0.027645447530073808, 0.11889211457536647, -0.6014101983097125, 0.04421773992328949, -0.13569088114765754, -0.5672474139464375, -0.08437623133195057, 0.2700359244062296, 0.08442961156178251]"
"[3.2046160801020434, 0.02176400020487359, 1.3983651408800546, 2.156370885729277, -0.8443023030869693, -0.5717791672164556, -1.0126566443147964, -1.0452650518367637, 1.0413018286106213, 0.4128144521658442, -0.5244897422985153, 0.2360741631159155, 0.06263474952989735, -0.06547941118140622, -0.25630546718653924, -0.4796770551734144, 0.46856491160747776, 0.41135076652616, -0.1317107855571467, 0.5640188735085914, 0.38758084832664585, -0.9350730443955608, -0.24224505674790847, 0.24226689636433976, 0.3703984183277114, -0.5980573669526856, -0.22611455857097146, 0.24473501713505397, 1.455766125762858, 0.5097379663176371, -0.2794484186648432, 0.781247799578909, 1.2130519109415496, -0.2570080987655851, -0.5028201675721202, -1.16644526282459, 0.85696389076563, 0.2532236626772246, -0.4979218414227423, -0.1279703145798305, -0.47066899710461796, -1.4291952011232758, -1.5382656101435193, -0.7605063049257743, -0.36969538963001886, 0.9252211709953986, 0.5423717426914368, 0.7825488950957536, -0.45658436969866095, -0.5186252240050241, -0.6211187345315261, 0.17015885584376783, 0.2073389936849163, 0.7029708378026814, -0.6274729132367779, 0.8627022847053403, 0.14424218291481916, 0.08953529808450575, 0.2603238745806637, 0.49443492703543296, -0.140473357155706, -0.5718774236543398, -0.2060723561419811, 0.3443254800371798]","[-2.635186624471554, -0.7566624102117261, 0.15995909562461944, 1.4895838094270561, -0.4568042343838057, 1.0199648292760832, 0.31358708465552876, 0.33970172471604504, -0.22128301953537888, 1.0193483218895236, -0.514346191216981, 1.1473392919526988, 0.056074028403672725, 1.0172491830973591, 0.21617175604875286, 0.2511811160883685, -0.4839043426489892, -0.26563433227741695, -0.017884464189279067, 0.4295790296819367, 0.3109334763371061, 1.3024002745009005, -0.4025140238222668, 0.8156959191547067, -0.7296127128937918, 0.05009565198053084, 0.5168312330617416, 0.5259969260046506, 1.073829342794886, -0.24091457560388588, 0.1264595612874607, -0.28991017860728785, 0.20091268715304064, -0.5006861400220627, 0.07936372604484314, -0.316708559157199, 0.4948105160990022, 0.36965004933605144, 0.4698422653862459, -0.40926357498204985, -0.289149647672202, -0.7111059477179198, 0.32029421330600194, -0.10890966372802233, -0.05572379583112826, -0.18747271415775832, 0.2614884469872334, -0.043588170350233185, -0.28319180329351096, 0.17901478931832118, 0.2639203859976753, 0.33353202978099317, -0.2631356581519945, -0.1396674490501317, -0.10240014116793002, 0.2432044029385974, -0.24872639285413803, -0.23210815603971108, 0.12202199916693644, -0.29921672175915826, 0.14447787996420852, -0.142119677622297, -0.2800391077708122, -0.08385646251062898]"
"[-0.2917148364096554, 0.8035449682362455, 1.8977073999224863, -0.6899827192964735, -1.1383038811829826, 0.6785297925258593, -1.5331318288204605, -0.4368289150553571, 0.3810191601073697, -1.8457636710657477, -0.673338532370644, -2.0579789042037575, -1.3162372481420705, -0.5758119084257025, 1.6200574126949272, 0.33861420317325586, -0.19792931510160752, -1.0101645197353393, -0.18458879072028325, -0.43411055197846254, 0.6023924205756799, 0.4025420715515302, 0.3427798828326934, -0.6990268107555496, 0.6257877709043932, 0.5937011484079009, 0.20132555594291135, -0.7790619382257199, -0.8759402600845024, -0.01815817996535052, 0.8395634934494762, 0.03225727048770227, 0.3397925760818583, -0.5839630074147206, -1.0407501442930331, -0.19702017283176196, -0.1922385180425171, 0.3614695270800434, -1.154661133712133, 0.15698361572651137, -0.5572780910127598, 0.3828660506739425, -0.40876330315628645, -1.0968913994604386, -0.2587539860442301, 0.03865419316196128, 0.5883648372671401, -0.42649667734986163, -0.16400138398590813, -0.16860013031847235, 0.7706483295007839, -0.1750601387666491, 0.29245423895116224, 0.16420123138265807, -0.022237173332192293, -0.18022226058756557, -0.41253483770793664, -0.11419367067687673, 0.5022649104584606, -0.37142908752302384, 0.17014285333733997, 0.17992529186150633, -0.08707692322779334, -0.17448144741473612]","[-0.35598878486535224, 0.8375303121624202, -0.9227215490588724, 0.5653895963068352, 0.9471130110108682, -0.20296069884394116, -1.1609327200381891, 0.5655483956712171, 1.1046058568958776, 0.8745266959441066, 0.13262088693112573, -1.044726177278997, -0.6958774894720937, -0.7593418029156187, -0.2573819529941402, -1.0037780634341065, 0.1073007427915429, 0.05716403182073567, 0.5390314863380697, 0.08258356781289297, 0.43271879878258857, -0.6678906946129813, 0.3823081286113136, 1.2924085085800294, 1.3328495368870341, 0.016121849939063033, 0.26747553538717217, -0.786335495008391, 0.05412771283245267, 0.24157433961183106, 1.2279494198950012, 0.28620249124509634, 0.6633996872863154, 0.411892245058877, -0.20600724888289432, -0.10055348431250974, -0.4265013553869429, 0.56834159295911, -0.15472225917454763, 0.1602010429226462, -0.3813784096606494, 0.4446474130761666, -0.2954706807002741, 0.19842530384186366, 0.012979953172752358, -0.8070646692611941, -0.46763235662578906, -0.13496627557055435, -0.3726594192270879, -0.060671708902337335, 0.5560972569261597, 0.3027961525242941, 0.020596295293721378, 0.0570547818125007, 0.2629371813489448, -0.13492108866881344, -0.5155734212143193, -0.46003075655060094, 0.18893705598608262, -0.0659757951329896, -0.2664622401445993, 0.44040691202091, 0.03294675102882977, -0.08535205784080843]"
"[-0.36615191728144336, -0.2535125759752315, -0.6418551234946915, 0.8914129519241444, 2.6147871972780528, -0.6701787990727311, -0.04342379194871548, 1.0291115944015852, -2.7719298875501, 0.15637060138424552, 0.19571588794469905, -0.6042135410383548, 0.330902994069569, 1.2910509289297087, 1.1896399651808762, -1.0484296326491653, 0.05927498160841121, -0.18315427143214624, -0.3931932612089054, 0.4439017928800836, 0.17526844508186357, 0.6518970684695035, -1.094193016847645, 0.13176851524471178, 0.6657082130687427, 0.8960877941622166, 0.5800258272994608, 0.014925742293624993, 0.3028156478782904, 0.3332058647826258, -0.13827648130952142, -0.9706284332895313, -0.32257879256933814, -0.0991727196387249, -0.5069283358129187, 0.08556857992118355, 0.37809286231779027, 0.32391497794182766, -0.30220186455082776, 0.3813006621938457, 0.18939875449743082, -1.0038420271020831, -0.5889887597791419, 0.5999818470884375, -0.9301026600609921, -0.022710340865588173, -0.21901826687484255, -0.5799278447196494, -0.7713954943946904, -0.010448341854548387, 0.6158376505924316, -0.16243570951601333, -0.12109870731837755, -0.09049393959323697, -0.5980303771933699, -0.17121132224422778, 0.04578104429991899, 0.3726424157171305, 0.06066769619204649, -0.0006136046929068654, -0.1912573547791365, 0.8569654680047204, 0.14041167232511553, 0.2709492259163647]","[-0.35611671685968765, 1.0032559048103293, -1.2708805574789204, -1.232298434018454, -0.544766609461913, -0.6007418621954759, 1.6855554167010367, 0.24006948278244306, -1.1127290086329358, 1.2755365325341512, -0.3870672145706141, -0.32883485163098036, 0.30017075402936494, -1.0088462028552476, 0.3647999627741249, 0.009138348638556705, -0.6723582258332524, 0.4767169175322261, -0.026128467054106343, 0.09809989290639073, -0.47914234892829605, 0.11278209001717582, 0.2885567403135399, -0.7457004248476, 0.3375016895808361, -0.0847301610718512, 0.3939236472632815, -0.25753908393789454, 0.49035983825965007, 0.882745146379538, -0.44179519741744333, -0.013092786577462438, 0.3088519897858576, 0.3602664091633972, -0.4003608765159428, 0.10243323818236529, 0.6482444648287118, -0.27276566554030546, 0.3082675429658805, -0.39403268413557074, 0.36294701454758177, -0.6648013679646834, 0.22763633658782043, 0.5955378151672476, 0.4330696551376917, -0.2827830811210237, -0.23715336819478358, 0.6261220311158071, 0.10004907811375521, 0.1582324653663131, -0.49153395329710253, 0.19146355562474532, -0.45414654411007643, -0.268664667370854, 0.002439148694300437, 0.6449828232499798, -0.3569730740474399, -0.2706562694446707, -0.060364436577347594, -0.1827712748179902, -0.3460621159188439, 0.023845724549220047, -0.01526650960147625, 0.015323571966424157]"
"[-1.692074435721174, -2.104781394909871, 1.6921776399106965, 1.569450177973575, -2.7340507806839605, 1.4615297448983444, 0.4455309826451047, 0.04438543609332563, 0.005688679294569794, -0.5882965981856105, -1.1176469974333196, -1.6386506457494399, -0.4301915636993029, 0.5583330890388881, 0.32145882194952663, -1.4373554960983952, 1.3462750677211115, -0.12021798049582762, 0.45317190435945, -0.046201866712182765, 0.14428305655500645, -1.5012450608131411, 0.2582960837493959, 1.5652038121716694, -0.9369744936847, -1.2403229754616079, -0.8754573738106097, -1.006955677818833, 1.513620610574978, -0.8411387635762035, 0.11176818985093628, -1.41557244961252, 1.2265567997456024, -0.7585398380265025, 0.6848678131517876, 0.8564517885409448, -0.8225845131438341, -0.02360826217332309, 0.7261641842647251, 0.2723909550879876, -0.34876187002921455, 0.9439219354445991, 0.39006309968716046, 0.2732933705055684, -0.250414228566363, 1.176148655887425, 0.08244579239795313, 0.09727488879171657, 0.4257028203528861, 0.8487257854366387, 0.04256185562257306, -0.16218978249225577, -0.5676015612822712, -0.1878925708703472, -0.1792691922984322, 0.5600623281863543, -0.724707088013934, 0.7452421985241963, -0.2551628336628989, 0.4983070369551084, -0.37684410647991634, -0.5499705802473683, -0.6998263562453247, -0.7146178549439075]","[-1.2600546074645504, 0.6731536672240164, 1.5312212745048104, 0.6326751135190604, 0.98405280417586, -0.7498837509834649, -0.5457354156753912, -0.4756799750805582, 0.2584574894193647, 0.5347109359386352, 0.5975237936125525, -0.7247396187979086, 0.11107987694918006, -1.2093349217184874, 1.0625279795612241, 0.33723500327404027, 0.5408935429154542, -0.8378436984411767, -0.284788419948331, 0.1414886847279266, -0.20994288340385128, -0.511357189712582, 0.9418315039981467, 0.16058467810586405, -0.23331956299377832, -0.4967478551890191, -0.2934549922469366, 0.16379668847296028, -0.037296030843228974, -0.33174440487730533, 0.7219550042949504, 0.12886554172594686, -0.5796634855507654, -0.3096194795119301, 0.4699072835891668, -0.35897127646279686, -0.09641739846628854, 0.40856709964728893, -0.11193325904076697, -0.08941182038321813, -0.06301876150316231, 0.15638123850316332, 0.7372519558483798, 0.3256438602681712, 0.2673976909040206, -0.372849857702869, -0.3341795414653359, -0.6675709252771631, -0.09145367815342592, 0.20383407103964732, 0.32642097181849195, -0.28606101810906187, -0.14714379052411572, 0.6085603491081314, -0.311064800186406, 0.28599523683766165, 0.20116420997313447, 0.6640480912535586, -0.38663469039910997, -0.3225933868486092, 0.5009472406296926, -0.32551097081768726, 0.25923438563142415, 0.2733028262747468]"
"[-0.7469322373934658, -2.515586267176311, 0.549022779939455, -0.35298748184116074, -1.8693505926011715, 3.038895324430438, -0.8403977099353203, 0.6007621478491033, -0.6572945462262858, 0.5855440032172493, 0.22461130898241, -0.500630440194121, 0.014253017893816661, -0.39828031017606613, 0.9580763614510419, 0.3518282698250376, -0.45405817935546405, -0.0797332340235732, -1.566230055366687, 0.14627284298317283, 0.9499655640266539, 0.7503596666631023, 0.045469054446904515, 0.4670997117504712, -0.16825224413928688, -0.8392562148046566, 0.440258992942696, 0.996958927526545, 0.3609331884069945, 0.0698934967180851, -0.24831098510700714, 0.7213961118277519, 0.06376298013728451, -0.19742333939127074, -0.417912029205773, -0.4470748650995016, -0.4214065673074674, 0.32644229105464345, -0.2599464829284271, -0.032290120934480554, 0.017538749187435445, -0.4262666215752796, -0.8697401770115241, 0.5752202994279106, -0.8169329279594489, -0.7703579891879833, -0.18582480346407146, -0.44480145520188263, 0.026464968458302207, 0.24287992915991316, 0.4118481549963584, -0.9370265283613967, 0.08589840402306478, 0.018502569907453612, 0.29969534386632163, 0.6564129112200466, -0.16619576636012223, -0.530343338705478, -0.17520295428419505, -0.3543361221635404, -0.25344886748918594, 0.5039035791070533, 0.02295435209775456, 0.18311706536421254]","[0.47913824816030903, -0.7808415446573153, 1.007672415269794, 0.1847060786558577, 0.1799819277551814, -0.9129709099591526, -1.5233215133413087, 1.355662091644679, 0.673011713994673, 0.5368573448352565, -0.09768789490188008, -0.09627603096580989, -1.3097780457207373, -0.47037715019748316, -0.428829532361702, 0.6021048598300047, 0.794256218919886, -0.39298142875251496, 0.885521398095933, 0.6112248015410187, 0.020709370917361556, 0.49074472522651713, 0.4243300374009331, 0.5054028996366638, -0.5113777832086642, -0.3353304391033123, 0.24292210814737308, -0.1952722952270314, -1.2927814234431172, -0.28716904234208374, -0.4409963105298598, 0.2156095379112613, -0.6073756689499555, 0.4172672862260804, -0.3399320995577296, 0.11976072482760948, 0.5572690208375474, 0.67385863101069, 0.4805740032728778, -0.06773543143717627, -0.030225936936145805, -0.5249176920700491, -0.30887462760628664, 0.5074850954406349, -0.33353826496311995, -0.508066824183545, 0.41298492150374927, 0.7258404070228008, -0.042403675003745464, -0.09386176458388001, 0.03501582810616675, -0.19177626464259473, 0.08518416731975952, 0.168876214096498, 0.4606499829092416, -0.17833309710077844, 0.04354907079266072, -0.41551324344956064, 0.4173808326303211, -0.08615018720573248, -0.2083598741308742, 0.25426384771283495, 1.1415366837752512, -0.11035938296129025]"
"[-1.1897234671238481, -2.685256555844477, -1.071224264869056, 0.5723579144230125, 0.19522193923998796, 1.8161174257434212, -0.6861134901362863, -0.25845037885676264, -1.5371160681784448, 0.41605916638579854, 0.12814892494279118, -0.03033689187388407, -0.7263238435226369, 0.8940312633664642, -0.6338897651123695, -0.1313825840380848, 0.8879385559026861, 0.3172528255357726, -0.15945346051075995, -0.31564486147438525, -0.9377457190257251, 2.027847624816982, 0.16156618247476992, 0.4663026690804909, 0.44120700112176614, -0.8712373744826427, 0.6210804489879274, -1.3258518111553987, 0.3366518918855082, -0.18746146961755536, 1.2850888521775716, -0.2720564505573271, 0.6178686790946255, -0.2794549640589823, -0.23605036752148897, 0.18340177702741903, 0.3537921097229108, 0.025246224795856403, 0.6382703564845927, -0.33285874189283615, -0.11504083328170472, 0.8475664144862122, 0.5118291379768524, -0.8315494911756258, 0.4133241814590965, 0.010504854591026028, -0.2578557760354169, 0.48537415749575885, -0.22441772926575054, 0.4289145985437534, -0.7328705903515896, 0.37406872688013243, 0.34239008642637314, -1.0288936086591234, 0.13563511686899907, 0.788533333372236, -0.5063710809835212, -0.05961665804253154, -0.4997422340454773, -0.7847739032182519, -0.10736692009461613, -0.29499448265686923, -0.11889416556941129, -0.7218330064425502]","[1.0889728527368467, -0.7524503608196424, 0.05049953133385858, -2.113499613384275, 0.2098076963825265, -1.3539670100092343, -0.043696846127360196, 0.7330156357693574, -0.30058043436275755, 0.9126555544548639, 0.7260343730196268, 0.5782222425494367, -0.1977306466083928, -0.027635447256159625, -0.4130987927924117, -0.8668859819004608, 0.49466485787540754, -0.6999019024260134, -0.31681026125720735, -0.1109409338169169, -0.2703147760376584, -0.4647822581347196, -0.05633874846974811, 0.3147166124825813, 0.1950172397400641, -0.7498012062576882, 0.11446075015443583, 0.12466133867526122, 0.3416361430339341, -0.6156284609298611, -0.05043141910635512, -0.2666110048115068, -0.1969076209956698, -0.3165727984747363, -0.5137906927680711, -1.2882933849792573, -0.43585992454773587, -0.028411954705936982, 0.11897560657541759, -0.45421974115799774, -0.642252252194407, 0.2203684404558541, 0.3550269256351856, 0.3956378604230812, 0.9756577456720626, 0.6254562473320072, 0.18080646805085637, 0.0928658560910595, 0.3365863518227299, 0.6814286310937493, -0.3412295963684253, -0.407002008535471, -0.12966208894527578, 0.3034578800074428, -0.3634974726716172, -0.8870994330586581, -0.07974824120519641, -0.5101696321252761, -0.047219251335669205, -0.5242205838504166, 0.5163571386473167, -0.6360133473827718, -0.3013572478807617, 0.09151910624274413]"
"[-2.5715895856461586, 0.17354832054401162, 0.10115778868510662, -0.13309520103392525, 1.1985051982533699, -0.30353137625710175, -1.0024835442663322, -2.002357771952831, 0.17325833088625842, -0.21929198586967005, -0.3402276833400109, -0.3949269095442253, -1.4441829227684937, -1.3924111156767485, -0.30541727955755066, 0.8514425070056103, 0.16949164145271708, 0.0883926135473042, 1.2497156931999258, -0.029465661410435655, 0.4910246665913774, 0.6255081101551208, 0.3335137066271404, -0.24658397424036832, -0.11378571693970345, 0.576968387924493, 0.5809184839113867, 0.7455025611514131, -0.45001145359965844, -0.4633289694908829, 0.1246385057878203, 0.7852435256046818, 0.8420119386463552, -0.5884683567092261, -0.400346737098556, -0.3238350273776556, 0.5988116955894627, -0.9093775691179283, -0.2336546171433408, 0.4603336584571628, 0.5455938113593484, 0.16634432803001983, 0.6923175688743685, 0.020048251423376604, -0.022233202052100352, 0.7160644591465386, 0.49228598788597827, 0.10470835279764797, 0.47622441738518595, -0.1766420877467901, -1.2235638719329438, -0.6131517098883323, 0.14765758637618967, 0.36808964914196685, 0.6281323163890953, -0.4709311153283049, 0.05010805744393511, 0.33379996029586245, -0.41647280121009406, 0.45942835086920525, 0.7486607712665797, -0.19672472846453276, 0.11992914133693106, 0.04218126101116856]","[1.6437676579937326, 0.7767862566499715, 0.3085142564247586, 1.6205538506561121, 0.4873695405074321, 0.4627720306225129, -0.017724863956324152, -1.5973059124540678, -0.06903164627157893, 0.07613893712443877, 0.6916990525956863, -0.5946199468089546, 0.3156029555040411, 0.8335017506278923, 0.27702174306621613, 0.526894346750591, -0.32451714093037964, -1.0305765889860856, 0.7571583674059275, 0.6169876167400076, -0.5651648646876396, -0.784799163153627, -0.027894383283566658, -0.34451288077098, 0.1817105307650358, 0.21890423954771582, 0.23299095180728274, -0.6023755959277411, 0.2483401407335977, 0.6644392145128933, -0.4245066399545756, -0.775822779572278, 0.25695474085723674, 0.23273504516693716, 0.5055893376381458, -0.08757519839381739, -0.643948802611053, 0.08862100125918296, 0.2297654309588284, -0.2523510484591992, 0.2382137719935254, 0.33654794774895397, -0.1389752863560744, 0.32145441934903357, 0.0627186155419154, 0.2407283850794579, -0.4348159977653222, -0.39323455327968354, -0.18690979213579886, 0.9895619946222611, 0.7127214709760847, 0.12666876570186633, 0.7511629152328894, 0.35078698890383375, -0.08382588086003556, 0.18514190499011016, -0.09445034269669081, -0.3199820818384149, -0.219772279444057, -0.13903069659394335, -0.02042483700846135, 0.8361294392864831, 0.1721237211593621, -0.23888272686749673]"
