image_embedding,description_embedding
"[2.8111799431707607, -1.9081307710473827, 1.418089226191263, 1.9827207066260466, 0.3314975899642199, -0.3111518585275884, -0.9526637443030728, 0.45256191627931724, 1.3808760030470142, 0.4540192032962079, 0.8850792583293668, 1.0020918725515955, 0.5718335243588013, 0.6849383027676526, 0.1300073693226114, -0.4485122013700112, -1.499757251617257, -1.00427899026868, -0.35357637686350246, 0.6673151634117327]","[-1.219908530869247, -1.5093055587972446, 0.3285131356752085, 1.1465034629769146, 0.7443415632373334, -1.1780202784919047, 0.1153929263046737, 0.09171002080308575, -0.7478916509523121, -0.25993205638790234, -0.19406433708295523, 1.0066966591970654, 0.7048191469091527, 1.0842409756181812, 0.4134020683001619, -0.8726987916227482, -0.7234531437078346, 0.2225998121198886, 0.2025884018247173, -0.4225973891715371]"
"[-2.614848321133512, 2.59511550849313, 2.0305410799750483, 1.4028217706194608, -1.6548817624069077, -0.04608101991367163, 0.22999309718663694, 0.7434743491901373, 0.7891640688768083, 1.1535521392757597, 0.824880084351477, 0.7344364452964678, 0.6251210278645251, -0.4116055555659953, -1.7619406362400516, 0.27977439861220066, -0.7913978923731251, 0.9926113476547825, -0.4477319778968058, -0.4769601277871307]","[1.3377969260174924, 0.6001067094231328, 0.4635271670531313, 0.20102505866866724, -0.7003746167567149, 0.2696744568688009, -0.4847531356371816, 0.09729983690636115, 0.08487433536501134, 0.7822128431271971, 1.460854364230927, 1.4842882262489216, -0.20083661828883723, 0.48817545467401435, -0.9345331744558786, -1.3888560263318044, 1.4061030064895066, -0.16150812526890723, -0.72107852584375, -0.9259262281799805]"
"[0.23326953772943215, -4.069608480449026, 0.4655155886841071, -1.6152825692510842, -0.0014338200360027762, 0.15015555460287772, 0.6308035239212333, 1.0980601201099716, 0.8696674627271767, 1.9847805126298614, 0.7469909104456413, 0.302388236890118, -0.45706870926171433, 0.42553565428278023, 0.6980183014170541, 0.2049866831990744, -1.6787175347816148, -0.5644145987583318, 0.9499224076729313, -0.9656261215094545]","[-2.131950779678702, 0.7478282893145636, 1.750158383778692, -0.7693437807389849, -0.5369239109394207, 0.5219729522148471, 1.1635079801305934, 0.645755191819943, 1.3065558086397975, -0.5791635071843128, 0.3357907336487456, -0.45198510221280547, -0.42894001733360126, -0.33418086583923806, 0.20354397398175683, 0.05314538836180533, -0.2182940012345636, 0.22183985033760195, -0.7814984941769548, -0.3679014037391306]"
"[3.204615040857841, 0.021760594059729924, 1.3983669195356363, 2.1563742676188715, -0.8442903803290829, -0.5717998102520473, -1.0127267115285514, -1.0453680663347569, 1.0416008203243656, 0.41271566796481723, -0.5255451510334949, 0.23541370622158797, 0.06471270351667718, -0.06655176910566299, -0.25528006937401715, -0.47653313416986015, 0.4708930542214511, 0.41011121206705337, -0.1350959272040138, 0.5651709973055535]","[-2.6351867749609488, -0.7566513432248403, 0.1599706675251114, 1.4894569333730503, -0.45681727428240226, 1.0196167208072093, 0.31402120707879116, 0.3397207762649271, -0.2241081757716426, 1.0139563501690085, -0.5141846603248916, 1.1493607444707201, 0.057218697814288656, 1.0045961942263657, 0.2182966905788496, 0.2544526414299634, -0.4722673203700191, -0.28738887314239875, -0.02852120227545027, 0.4728487080360372]"
"[-0.29171426390359434, 0.8035442358375516, 1.897706578684928, -0.6899822432863423, -1.1382853152712082, 0.678583543941864, -1.5332370987309225, -0.4367273676995816, 0.38109633692589884, -1.8454919831792689, -0.6736928521816887, -2.0544017805120958, -1.3128009677431085, -0.5748423400433609, 1.6243139965934372, 0.3315728176495151, -0.1888545642457553, -0.9788174757090682, -0.19697580257309782, -0.40728178868283044]","[-0.3559886551734477, 0.8375140223608005, -0.9227527020306742, 0.5655008796602558, 0.9471409329040023, -0.20264764349532344, -1.160973522460728, 0.5657122153652393, 1.106386875323038, 0.8788865783452622, 0.13221528883284492, -1.048328887541066, -0.6991253737625113, -0.7462390054010828, -0.26247150071203695, -1.0124844837462004, 0.09661784761268054, 0.08489419741000587, 0.5507024273873468, 0.021263725857943155]"
"[-0.3661526662698067, -0.2535125404930921, -0.6418500385515689, 0.891415882662972, 2.614816412246089, -0.6702124648269331, -0.0434287862921279, 1.0290196064609238, -2.7716996540829113, 0.15673765398278716, 0.19743867051010464, -0.6063524895939213, 0.33270107211729766, 1.285631559432485, 1.1811317006058883, -1.0504027222687593, 0.06401240614432036, -0.19739775955558267, -0.3839523482897805, 0.4460175473541763]","[-0.35611705087521894, 1.0032614849923966, -1.2708736455351815, -1.2322910336939794, -0.5448263448109392, -0.600738372696518, 1.685601765019538, 0.2402075177232663, -1.1128183031608194, 1.2778905833290566, -0.38690581199359825, -0.32791606885014474, 0.30090100563242833, -1.0069866052521899, 0.3667578180043451, 0.023765037773786794, -0.6888059341776582, 0.4814035610688862, -0.0190050061272482, 0.05339335451697775]"
"[-1.6920746127297683, -2.104776883309278, 1.692188101952475, 1.5694500008807897, -2.7340123210488225, 1.4614563705718688, 0.4456257670088823, 0.04467275345671642, 0.0056507384795279995, -0.5872222226285473, -1.117411222626584, -1.6418495527755586, -0.4276843974483883, 0.5451452835193126, 0.31959394931991736, -1.4252610446212304, 1.4241322648532402, -0.12195029278423106, 0.37415618222930225, -0.0633050106857828]","[-1.2600546563520745, 0.6731608262183739, 1.5312236056642483, 0.6327187598421284, 0.9840545924293683, -0.7497423080049078, -0.5462041422626416, -0.4755722132713119, 0.25954968659863925, 0.5362679595032122, 0.5975318862360355, -0.7266280538499295, 0.11130154158948805, -1.2023117074021414, 1.0623050714438118, 0.3314780926687937, 0.541675495243236, -0.8279205265442197, -0.2947875217082233, 0.1584476299252648]"
"[-0.7469336468061581, -2.51559014449133, 0.5490252401161343, -0.35298070120895314, -1.8693499341011188, 3.038890101244103, -0.8404745736986211, 0.6005427793471955, -0.6572072335427681, 0.5851908012025379, 0.2237401605951189, -0.5002752656681659, 0.012645095504070395, -0.39677900408612815, 0.9583737316809493, 0.3515640344731307, -0.47810622312638246, -0.09297701329739493, -1.5378035097279716, 0.14202205075252264]","[0.4791376378674427, -0.780863762971459, 1.0076372136521048, 0.1849288906499738, 0.1800373019200501, -0.9122353253310438, -1.52437658272015, 1.3555599186298861, 0.6775201668121865, 0.546617035098275, -0.09799983151334078, -0.10127986278230884, -1.3127924039593943, -0.4467730341967262, -0.43613987700370876, 0.6020007562342307, 0.777902441352384, -0.3644434202339559, 0.892069687418495, 0.5469451090047098]"
"[-1.1897232884167896, -2.6852573246601903, -1.0712274678251699, 0.5723580273692895, 0.19525522180423813, 1.816128369620979, -0.6862119777268657, -0.25822196147735116, -1.5368661217164492, 0.4160191835506657, 0.12706332129793066, -0.028195165515997933, -0.7236814325542503, 0.8959067980497625, -0.6251742761470318, -0.12793585237436203, 0.9042271825577131, 0.3491581759971789, -0.1950040138940718, -0.29209502738935583]","[1.0889729547932059, -0.7524471286037956, 0.05050253106937359, -2.1134814280572325, 0.20975267696617086, -1.3536263355187776, -0.04447853361425699, 0.7331402638679825, -0.2996832088091363, 0.9154899473824709, 0.7256244510352208, 0.5770452869505949, -0.19210597463170295, -0.02013808897171256, -0.4113293097653231, -0.8787513177112033, 0.4820821640313473, -0.6829137597769936, -0.31158375262552196, -0.09597096177361936]"
"[-2.5715896030786136, 0.17354661418212222, 0.10116302484230087, -0.13309306572262095, 1.198480591423586, -0.30351776086603777, -1.0025559934196426, -2.00269894745218, 0.17351685577538312, -0.2199380818431515, -0.34235825656226093, -0.3931569669367173, -1.448715491139713, -1.3878674147061216, -0.2979226139281159, 0.8548618817834837, 0.14503182701963882, 0.09846484668290634, 1.2664918641290612, -0.039068254388363526]","[1.6437675072063407, 0.7767868743444213, 0.3085106670405769, 1.6205266297707952, 0.48727556885324325, 0.462745397367624, -0.017567936147638765, -1.597206052954298, -0.07003267618037427, 0.07616505535353647, 0.6921513651521897, -0.5937692139763898, 0.3184371753998102, 0.8323581380370672, 0.2802357569287775, 0.5307873100895382, -0.3498400812620357, -1.040767280551687, 0.7356168811841857, 0.6175940344515093]"
