image_embedding,description_embedding
"[2.8111776341978696, -1.9079647884024675, 1.418105777826616, 1.984351146314831]","[-1.2199124635965908, -1.5089760130378667, 0.32845832846888295, 1.1462175567733155]"
"[-2.614861968965474, 2.5953021986259905, 2.0306173126246967, 1.4054677221116059]","[1.3377825251522562, 0.5991402003880316, 0.4650776476411912, 0.2002297093994351]"
"[0.23326693990371564, -4.069503874375302, 0.46553427925224616, -1.6142345996194647]","[-2.1319629880656152, 0.7477076170600845, 1.7514028540334672, -0.7665294121223757]"
"[3.204613958392869, 0.021734795789252838, 1.3983331737895284, 2.1562951753372945]","[-2.635205390520039, -0.7564038063090106, 0.16056589878392244, 1.4913441765881557]"
"[-0.29169606084895583, 0.8033989453520014, 1.8976828727693429, -0.692850264077142]","[-0.35600177493715895, 0.836767646251947, -0.920378729390333, 0.5661793350599057]"
"[-0.36614669858896465, -0.25356471573863204, -0.6420003700828759, 0.8905708789397299]","[-0.35611899836359173, 1.0039381941898833, -1.2716978544438835, -1.2304798654296418]"
"[-1.6920694357408692, -2.1049699178151253, 1.6922354028768387, 1.5672452153939829]","[-1.2600260421879375, 0.6727918372637198, 1.5285316035546765, 0.6334545054658216]"
"[-0.7469245708150662, -2.515565960856587, 0.5488728560072053, -0.353436831895487]","[0.479114682791806, -0.7817526005003473, 1.0112695569036316, 0.18658221756723178]"
"[-1.1897292631627154, -2.6853215633497016, -1.0712842714706698, 0.5723734364089785]","[1.0889587431682282, -0.753298136500328, 0.05167182996197575, -2.112356566887571]"
"[-2.5715905560676746, 0.17350472112100326, 0.10122650927829073, -0.1334720376586545]","[1.643782227095075, 0.7764073935287403, 0.3070441045253868, 1.619013524719439]"
"[-1.308481842528876, -0.8847491164531691, -0.8592571659252304, -0.2863721468269872]","[-0.6963417593703471, 0.7381459827279688, 0.3740768536564361, -0.42529062049476324]"
"[-1.548983896341044, 2.253912683883987, -1.644991080170724, 2.1490873772737986]","[4.277876274153492, -0.8802037972019329, 0.2468869952422414, 0.43605602954105943]"
"[0.10894986976452004, 0.7659318078535905, -1.509598906834311, -0.9820238332936714]","[-0.44363950415867603, -0.09307106904943861, -1.497048874321089, -0.34670036030313595]"
"[-0.14552968823059284, 1.3619121155029275, 0.5693501421474296, -1.2301928474478256]","[1.164277973267056, -0.5774716076082184, 0.14888846823726992, -1.2554309665506027]"
"[-1.3616390841398056, -0.9546072201889659, 0.897482710466993, 1.9848964896297177]","[-0.40609984339589583, -1.2510320439959333, -0.8332541801269725, 0.20510202526995422]"
"[-0.03028152592444784, -2.5672113883603123, -1.153925359544141, -1.0169453162795183]","[-1.126734017166412, -0.3923214953326361, 0.901958980094607, -1.0968584614155281]"
"[1.2183170285878835, -1.9869921386616403, -1.4002397866329732, -1.7842335256740574]","[-1.0530285812244227, -1.114171591726612, 0.42825549232179544, -1.3344820614694555]"
"[3.527871010016515, -0.3887172451555499, -0.24920323519415122, 2.5978469381252096]","[-2.467809966481143, -1.0520637654246863, 0.22780926552319045, 0.2675180641354925]"
"[-2.229864734950216, 1.6104400236169167, -0.8403039672781296, 0.7472473571483049]","[0.981536546693472, 1.0145879195230523, 0.5366175826200594, 0.15244520919025006]"
"[2.0000402412638505, -1.227856365728628, -0.8402067025735538, 0.017135494675003957]","[0.22419887666727606, -2.2095248853784826, 0.33818177410119443, 0.5563823252816831]"
"[-2.204470974938286, -1.2125471537478605, 0.19574104478455734, 1.0972963624775773]","[0.779204753020253, -0.44956563323390913, 1.3489637086955153, 0.7617351482143798]"
"[0.17214035381135692, -0.23270375071603616, -1.1926772565083197, -0.8903530687275557]","[1.2524705031724934, -1.4922244086273644, 1.2290465790983758, -0.2659526459247721]"
"[0.5865211449096018, -1.775773735370828, -0.6191641709586087, -2.273307981142849]","[-0.2609515569402533, -1.2024850784268442, 1.2364008990791104, 1.0446628754433505]"
"[2.0933066552530604, -1.9899723444904946, 0.33095465824122283, 2.917454746367359]","[0.27642779566840014, -1.7693797461896628, 1.8517496411306502, 0.9859505066880336]"
"[-0.31238381887250255, -2.5190743530661983, 0.7293095113889511, -2.2036464365912223]","[0.04844391441247619, 0.1608646121932289, 0.9449965332653915, 1.2344728707947903]"
"[-0.538143302879894, -1.1461085824951192, 1.6040140263982638, -1.932917280879766]","[0.7631255304439394, -0.6193267903828737, 2.241976470079609, -0.25073940261720695]"
"[-1.7762804187358432, 0.2144251678124759, 0.8406819469187995, -1.1517492718484919]","[0.2596067593889306, 1.0539327182017884, 0.30021125407823396, 0.9010231912206621]"
"[2.052155134511879, 1.8498876311644086, 0.10001273350510442, -0.08340934228016739]","[0.9402244111530069, -1.116587108621708, -0.5232308768141497, -0.7895452159335344]"
"[-0.6927360136576803, 0.27866380033246657, 3.3244996304848597, -0.4793937483244168]","[-0.333549073142349, 1.2070745028563912, -0.38914645239918205, 2.144294588898032]"
"[0.7068695335740012, -2.337243771062263, -0.7032392854439351, -1.5943591782939874]","[-0.8336988196554552, -1.2968647185662165, 0.048996596820532694, -0.20711077641102987]"
"[1.8370911442697617, -0.7297650457836893, 1.2259772619080174, 2.041701846759299]","[-0.9622205085143064, -0.22903942275759645, 0.2410174919088783, 1.0966737933718849]"
"[0.5943301307546622, -0.23096920465258616, 1.3103209417841275, -1.8156266125590186]","[0.41539113641537023, 0.5228005690015456, 0.3898035725868713, -0.7865740272027526]"
"[-1.1395901496140477, 0.9750367270039418, -0.5539206440537787, 0.7314981940168127]","[-0.2627797670945909, 0.41025344486179166, -0.9910334918672727, 0.3112236984857459]"
"[-0.6176762135573745, -0.6953961743523026, 0.08109778012010999, -0.6558875989470003]","[-0.17765920623493003, 0.9556677822603463, 0.0908495641614698, -1.0904286679794295]"
"[1.4924082321472116, -0.19988453718737365, -1.4345074931986868, 0.19293820161849237]","[0.3201960335653818, -1.4974340465677232, -0.18116918830060882, -1.0624341496910794]"
"[1.530371849554121, -2.5394271776769393, -0.44864651478201995, 2.6804351523926515]","[-0.009885821731298094, -1.8638384832461181, 0.12551840410037973, 0.13026304960630433]"
"[2.5850435823092495, 2.474063259917794, 0.37382916078116935, 1.3464300608471238]","[0.9257715435942271, -1.6521953718228488, -0.8894984666179329, -0.19529513274692153]"
"[-0.3884609989851702, -1.3125061353227543, -0.44875713710877463, 0.24654376772366451]","[1.7453024672517028, -1.3867532618118426, -0.4795630375593548, -0.7408148049661906]"
"[-1.143001752203732, -0.7163785425484562, -1.7905114349487592, -2.092495532248617]","[1.6321074906628479, 0.5557931249146844, -0.09198709787332297, -1.1548188286679177]"
"[1.7860012356822035, -1.0691933716562039, 1.787882307601757, -0.40683359964065047]","[-1.2633808939489763, -0.5781553514242672, 1.4075716211780518, 0.13716514852149314]"
"[0.8606792276104962, -1.183069083128671, -0.3208268425406726, -1.2353576723541695]","[0.20748703671533528, -0.9104684468134348, -0.23115913262081733, -1.0865698988942372]"
"[-1.1890115991493533, -0.26358240627524776, 0.6980004880724249, 1.3722628438494133]","[-1.7173409298185423, 1.0646954069162888, -0.10268106156413108, 0.3065799479749092]"
"[-0.47990640737725626, 0.8426515254592711, 0.5084292664988097, 1.2316636621216766]","[-1.5014852245285337, 0.5790833052297497, 0.5879946425132206, -0.3946269887813952]"
"[-2.9093745113103804, 0.352546444007862, -0.9648094869675545, 0.7051769746267815]","[0.6288676608380653, 1.0393416644490634, -0.1585750867962951, -0.060058791858035435]"
"[0.4175128424707707, -2.730554771838138, 0.6532850590486955, -1.5683021669913064]","[0.06391932485723949, -0.48521309487717307, 1.4577427266993086, -0.43275770883037074]"
"[-1.8782494073658196, -0.16111076424150028, 1.517579990554848, 0.7269625452920818]","[2.464764993075495, 1.3901871215584793, 0.08084819200944258, -0.22232111185082207]"
"[-2.155555912036633, 0.02170434682871582, 1.5645930121336888, -0.37989615120883796]","[-0.23288935716108547, 1.9830762038121912, 0.7096847596847974, 0.2897653450449762]"
"[-0.3953956320966036, -0.687853518478326, -0.2666769974535831, -1.8115181338115318]","[1.8696767821692883, -1.7374145268190075, 0.5690897464965555, -1.7380976640670636]"
"[4.614652241251549, -0.6712701063146419, 0.9916700616113784, 1.5941107316965668]","[-0.8791267878348025, -2.2021271771226307, 0.577695406214071, 0.6872574522683388]"
"[-0.36125380340444224, -0.45735422304878426, -1.2414523457796152, 0.4336651347214863]","[1.3935727445130421, -1.691502036032956, 1.150089956275637, 0.019140990425466856]"
"[0.242351184354498, -1.4954529874436402, -0.10224656901249686, -0.20833394896050772]","[-0.280051237867653, -0.7965784958737099, 0.5161232230051778, -0.24894052990206267]"
"[-0.10379412213883882, 0.7670129599772774, -2.8430117738633807, 0.42140307986218295]","[-1.1033391674819881, -1.0303202342301763, -0.47302978968906617, 0.16052400318656743]"
"[-0.1283448499467831, -0.4536752679252862, -1.4861881300086546, 0.9988329937635051]","[-0.7381517081884207, -0.8606655686087072, -0.6962738133003021, -0.1382426221663604]"
"[-0.0633458052179966, -1.694060943942693, -1.3432693954885466, -1.0775232206084497]","[-0.07615813960680831, -0.1739639000033388, 0.7261190551719164, -0.2737042587545641]"
"[0.8354135471228398, -1.6170885999639382, -0.502346364142407, -0.21511865388492815]","[0.8308955302841987, -1.3225819654921815, 0.11222086184199812, -1.052741315225144]"
"[-0.9265447652406983, 1.0108685854785127, -0.3683468328643583, 0.6309406444850353]","[-1.2648315717263816, -0.44134498072289086, -0.13104149689778224, -0.8901998284279143]"
"[1.137905828493695, 1.9851514112080966, -0.7851578748108288, 1.21912884134254]","[0.796598626797641, -1.633674395496093, -1.0558861296372073, -1.2147771041837412]"
"[-3.1948056796142694, -1.5020362554536162, 0.0971276780934869, 0.5232580283949829]","[0.4262311236011405, 1.027665878883036, 1.2216530664937, 0.3095975847497383]"
"[-2.4427614786491407, -0.16030441083001631, 0.09078596384880594, 0.5221592668006586]","[0.183807577773329, 1.0126945954110258, -0.08120857144074517, -1.045434639460902]"
"[0.9856434377321706, 2.342956836618297, -0.77537488578797, 1.0122550362470422]","[0.1784832815617244, -0.7340575692946479, -0.9891764820877459, -0.32187839295833676]"
"[-0.306632898133318, -0.8028632880795565, -1.0014016482344998, -0.87723899470567]","[0.5908237808806746, 1.2204304404935722, 0.512762048925871, -0.2856384564055789]"
"[0.41696456988774466, 1.3029899266752836, 0.48730330557028995, 1.4399931061052782]","[0.2177806132886874, -0.80866953032332, -0.6500003257975636, -0.25129316555873965]"
"[-2.081357502630034, -0.8577376385715945, 0.6417009115091075, 1.9612022786884507]","[-1.391411827010612, -0.004001178714199526, 0.9751326540756716, 0.6166636334881811]"
"[-1.7682759343528922, 1.2230230985568933, 1.546826140667262, 0.015412127813955748]","[-0.42682969583273545, 0.7412965003575366, -0.5685459325209202, 2.145627825474883]"
"[-2.3338601536456838, 2.8095776436661044, 2.1505687093580192, 0.15781932686774033]","[1.7939551547100825, 1.3027260595378438, 1.309879258488044, 0.35982817686770086]"
"[-1.3957879470979966, -1.453383997292403, 1.1556511944815353, 1.7918867218614403]","[-0.7912859255311473, 1.2207788778076778, -0.31224541610315937, 0.18441449609772725]"
"[1.3649581425927295, 1.3039840033719543, 0.7213844593289758, 1.2352656521655923]","[0.7345625643495379, -1.102898293988074, -0.37384063371270493, -0.06685926241406606]"
"[0.8742790931088282, 1.4097190210160613, -1.6484519836676437, 2.174884253265569]","[-0.20457945841770261, -1.6620504545632473, 0.2874889941597375, 0.34320021076719387]"
"[-0.8011796029268231, -1.294901147040075, -0.5494020693517735, 0.1628732198321543]","[-1.3552572248614998, -1.1705854711353874, 0.905650854373677, 0.07834906348664053]"
"[0.1220222794406981, -1.8947754911740096, -0.5539900512742931, -1.2045370451397492]","[-0.1733510365489023, -0.36184681961038495, 0.6682892030167442, -0.5144955123471409]"
"[-1.2734893753782215, -2.5184789560061773, 0.11453463184764615, -1.000001140080779]","[-0.8195954615297014, 0.8923852693876758, 2.7715230951367165, 0.07937829317197194]"
"[1.6303426831472811, 2.602982926922918, 2.556575091688406, 0.3414340223157233]","[1.7511103719306516, -0.08557233404622176, -0.6944677731917919, 1.8424419332525164]"
"[1.773253890281696, 1.311095708623681, -0.9114457796643198, 0.834422036203819]","[-1.0332269557931677, -1.0591225720849275, 0.6931424685639066, -0.3326965784852031]"
"[-0.8770183498548614, -2.537499033599264, 0.16552811566864153, -0.1586589487786116]","[-0.6218270286452303, 0.3072236432357806, 1.0088498748206338, -0.9063155111822151]"
"[1.3763863161303753, 1.8547656595402133, -1.6716515456570031, 2.1498017909501153]","[1.1506801046286128, -0.8940379891932037, -0.9070397774695803, -0.1406693701075714]"
"[1.9996490981877875, 2.10592800490047, 0.7875080470502495, 0.4536633625930385]","[-0.06198873737796825, -0.8023312601826246, -1.1096281646575954, -0.9995495887545001]"
"[-0.2799014918252029, -1.184463061434943, 0.9280010199677047, 0.3084536162449411]","[0.06560371700314993, -0.5772641029876676, 0.5197184615494692, 0.5209398765648828]"
"[-2.129855081897908, -1.2490411892414541, -1.363814527264658, -0.3893878567996164]","[-0.22467792067433331, 1.8756997874018242, 0.6310742063736337, 0.46387269218430416]"
"[-0.7904163425639211, 1.249281693102581, 2.197699514229484, -2.0142243408078606]","[0.10551700233275345, 0.9306039582490284, 0.1519358146524403, 1.4387923870484358]"
"[-0.9696386041171209, -1.6069850735610076, -1.9171281080102995, -1.0460221450858025]","[-1.4523990546161312, 1.479744012550585, -0.7274699998014409, -0.0930044343535716]"
"[2.4227030912566674, -2.3434707644474035, 0.1794915703888527, 1.7712297012156526]","[-1.1047658179674982, -1.9113999245205406, 0.369637880381962, 0.5776821226125982]"
"[0.26966216773462115, 0.08569648679628504, 1.776117061318782, -0.38354767384732447]","[-1.1808731335150044, 0.4101683805629998, -0.17318180769166897, 0.657119058997365]"
