image_embedding,description_embedding
"[2.8111668363754583, -1.9081738400032764]","[-1.2198776606704715, -1.5082505110370186]"
"[-2.614856813441889, 2.5950794553396386]","[1.3377079656773758, 0.5983080551551454]"
"[0.2332610706314889, -4.069626866159186]","[-2.131967982440335, 0.7470556461524313]"
"[3.2046098357791974, 0.021730969752728743]","[-2.6351493830577195, -0.7564921844647321]"
"[-0.2916928951476083, 0.8036218105106728]","[-0.3560955515191493, 0.8360883266565396]"
"[-0.36616301263012296, -0.2534908184902785]","[-0.35614972455223926, 1.0030400943799576]"
"[-1.6920789978527195, -2.104795229024728]","[-1.260127487651504, 0.6718142839433436]"
"[-0.7469350697925413, -2.51555255628536]","[0.47911617030451065, -0.7819157895107838]"
"[-1.1897185420301342, -2.685248665574809]","[1.088899453268936, -0.7538277479371407]"
"[-2.5715670671646063, 0.17359357223721886]","[1.643777092001572, 0.7768619137421511]"
"[-1.308507512694369, -0.8848783017126225]","[-0.69626448319269, 0.7397075549038877]"
"[-1.5489609322873132, 2.2539346181949673]","[4.277890821386056, -0.8799562991719232]"
"[0.10897318944033438, 0.7661293398573596]","[-0.44362188877324843, -0.09230080097344526]"
"[-0.14553246685979246, 1.3617782236295874]","[1.1642917318045864, -0.5774821395760702]"
"[-1.3616585517489805, -0.9546872066098798]","[-0.4059647257797054, -1.249705037686402]"
"[-0.0302944861085213, -2.56731816574845]","[-1.1267594035701092, -0.39303102997736133]"
"[1.218340959707443, -1.9869508089171286]","[-1.0530910023134845, -1.113766852845622]"
"[3.52787136873389, -0.3886810043416364]","[-2.467791250482308, -1.0525571863352923]"
"[-2.229826039447815, 1.6104756282217108]","[0.9815575104720963, 1.0148381219924878]"
"[2.0000314986481618, -1.2279764806053468]","[0.22426441624762272, -2.209068630844999]"
"[-2.204455718943301, -1.212557904918139]","[0.7791418332045348, -0.45000293489245663]"
"[0.17216764262116957, -0.23250304758747795]","[1.2524945673663073, -1.4921570954352361]"
"[0.5865192263732771, -1.7758303576851453]","[-0.26091002650157913, -1.2013816384622638]"
"[2.0933169849993276, -1.9898410722237776]","[0.2763717415533819, -1.7709561872762867]"
"[-0.3123799542835352, -2.5191456948129685]","[0.048455920292895964, 0.16124223949345842]"
"[-0.5381361722808639, -1.1460825102083552]","[0.7631778058595866, -0.6189143362248515]"
"[-1.7762619458465467, 0.21452366131022782]","[0.25956333147890165, 1.0536203993794022]"
"[2.052147697921924, 1.8497859978923235]","[0.9402100429839642, -1.1164703318025162]"
"[-0.6927290005156922, 0.2787879697321032]","[-0.3335109311134449, 1.208777471037914]"
"[0.7068581992884918, -2.337379643123041]","[-0.8336724952236909, -1.296305332634262]"
"[1.8370668773133154, -0.7297777764271903]","[-0.962282537877811, -0.23069134367182662]"
"[0.5943284727074333, -0.2309374035550077]","[0.4154772562228265, 0.5227172628058226]"
"[-1.1395781317019704, 0.9749744895482894]","[-0.2628089640992945, 0.40937288246804704]"
"[-0.6176750331712344, -0.695266595851108]","[-0.17759797307159852, 0.9574028132741117]"
"[1.4923929537124305, -0.20003939805157328]","[0.32025718461143604, -1.497432098311584]"
"[1.5303944115257953, -2.5393471035694692]","[-0.009935794712653694, -1.8642029446726853]"
"[2.5850401945090824, 2.474029883591869]","[0.9256654570245366, -1.6530456813743726]"
"[-0.38848006887842423, -1.312516874755157]","[1.7453951396327998, -1.3860233204964227]"
"[-1.1430202786787624, -0.7163330670857191]","[1.6321390868427863, 0.556258674202449]"
"[1.786002545259732, -1.0694901048445533]","[-1.2634057162386847, -0.5773086442610817]"
"[0.8607054317028977, -1.1830169452809784]","[0.20752322727171243, -0.9104893911409612]"
"[-1.1890097084905231, -0.2635517512403302]","[-1.7173869588579824, 1.064007542825362]"
"[-0.4799081978982094, 0.842581045435728]","[-1.5015358492806679, 0.5778985876942695]"
"[-2.9094005570293193, 0.35258910177043024]","[0.6289063395635587, 1.0395831317048283]"
"[0.41751291775525484, -2.7307150493989285]","[0.06396631249680952, -0.484174918436691]"
"[-1.8782499889429356, -0.1610332064734495]","[2.4648463059366756, 1.3905238913980889]"
"[-2.1555454300982784, 0.021723471747619016]","[-0.23293827484687502, 1.9829922263039987]"
"[-0.39535880724016914, -0.6877375614984699]","[1.8696589768037863, -1.7369457589836643]"
"[4.614660303965047, -0.6712694378651535]","[-0.8791187021960408, -2.202505010277469]"
"[-0.361232548667596, -0.45728437785338244]","[1.3935879379567981, -1.6915319664570743]"
"[0.2423692271012403, -1.4953618188593207]","[-0.280029329699543, -0.7955275911689743]"
"[-0.10379736482941208, 0.7671025284414762]","[-1.103268995901473, -1.0299523002241013]"
"[-0.12831804568560073, -0.45352901075651886]","[-0.7381535935207882, -0.8602558221813933]"
"[-0.06335048361417785, -1.6940690352877337]","[-0.07609232432225718, -0.17436198439674663]"
"[0.8354184321733211, -1.6169805288399401]","[0.8309720598830888, -1.3226542042474567]"
"[-0.9265206898707109, 1.0110238133228067]","[-1.2648112817232147, -0.4420355820359785]"
"[1.1378824082382473, 1.9849974465474824]","[0.7966046330753315, -1.6331537103432483]"
"[-3.1948216972210477, -1.5021694618829071]","[0.4262210684515213, 1.027982344019307]"
"[-2.4427731444784406, -0.16021077085561833]","[0.18393528154813385, 1.0127390381409043]"
"[0.9856508589729749, 2.342880027573024]","[0.17845598062030216, -0.7332478436642783]"
"[-0.3066202104531962, -0.8026453645808957]","[0.5908321658640749, 1.2217289152127768]"
"[0.41696082956210484, 1.3030454692223785]","[0.21770846469011643, -0.8092077197599995]"
"[-2.081356797956851, -0.8576670012194687]","[-1.3914481792739268, -0.004292106290240678]"
"[-1.768249977975068, 1.2232604393176978]","[-0.4268098828032315, 0.7424613929871812]"
"[-2.333835409827974, 2.809520135827644]","[1.7939485271875735, 1.3021693469784024]"
"[-1.3957931512955606, -1.4532361078753129]","[-0.7911711567524707, 1.2220395847951822]"
"[1.3649521295740463, 1.304022528417532]","[0.734500679672366, -1.103969365855419]"
"[0.8742883684280988, 1.4096512049600296]","[-0.20456032345075872, -1.661172922142916]"
"[-0.8011648394712843, -1.2947333948395834]","[-1.3552734864280334, -1.1690696355705488]"
"[0.12201282066376816, -1.89492134263154]","[-0.1733261123707307, -0.361139378652632]"
"[-1.273464697547102, -2.5184783357734055]","[-0.819614671600462, 0.892435809240346]"
"[1.6303458273623181, 2.6028767846034966]","[1.7510729948926063, -0.08574217932690954]"
"[1.7732546246498029, 1.3108778494099487]","[-1.0333321305499121, -1.0582742714297968]"
"[-0.8770082379801267, -2.5375473452852773]","[-0.6217989689115712, 0.3066884797681154]"
"[1.3763726608505418, 1.8547026814001715]","[1.150585057979319, -0.894644491123198]"
"[1.9996336793727942, 2.1057912115352155]","[-0.06206052911229967, -0.802297407154472]"
"[-0.2798955135547614, -1.1844026153104061]","[0.06562781232534208, -0.5768715822250404]"
"[-2.129860939143065, -1.2491463638871758]","[-0.22468605944755182, 1.8752299657029872]"
"[-0.7904100117216208, 1.2492520098865483]","[0.10542256834010456, 0.9290110357691497]"
"[-0.9696462545920437, -1.6069759051305723]","[-1.4523273636594645, 1.4791727257053624]"
"[2.422708306079483, -2.3435172341049277]","[-1.104743267298215, -1.9118635130613766]"
"[0.269618112451687, 0.08549004649779089]","[-1.1809144649961454, 0.4091452623920759]"
"[0.30480800398076685, 1.5491976916198298]","[0.796129458420944, -0.03524643380393932]"
"[3.5805069628421373, -0.8325114146690255]","[-2.968725900272176, -1.4372939381614813]"
"[-2.685422808706575, -2.3192826068461363]","[-0.7348189378568095, -0.1703254262705018]"
"[-0.7507185692672017, 0.19515679083670232]","[-0.6731598679857608, 2.6783207224249828]"
"[2.634141467003235, -2.103349461727293]","[-1.5732187878122736, -1.7169418153731515]"
"[0.46311849761179386, 1.107935638249832]","[-0.07635202464834842, 2.2139558642137604]"
"[-0.0013364921334776167, -2.405208969347167]","[-2.3609571279567474, -0.08322221637972883]"
"[1.2016645714499141, 1.6954236188353642]","[-1.3409530007467392, -0.6256957597040372]"
"[-2.1766847796609143, -0.19936548539049398]","[-1.2357127122101974, 0.8176567486930146]"
"[4.846045141592082, -1.2870197565093247]","[-1.7358829728967666, -1.596297087750642]"
