image_embedding_entropy_512,description_embedding_entropy_512,image_embedding_entropy_300,description_embedding_entropy_300,image_embedding_entropy_256,description_embedding_entropy_256,image_embedding_entropy_128,description_embedding_entropy_128,image_embedding_entropy_64,description_embedding_entropy_64,image_embedding_entropy_32,description_embedding_entropy_32,image_embedding_entropy_16,description_embedding_entropy_16
8.99381978974242,8.96504430186562,8.189643241146904,8.197349765536288,7.955012565903326,7.9633899722286685,6.918344807487372,6.935496019953913,5.887727915581133,5.882421977663804,4.828425691195502,4.824176520580844,3.8151863921931244,3.732727399867607
8.993354997668801,8.908514361403649,8.207069607158733,8.190718253781831,7.974945349461515,7.955676243065237,6.9546770671562985,6.920343314331843,5.918774059431352,5.861177203400831,4.871756980126131,4.802831845270584,3.7974230893128222,3.7287967892644622
8.994637444194288,8.95812334191853,8.217753838144608,8.210789575236527,7.987254392077242,7.97908438854904,6.976190820621935,6.960416983711892,5.957057519347131,5.929613296030961,4.924797110067272,4.882001318982724,3.8846423601203055,3.8342124039179817
8.994285618274624,8.949487345778458,8.171159786113485,8.217272786704111,7.933606000593082,7.986585192724817,6.881553237628189,6.974975710875881,5.812630393639823,5.954064351865765,4.607092665031944,4.922131809105613,3.436267582056888,3.8699477002642095
8.99448765141126,8.87660665195935,8.196479569231656,8.177018614866402,7.962390223310184,7.940120689266452,6.93091657526122,6.895966446359621,5.881298135442251,5.818790070430511,4.8015697946917975,4.723837816280115,3.653819411225084,3.627522758580707
8.99504042751171,8.91272297915039,8.213152832955812,8.186548487402598,7.982069872999766,7.950921774666973,6.968256751031658,6.907145501123976,5.942013201539404,5.840198405032602,4.905747263775657,4.732248571540765,3.8406174943951097,3.542191114987654
8.993442664770468,8.941331126577868,8.202296775112774,8.182385838542379,7.969062000163939,7.946129194866962,6.941476603671632,6.901466724789223,5.894390235655709,5.8577846411707455,4.817985258481951,4.779822079290178,3.7355639580538265,3.6571744554272216
8.994471574703011,8.931531188331677,8.207806387019456,8.195404147223154,7.975902622831406,7.961175036975906,6.956453885652593,6.929734234139482,5.922158160496933,5.886144846468429,4.8701947596446775,4.816509788856134,3.786856515793092,3.7231227947439702
8.99480020482665,8.928995618692282,8.209396240044395,8.209775869969839,7.977623314170397,7.977878859150652,6.959622847272053,6.958756121639201,5.928681604751409,5.929248197025704,4.881608247916881,4.901440703902301,3.8269349164346385,3.83791669880776
8.995054657645497,8.9240141298241,8.208652742168011,8.201695420684636,7.976788256148808,7.968648775293042,6.959066287454425,6.944806674274633,5.930206208868375,5.911765918499045,4.888017897988197,4.859241714995795,3.7976446509218036,3.838805892384134
8.995332986347197,8.918655846503023,8.19246837345138,8.198325526665354,7.958113347033858,7.964591828151251,6.926476022369889,6.93438743533577,5.874115314730305,5.893408594168534,4.805284468922116,4.845114851561189,3.4557609405082688,3.7727192267469607
8.995175199024162,8.89213691303394,8.169244411737855,8.164835766094708,7.930436409377124,7.92565921009146,6.868278903700032,6.860254729902889,5.75017448995899,5.7443838689559374,4.5335213111140895,4.62205235000725,3.389012481991376,3.568520816406484
8.99504204806675,8.953561359973545,8.177658736101998,8.195636698269752,7.940682937773537,7.96156676536122,6.892578954968186,6.929321276877097,5.861542679373487,5.877591547335978,4.80983330183746,4.801695444766258,3.7066090446339572,3.7859250128534296
8.994829002107359,8.914071504698615,8.181807944320605,8.180302212930599,7.9457033569821,7.943732337857933,6.905756336829308,6.902026700036764,5.834652983533257,5.832958508471744,4.691152929837132,4.768752679768051,3.6543428123135344,3.728465845430297
8.992902649389201,8.948742511826566,8.154379022725204,8.198826021322006,7.914462162672392,7.964954283598953,6.864611992940251,6.9361533670340645,5.8287164301489405,5.899525474176459,4.812325366580534,4.827521287787532,3.752629606552516,3.7504994302196426
8.995278416340089,8.918885519107974,8.205809911276218,8.166462926860483,7.973317020269441,7.927156502705085,6.952995352894358,6.876730243341924,5.92257264511403,5.80092506384121,4.906069933677802,4.747911409266921,3.834802126811444,3.6100728315961157
8.995748917694414,8.942228333358383,8.193131107381674,8.178427056470833,7.958514355490127,7.941186411677525,6.923901236627614,6.8897976161677015,5.867468414627966,5.808797299528209,4.775042526151083,4.733761420531691,3.5900901193053385,3.5512132593528722
8.995351782554698,8.941217260995256,8.193341794814035,8.217297513313705,7.958733189856805,7.986680234605355,6.927847504358246,6.974637737888235,5.872280458226319,5.9530026658554505,4.802055746461724,4.914745050345795,3.6729269175276418,3.853297891061257
8.99559198197761,8.930686997651978,8.198873907946815,8.213967450830351,7.9654183944182995,7.982882873819717,6.935978027513014,6.968551684393439,5.882366722709376,5.946073777020244,4.789605440285532,4.910717155164075,3.615144168798902,3.855790947000175
8.994963271782948,8.930126121303507,8.177063071136955,8.212680808088265,7.940159007734818,7.981299077459762,6.894318816389433,6.965505597600463,5.828768528404615,5.941571082651783,4.71609236578721,4.911771846612197,3.562671697428394,3.849491092971944
8.994366094755549,8.938162721669876,8.199276446332947,8.165405003552504,7.965982240112298,7.926466961135599,6.940376657855268,6.8725872135582025,5.898601342508954,5.779057547618547,4.845701525135251,4.685271292668364,3.735647285187925,3.598357472295024
8.994763330942149,8.894223892665575,8.193144557530204,8.191048499635443,7.958945540399526,7.956275218248436,6.927188633207391,6.919676713785417,5.892358747610172,5.8678636217862925,4.86072074532904,4.808365520922634,3.7796016355908613,3.66736092168919
8.995239271081452,8.944600298573397,8.203694297938878,8.184314502489336,7.970875553290789,7.948204952974615,6.94599186956815,6.912640807410699,5.902478425067168,5.855610920876174,4.826532387441049,4.798293919653059,3.6986694758922836,3.6799731055210545
8.99385189838372,8.912813692910861,8.190148136514464,8.206339379347774,7.9550021467559295,7.973908555542413,6.918245056551759,6.952142984120222,5.85216945403323,5.92522634239308,4.7373211532857,4.885642233556248,3.6589989067129656,3.8200980713711283
8.994882039343072,8.901652661978034,8.206026012152753,8.176535506991446,7.97358797837746,7.939112628262312,6.952974947517631,6.8901114800433865,5.920607318141663,5.828134015763158,4.870259128732965,4.767229564780028,3.795212658401593,3.742423012394463
8.99522486118645,8.914051194029398,8.196315708647855,8.192286717573158,7.9626214388295935,7.95766780794219,6.939132676289885,6.923535916371208,5.907061062074778,5.865454213916856,4.866531686780756,4.773629343501229,3.7814502965894805,3.5892333871064412
8.994518021812,8.94462976157244,8.21319090973856,8.126640858066732,7.9818788573017265,7.884613072344549,6.966404185895807,6.808337757494476,5.940252791044066,5.748837340590166,4.891034278139885,4.644301121713379,3.8367589458276123,3.6802512151660967
8.993126787807853,8.923066374351183,8.184961685362635,8.170162937644957,7.949556770480178,7.931486513756113,6.912238444961341,6.87345178552491,5.8754646479803405,5.757563474141648,4.836548369629536,4.663469201227967,3.6612905612006124,3.544504683865823
8.992876785827663,8.911406133019245,8.194105540369858,8.146145688278294,7.959884358748682,7.904870800348505,6.92702712374494,6.833090017546802,5.885257876758919,5.762693343437675,4.843018789676229,4.633130301104789,3.7059180310751842,3.485821488851627
8.995423655406604,8.905058568286073,8.204734793493763,8.188928408857727,7.972093503059067,7.9536706557357775,6.949947559486079,6.915193182615104,5.91429901778454,5.866297475243743,4.879201718734398,4.777760646602235,3.8192190285919763,3.6867220903944364
8.995220192111027,8.90730013202016,8.195423278160353,8.180253655006235,7.961123652280259,7.943796298201039,6.928601859967039,6.896298240885685,5.876997665657463,5.828109645343311,4.783900836801067,4.725573187384791,3.6533210979636963,3.73457738667171
8.993984059761047,8.919545675666935,8.181631593868937,8.192959584303917,7.94500993824654,7.958253733269831,6.907348059342818,6.92412329388408,5.895390471128959,5.874815357024442,4.887079800314169,4.803704562894617,3.8738039102993502,3.846775529261007
8.994221768164124,8.943730816315426,8.204460592585066,8.180862249347422,7.971847807020396,7.94433357007882,6.947657820514205,6.902161024411249,5.907332129394562,5.852170938102537,4.860547735200213,4.823260874564036,3.7764265053888,3.8463557406253486
8.994211761988996,8.926955921754306,8.198093431799375,8.205922888771987,7.96464895903738,7.973297050290686,6.941973576109625,6.953245811291534,5.918478265472404,5.9263819812885625,4.865338979547762,4.897571191747061,3.7852284842809967,3.827908403387525
8.99488170859675,8.928602828661509,8.180197935215936,8.189744599515276,7.943700959246712,7.954500570712939,6.900308470255781,6.914246344354801,5.843036150358205,5.853592184336803,4.745109513608321,4.738388403913586,3.630467984882665,3.7000082906012994
8.994962520815879,8.908161419226094,8.20631166663083,8.208860302981144,7.97396330913462,7.97687440714124,6.952614041815827,6.957571775034412,5.920724492937381,5.926275671709417,4.863450115136311,4.87228596713937,3.773293729025715,3.8466904687914125
8.994553153640338,8.876817772916466,8.185346706968506,8.202005297736072,7.949870223012533,7.969366485582878,6.911906079296136,6.944676518133144,5.860149356870423,5.900490782528414,4.8109230381490775,4.849608390755037,3.770733239516595,3.821274760746344
8.995074139792228,8.885943990157587,8.177876420109472,8.186242621013022,7.941382394462278,7.950416386477227,6.907154631140905,6.907934258970458,5.864478325061216,5.832986522259695,4.786247226390604,4.701842577042915,3.666201974047457,3.5331065568828226
8.995589524794635,8.907165620039937,8.196483528191113,8.17634041336461,7.96238870823988,7.939568480569681,6.929658303725089,6.892041287404296,5.87264688680524,5.808335019536012,4.784311574137856,4.712798591627151,3.6496432450905134,3.642860079844869
8.993791850386017,8.918692405187759,8.18326238155025,8.184825846866469,7.947204310577694,7.949452501813756,6.907606823244282,6.908861282325587,5.869540454316404,5.832524289828112,4.811480704342095,4.772020473656907,3.7866111414190433,3.68491808555674
8.994955239696953,8.926842172654641,8.170561020727009,8.16256419213244,7.931806287811303,7.923311468239744,6.88513626154657,6.861639871633494,5.817081032040873,5.78238947852765,4.715110612625335,4.7471664587655305,3.615218813848433,3.585017597967034
8.995007120730282,8.938721515454244,8.198851771642772,8.212055476337685,7.965180582322414,7.980481505542246,6.936325993564486,6.964172109668535,5.881450109347937,5.938720969306582,4.836667091363826,4.889504391941097,3.7798412324456088,3.808625478703277
8.994368933797606,8.936261933770165,8.177634519661396,8.19677596525675,7.941458212033905,7.962899672434194,6.901286642219926,6.938787500844663,5.85065699961345,5.90820710733764,4.784012204729764,4.8741978608130605,3.750157415749321,3.769627487471483
8.994557300128758,8.908255344189406,8.212665941535565,8.164573541035285,7.981329563885549,7.926059540084448,6.965552297322934,6.867927810780531,5.940776726045319,5.77951086106822,4.898570205726922,4.668733328588312,3.836839148531695,3.511691512050427
8.994711330074868,8.888575328516232,8.210889773190129,8.203583399937724,7.979239669218075,7.970976349439965,6.962295362377628,6.945881515554346,5.94141326121668,5.9026052411074215,4.89728657623357,4.836580513636962,3.8353245273680887,3.8053023465450635
8.992714610796234,8.881822879994868,8.19006629131628,8.182990795483988,7.954925531027287,7.946974915524086,6.929496295713147,6.90413159501364,5.888046433769247,5.841051944573604,4.825587844938659,4.7847274810633085,3.8036202165895574,3.6345747402724364
