image_embedding,caption_embedding
"[-0.20717233760203763, -3.0632505586040706, 2.704250091475085, -0.8244115052522771, -0.5601012659241554, -0.03217652508278947, 0.2459447586630897, 0.5596790511588602, -2.1643681731588655, -0.512298789103978, 0.5375504696658068, -0.5257447607875944, -0.17257626390402778, 1.4852265513480296, -0.281894787427441, -0.9390293965303064, -1.0325332668366045, 0.48325921344749784, -0.5332314614628638, -0.16960498569503327, -0.10297864377019311, 0.17014943202337016, 0.1928468535712709, 0.12522129063824455, -0.8574221511723151, -0.36943206567840736, -0.5145357863024148, 1.135195700264933, 0.481108847555828, 0.3103199694961169, -0.6738290873740487, 0.25853254587616764, 0.18981007547120618, 0.2995085915721305, -1.1916332581261557, -0.16714111023706774, 0.44618849134939953, 0.5550589928352291, -0.26520667797323483, -0.4669331592411928, 0.35208665162315433, 0.24618382334887728, -0.26364459422714526, -0.44362725875884146, -0.0039741462682116304, -0.7230582882603276, 0.8110079719718144, -0.34710129827306513, 0.06359902975308347, 0.3055365618230619, 0.1974356400584197, 0.7322355396714797, 0.3699406127095556, 0.5679100755448279, 0.1797936826838247, -0.6788717462268791, 0.30440534974694344, 0.22651782454550393, -0.20748806312721507, -0.4718974872272951, -0.012754341824862103, 1.1158509664061125, -0.19213200389381044, -0.2644023301120265]","[-2.499561462644408, 0.07512609083592843, -1.7433267570582882, -0.6400758015659921, -0.8907085511510918, 0.688048101227784, 0.29590880861068053, -1.2250272985277664, -1.2408577952757414, -0.5701903450099431, -0.021934194000884685, -0.11956006359127225, 0.9022854562741137, -0.7907292646343936, -0.23603474002256883, 0.24375979938958736, 0.7486290145532085, 1.4643865926931936, 0.5634940716892173, -0.33162971231926597, -0.14446750099862482, -0.5148246053153738, -0.3720306305590499, 0.03099413224596122, -0.1397053023856996, -1.5142320886656528, 0.06890161919599246, -0.4940962649485968, -0.05896392087259844, 0.202954288373193, 0.34448510207841376, 0.7749410758423069, -0.08337874174868379, -0.5001573425902455, 0.3634824130358257, -0.17380112678355694, 0.2057569830542665, -0.8341539233550151, 0.7201443801709846, -0.16868882254145273, -0.06080524510512208, 0.3765909502739685, -0.05639825394203865, -0.1810053444503505, -0.7986822300073256, 0.06256837588144627, -0.17078614738984665, -0.5411130616676031, -0.06416490467377173, 0.7136456372997421, -0.41519019534402446, -0.7137093747745067, 0.1505904554502343, -0.46641533695122056, 0.5621272512883638, -0.2507651816472881, 0.010080454049680658, -0.34921354181411113, 0.11935858867094862, 0.08988970471930192, -0.3426091261646008, -0.1964430390819303, -0.34032508031157077, -0.10678896818543138]"
"[1.5052826827946024, 1.2004732986411204, -0.36260269953942825, -0.05056039240812519, 1.6949541998931896, 2.786570076942566, 1.6351263466904042, 0.5512428608614395, -0.23230055653073867, -0.647267776867143, 0.11062547594719524, 0.8607555149174893, 0.17142304863506305, -1.0155972573145884, -2.188808259000839, 0.7359053293336573, -0.7875882285341995, -0.29514882561012057, 0.6080459851847623, -1.0133795370009278, -0.9821211706250472, -0.44290074887937275, 1.5489922609526512, 0.47360273613847165, -0.7592808881654739, -0.033831518526559606, -0.206874038252553, 0.06201832144587389, -0.22656712785021724, -0.712604222980442, -0.49274627557499107, 0.7060573487451106, 0.09983145012451197, 1.0906772343928854, 0.000435705533452276, -0.819996562559715, 0.7960406583474655, -0.32418926382563645, 0.12345645557880731, -0.37133433723607023, 0.10482849345768767, -0.8530745825146224, -0.8703920672456967, -0.7629487687967222, -0.5578633554175277, 0.19993764319227994, -0.8313663990314747, -0.8086476467414322, -0.22314463728424122, -0.024078058139294672, 0.4623499574013545, 0.14022256499205507, 0.3626268317448103, 0.16318998144916172, -0.2507694384137853, -0.29258891314855695, 0.09272959701925235, -0.3768272484150746, 0.2553751182366648, 0.5095343876701265, -0.660627053064346, 0.09106860045834703, 0.5505571303246658, -0.18212697969865316]","[-0.9555958111506541, -1.1391642943064588, -0.06859941795567658, 1.1491429329544882, 1.4399942365685758, 0.8801812998440768, 0.4067949314106432, -0.4792655694977875, -1.3483048668738535, -0.550183861377451, 1.0102774102758671, 0.4376619891917956, -1.6302510577516836, -0.3109482591348542, 0.5520283231934774, -0.1036455245809675, -0.0909851985749597, -0.872241326335307, -0.5022838213239939, 0.07124261087486186, 0.23261179589713685, 0.5092311735497386, -0.3460425224771115, -0.0741491455631858, 0.29304090663098703, 0.10398962025465322, -0.4863061832757939, -0.18601844974716192, -0.7110412051786736, 0.05566102332530593, 0.05144929946120118, 0.8135501593253189, -0.09832722911521707, -0.02873383588361089, -0.34278306386937046, -0.40563212501288776, 0.2074535750182804, 0.0910707953459264, -0.9809148797922065, 0.03046432702176667, -0.15023053460443075, -1.0752301579073604, -0.5387109604269006, 0.872096011361059, -0.25639748310036603, -0.5321857586506642, 0.2727465302778155, 0.45127979206877256, -0.26332007255056267, 0.8172917052828995, 0.9414241229663254, 0.2869464557828864, 0.3983098100137202, 0.025579817853976276, -0.19515114747407075, 0.33558275837290036, -0.33809440894533926, -0.559870015320919, -0.421790795811472, 0.08643893895438742, -0.22743221434502206, 0.005810658674393139, -0.505852380696424, 0.3131200239492313]"
"[0.2802244024226418, -1.8318670523286018, 3.2179055192042165, -0.5976770933035842, -1.270602155624216, 1.075031754254033, 0.14892174187582094, -0.37171026814925917, -2.035995774149936, -0.74324104213748, 1.3962554481717293, 0.7629337411692221, -0.395148709038111, -0.4564106072998851, 0.05750823246262364, -1.1244130360223854, 0.9627294159830515, 0.17240391821347462, 0.5098198040744311, 0.47626268810447686, -1.1319215248236443, 1.0115295159373778, 0.253620911715858, 0.7625599663151681, 0.5870122204249305, 0.32237080764669745, 0.8743886053520317, -0.2628328932474614, -0.7123998590568009, -0.30440095575289833, 0.10879342738767432, -0.9334150495667473, 0.16687264922710124, -0.3792225315657277, 0.16944208841705938, 0.4925538602218576, 0.00038951900103714304, 0.9164954853459243, -0.6823439546324661, -1.0501637293914425, -0.21524332148446096, 1.6006833708172044, -0.6700111405012269, 0.8752898677855249, -0.5051291001068036, 0.30494976270517976, -0.6081140756920537, -0.8226701906055126, -0.012534758151840974, -0.5981655464812828, 0.17580999837560085, -0.5776768320040337, 0.2891403118097741, 0.5006186799266138, 0.08479961096640184, 0.2563108317603268, -0.23457679404261525, 0.5309520510409607, 0.4020941980709733, 0.3292215351644298, 0.16146204368045847, -0.060331618029491045, 0.13223903637255854, 0.13982770645484938]","[-1.9408619200655135, -0.6630761978395948, -0.2823490809190342, -0.33765761840765507, 0.22321139389921382, -0.19274519837870308, 0.5932098970197724, -1.0373527336325399, -0.7516986447025096, -0.2974634606483829, -1.064598864449715, -0.14731795277768128, -0.19265330023596552, -0.52930928084518, -0.8887505561602872, -0.4841832345109131, -0.7871752681537568, -0.1088664707466451, -0.25765086055717557, 0.39835321722931694, -0.30810829558540176, -0.28774367575696647, 0.1476958223017879, 0.3496890976286978, 0.5641780500802085, 0.9467245344764224, 0.11602557637883383, -0.30753659627635754, 0.3743403617722578, -0.8103324618162054, -0.47533840859742105, -0.3332869776215621, -0.2855704509987134, -0.061288005000763944, -0.49478962478257554, 0.47312574553984427, -0.1433381445101569, 0.329606443756128, 0.007867952672993924, -0.1306989457788199, -0.9367337427441811, -1.218652109888297, -0.6734488538434292, -0.2505989573537733, -0.4125277423446306, 0.05222518654881291, -1.1898701132859348, 0.7020499915627284, -0.2163459452376955, 0.41030123088785436, 0.3727847930439234, -0.34611720588436956, -0.8445081259099755, 0.3200288849039639, 0.746423628929408, 0.3004015702502648, 0.6366282954434822, -0.15981584995327822, 0.14682025685520486, 0.345684494574283, 0.035312031095348216, 0.3258365059003882, -0.24649335962552196, 0.15507162956753298]"
"[-0.15250851961421547, -2.2840842513249897, 0.26754297072359445, -2.2907779970134565, -0.8502168505570948, -0.3350559234744812, 1.4572855672603036, -1.030541020484143, 0.43110345695927516, 0.001368210468320847, -0.2221791983504942, -1.2968871525679948, -0.7159514982561267, 1.2061137735238607, 0.4682514409225108, 0.29729907935935007, -0.3209069341079031, 0.770805820747661, 0.08785408136344615, -1.6933579328640938, -0.20617172709199333, -0.08026172646465984, -0.17184959238224262, -0.6988673478269606, 1.4676438954357975, -0.8770139800400993, 0.41291823205664885, -0.4578192944442125, 0.5055632055495158, -0.30923659081751526, -0.3214890069650064, 0.6503989084860131, -0.5963116229123363, 0.6347365073272072, 1.0059463767001466, -0.6901038836163814, -0.5186963785718185, 0.27985662573518466, -1.2085482677818509, -0.8071642167926365, 0.005345378836816007, 0.6397829232336977, 0.5636120471347784, 1.724055068365887, -1.4738223078642358, -0.14233393557240231, 0.18782346730146912, -0.6143591854264192, -1.0139659290224958, -0.8853723316058423, 0.8197676776982346, 0.676011977009895, -0.8464985902952937, 0.2165589897774324, 0.6267099880418967, 0.8519806014412208, 0.9415833450659102, 0.3501120193975009, 0.1669640829551012, -0.8741554317757254, 0.11891990644653411, 0.05024918411045321, 0.46613606685332837, -0.08902773699804699]","[-1.745633114809508, -0.6971255769667016, -0.6556384878984499, 0.31864097341930364, -0.7714601127622616, -0.19492137975366505, 1.054138093969115, -0.9685793899853792, 0.9473456261402599, 0.3651191281424231, -0.6466669358852705, 0.37841590755157894, 0.52309141026411, -0.29983758356339046, 0.5938620751287466, -0.02147963839667561, 0.2684515421190694, -0.44962201038825267, 1.1062713272608322, 0.11807322064138234, -0.3779799813714473, 0.24456986974515, 0.17392824900439469, 0.10642323583960063, -1.3142011540694165, 0.7172322705761714, 0.4352340154392818, 0.548088409246577, 0.8168930338696594, -0.038884785323389175, 0.48470195114283493, -0.2937214238442842, -0.5620192452970162, 0.5378870836580122, -0.07815629928382196, -0.6306270159862927, -0.55857602935325, 0.9232256510340422, 0.6307750845142609, 0.49121917230191314, 0.7027996159329076, -0.09143455318232822, 0.1818459585683283, 1.0255501840970593, 0.089936201827686, -0.3443414170794325, 0.4756553669782088, 0.3889245525916744, 0.7183495059359698, 0.16860908369985728, 0.2469850506026556, 0.05199926085485916, 0.4691200927470071, 0.19463865629023502, 0.5304750489094553, 0.48155992711721163, -0.5797828025889407, -0.3119740681943041, 0.39555804412390705, -0.08194629098767309, -0.15377599267240905, -0.5307358180065211, 0.017979627438676343, 0.5720266444566741]"
"[2.7221848680361074, -0.8233281282708371, 3.841928809918363, -0.005687665399608349, -1.3899578967957698, -0.10034843478329034, 0.8048029645451328, -1.6599892733701627, 0.5566925165558615, 1.9403699387353717, 0.6223441860754754, 0.0085498461971524, -0.7830278337139998, 0.22951099649551643, 1.3029869527056384, 0.2590763364258107, 0.6271826517372455, -0.17121610137392465, 0.5615587410267345, 0.16580700084943345, -0.6811893488406415, 0.24343394685428885, 0.7362502028763768, 0.4125315226435502, 0.7580850902547537, -0.07029828376476459, 0.4012554664569605, -0.5530335883253569, 0.15003536861111913, 0.878953686611825, 0.18928215400557874, -1.207675371491908, -0.2984234674793542, -0.5430142889702708, -0.3359744228533187, 0.15898266516600817, 0.11009824038909773, 0.4362034335549897, 0.5900109648469014, -0.05323882552874269, 0.3531787539001458, 0.2268303286152298, -0.7125243899334432, 0.28981618272340953, -0.07515722752273349, 0.038859913632617434, -0.4044587477723276, 0.07424782661319912, -0.14697975338219602, 0.0911081106356106, -0.2880489618107719, 0.1707681708183029, -0.8669231004512571, -0.23321560812622985, 0.29547992471496065, -0.4414745516005292, -0.03394863226322151, 0.0685444267952093, -0.3138918278069762, -0.25136241572647705, -0.36916423126550857, -0.3168116719008823, 0.37819853120351893, 0.21729032834615483]","[1.4434824198139844, 0.8103271785250133, 1.2634822402822277, 0.7068431675509329, -0.00895782546977111, 0.9643136948926729, -0.22413864250213544, -1.1371811266063623, -0.11318683449308596, 1.5924527698940598, -0.453733286553421, 0.1844177470486956, -0.48471428173568565, -0.22160192098000617, -0.06960630669357713, -0.4256965462154264, -0.8319792483480614, 0.2812705538069861, -0.33736833225369656, -0.17940039839724767, -0.1781670294762632, -0.11882436493677219, 0.38150186605242487, 0.12502418749003025, 1.0511103074164219, 0.12187916928810555, 0.08326753883909624, 0.2640619716939225, 0.6122839877516598, 0.04123255192868183, -0.4920381589151335, 0.3036953153036781, -0.3788592637583189, -0.1132939515687183, 0.017071770299311388, -0.28756399807346855, 0.10317786200269599, 0.5074813913216382, 0.8521017079121378, -0.01928830035919073, -0.18540067733607357, -0.4113480881006818, 0.13188154255408022, -0.20019857422294282, 0.20666392014726986, -0.0317052526133685, 1.0438075337466803, 0.04119828787160225, -0.2452546885739161, -0.2509556155560484, -0.1724234782983399, 0.8113200413028049, 0.04254089573986232, 0.051999906438276594, 0.22710696970966798, 0.22640172056341776, -0.3686273423876039, -0.09803066782847773, -0.42231810449608065, 0.05857411184296531, -0.484971075500715, -0.6363228380050062, -0.14873786456415095, 0.007469080521842195]"
"[1.9944392955730483, 0.30845877187566473, 1.6318341452565948, 0.4406186185939917, 1.9815974177863906, 0.08564162472418688, 1.0798512297607032, 0.0797653902228007, -0.3341350888334742, -0.30227525858425364, 0.6127703215029834, -0.025636919098554065, 0.10136201924887607, -0.8686559440636499, -0.6847089644948162, -0.31276332155030695, 1.4100470947013297, -0.7631775269146691, -0.6017949085635425, 0.024248058803863375, 0.33638064023952713, -0.45699692761921934, 1.1672054743101181, -0.9174822137905, -0.12361529573690086, 0.6563850602819327, 1.4409177465971486, -0.6977716404744825, 0.33206057049556337, 0.011863571345162706, -1.7137974631995707, -0.09151591925017218, -0.08361984518336436, 0.18262528388718524, -0.032847843797567396, -0.5101984308075491, -1.3720136658746709, 0.630059630237703, 0.09933639162744921, 0.9922646711916643, -0.4811064504785346, 0.21229513670247885, -0.148323747831948, -0.04125332002119271, 0.15504283031512625, -0.5031425489931731, 0.09678360158084329, -0.11654228529110403, 0.5180156497825139, -0.30603715260185144, -0.7622233405771278, -0.28259282404498653, -0.04093581977102023, 0.9595182430064537, 0.2040759077884248, -0.5629204909202671, -0.03473900925606858, -0.045558786137046454, 1.5769889660138436, -0.7841336655515475, -0.16329333496114426, 0.3364271490893051, -0.149169465356968, -0.443547203134765]","[1.090270037196236, -0.3276111620481592, 1.469707633779975, 0.7633180319885933, 2.0382139758178597, 1.2831524460529773, 0.32815494487753305, -1.038351758823732, 0.06424211862389077, -1.1385868199801286, 0.6925180140036986, -0.9243392348152454, 1.2794769147937237, 0.10275487502381782, 0.2898194170056748, 0.0008393173210902723, 0.4723687889964227, 0.00995512021005759, -0.38246669182538645, 0.08661750096998318, -0.5276320925485293, 0.28799078762930275, -0.15531727529452521, -0.23894486086918593, -0.12317817646581851, 0.1757382205805732, 0.856476391459854, -1.191085508606171, -0.3504938419037459, -0.21006957997377648, -0.49000447852365714, 0.26137688166898165, 0.1602377829572629, -0.43423997832642763, 0.3529060166546763, 0.352874481280966, -0.06308347708414959, -0.14213361416936726, -0.11782969930043885, 0.025282122147133382, 0.38374541235692156, -0.030351721356372367, 0.24749021528768383, 0.33704334152808973, -0.01388881004991824, -0.4460495011047662, 0.0749936865010268, -0.1004102352224805, 0.01956156908509877, 0.14133826166146102, 0.0962268154737101, 0.48247544717039476, 0.24202437033255964, -0.10516904857355847, 0.16125567950486955, -0.03544245486098081, -0.033267226827359254, -0.2205561639643441, 0.10087575276230458, 0.06090190575794249, 0.21701466067873348, 0.427448724559872, 0.28691633385110277, 0.3982196783372084]"
"[-2.2620987036471347, -1.1415291134122578, -3.1607911265235407, -1.1666698165213805, -1.2587675586678189, -0.33490659585387733, 0.016120785557278434, -1.7211215156365414, -2.520581652181199, -1.1961473422663171, 0.7062570766938646, -1.892667246013105, -1.0812427368091935, -0.5677530476865628, -0.5219610579407606, 1.7134952675663866, -0.619860098930328, -0.22976203384175536, -0.5146863394630912, 0.15411003835594422, 0.09760681338718069, 0.5157028711281768, 0.571044547771454, -0.05461657917926065, 0.16711776385450647, 0.08496950930132259, -0.18856618548209117, -0.09304876362786335, 0.19006423028299535, 0.6487074684343698, 0.15804354140814153, -0.6928330048632052, -0.16950464525202352, -1.722177393621692, -1.1740924553102503, 0.4297976980540707, -0.05136120699749034, -0.15628192198044133, -0.6073607635388654, 0.23918193021836134, -0.3783850577134348, -0.7233825938779277, 0.29061579064570625, -0.4997106908763369, -1.2512063971999854, -0.43551131610642824, 0.4024253450655967, -1.5819713793103896, 1.2242508498632385, -0.41098992109424326, 0.15402637137874606, -0.9666556551344391, -0.4940174716374724, 0.28053708201616373, -0.32629827509099685, -0.023897224454820638, 1.3668339587333442, -0.7088948876939412, 0.11516518655365905, -0.270406460473594, 0.18639288687703293, -0.06242788983400211, -0.41501621403633665, 0.22622514090760937]","[1.8843440937125027, -3.19777133615435, -0.08296170873653064, -0.057400258663600004, -0.23886845074254784, -0.1571628839926659, -0.6478002788239795, 0.3126233944415883, 0.16237999349044965, -0.3067773961251693, 0.5325437898862577, -0.436404665570096, -0.159474605117427, -0.3049376306216602, 0.42586043783325556, 0.282221123642247, -0.4354347709135292, -0.14344233197226103, 1.393320586623805, 0.23830997463026327, -0.007404975430961713, -0.05061871453569987, 0.4022463685116694, 0.3528510378122468, -0.022183580151056276, -0.9877390024329746, -0.3230877849978249, 0.27159758829297703, -0.4868612021364279, 0.3344890557272455, 0.5855184536832546, -0.029939615530706773, -0.05454458575316248, -0.15114327451664736, -0.49183640404289175, -0.5261209400749041, 0.7929568403301401, -0.39520337723444027, 0.004792040300907967, 1.239048328299212, -0.6139589709932627, 0.08330536464598993, 0.3050819099598138, -1.3194836040250952, 0.6947582566588043, -0.4357998836872414, -0.005786096232797501, 0.06829623080251052, 0.1769902091287837, -0.7999629990480018, -0.5486916527700911, -0.1260607333413114, 0.07546053302639844, 0.2541787868751084, 0.7098105262731641, 0.24991356905869197, -0.3009695828629028, -1.0516075662074595, 0.24357882317304458, -0.5670520999776341, 0.22795565123161335, -0.46461182953029084, -0.04942262677544898, 0.30073164101510513]"
"[0.884660363157059, -3.8031431458614664, 1.9979547416657641, 1.127870575588692, 1.3443874989828821, -2.3613607661634033, -0.806652186800965, -0.35414921446847797, -0.05105713340650754, -1.9111905718796953, 0.5694590251534939, 0.23053922928983994, 0.01461916532576091, -0.23628560158865705, -1.2121116065048223, -1.3107087266299922, 1.1877771098627061, -0.13237867339701193, 0.8854537211585168, 0.7617182705364127, 0.32503272911003855, 0.8476339892632849, 0.4312036058511313, -1.401525455887639, 0.13185643204111308, -0.43672978608822627, -0.3924358663722408, -0.7374526261586769, -0.8573470396657294, -1.3782067305589352, 0.474769498078444, 1.3942967236270063, -0.8095526975912762, 0.41436769779607757, 0.6260039182941306, -0.6142423564453521, -0.870609079242484, -1.9892608672351735, -0.5320670387473395, 1.3938201232757836, 0.10509712901024455, -0.26221783956545275, 0.5319197065861221, 0.47637696533407703, -0.5784872704900782, -0.4508862626615448, 0.8083098926753719, 0.7204802399205351, 0.44977625533460086, 0.677634578694526, 0.1166292208662221, 0.0971353631511588, 0.08106454863887987, -0.17452206829744274, 0.43856990016835806, 0.012309953425702914, -0.09170934399431008, -0.30436127654852363, -0.312115444169726, -0.2833806339863979, -0.14002135062199267, 0.1960781113162558, 0.474246583488485, 0.01676603918669163]","[2.2906577784840154, 0.6644938504615603, 0.47864893288695964, -0.6665225354361266, -1.3724282971467652, 0.27689986234248615, -0.05060889661920022, 0.4603731564358605, -0.44254762880360055, -0.1979325619808887, -0.4743117825700987, 0.40638741529244354, 0.36666348015561484, 0.2502446488721461, -0.2406382373906845, 0.15185160407074363, 0.7767558764709552, -0.24940087163909178, -0.4258613532752025, 0.3022387375750898, 0.20164409736486372, -0.146419926494835, -0.5347056633018806, -0.4748018142523139, -0.10727903629028719, -0.22911260938244843, -0.053410159584155334, 0.5742717307487765, 0.12058094052865735, -0.4359343384590598, -0.07094720072124663, -0.2501434285665498, -0.12122095506336092, 0.5496107417187396, 0.17202327272912482, -0.17873485704059075, -0.7621547536525461, 0.31919916606027376, -0.4300662497606957, 0.1706378595049745, 0.3609654838183073, -0.1422839678309463, -0.0662684227889168, 0.2140519847258437, 0.4952349406222396, 0.052700888615484415, -0.42064156460057, 0.022760446509373134, 0.4651574411763033, -0.45588224665057187, 0.18573698676930495, -0.030773799895333985, 0.2369831629442631, -0.15047865034018484, -0.12953563904805496, 0.2449847133809973, 0.3865137076001911, -0.3376729054509897, 0.10628798296436606, 0.10137472412764767, 0.21299976159300923, -0.8301594188791258, 0.2863562297287277, 0.4190710338750316]"
"[-1.3556766531427349, -0.5167684202088383, 2.113949387018221, 1.6658094178583822, 1.1579665195170465, -0.0444376145012527, -0.09040567307144762, 1.149395049643252, -0.27433982894344605, 0.11887066868133286, -0.4954764369382388, 0.8115923636165677, -0.6909815062650106, 0.04645024076572178, -1.0082400697191842, -0.4067713199901197, 0.18813682262282364, -0.4947260460824743, 0.5274873151643955, 1.8160545368273757, 1.258564655044169, 0.4913668316385986, -1.2265934516286958, 0.03292010819334984, -0.07949320914409372, -0.3375963904851381, -0.7558018159375892, 1.097747393190989, 1.4118897588989268, -0.20999903915609006, 0.5774012487122235, 0.7095540405056218, 0.7532191912757189, 0.08330618200780938, -0.24800785712654932, -0.2157211719965716, 0.11912859740192915, -0.9518975502821535, 0.08169170088549985, -1.2234766550069607, -1.0760000622730979, -0.16198888243817222, 0.37272478919349267, -0.3838742375142637, -0.3269420173895793, -0.5288631298852634, -0.39575774916859546, -0.5981942743915641, 0.33544707731633666, -1.2123953501656233, 0.12531578236448063, 0.27258629708630056, -0.46607616235449467, -0.358507019712508, 0.08220321371765449, 0.03378361612686779, -0.3503803026196068, -0.6928235385570201, -0.03956443819970885, 0.18155240631291286, -0.14000034896608157, 0.31427523041590627, 0.6043881699319142, -0.28989106002251236]","[-2.33181741660116, -0.44457883938424597, -0.3720814650088447, -0.5935727006051752, -0.5578129383125271, 0.4079395144837129, -0.20122047339378524, 0.3244506417036195, -0.3610391390201894, -1.1579040031147125, 1.173764556282278, -0.6417124822571542, 0.7291660544745558, -0.3952371717329954, -0.5234712101849869, -0.9231763100168271, 1.3078345049854228, -0.40387948990401146, -0.13595821651887555, -1.430080599539187, 0.44334146727672513, -0.6876687172865311, 0.6207930378703354, -0.7250982915077461, 0.18539626669285292, -0.20060944365909245, 0.5044834204385185, 0.9462327079513144, -0.48441596460390524, 0.24796231376751532, -0.08883408908848249, 0.22978501317541558, -0.7488591187243467, 0.03831556784365979, -0.30370815848347865, 0.7564132057897454, -0.417725293155956, -0.3328094914908893, -0.20983016952895248, -0.37099245503100725, -0.15575557617931132, -0.5945158518135469, -0.8178567266143358, -0.40921046174025827, -0.34656501953989294, 0.1410212037300072, 0.4628859763238602, 0.5321425241998029, -0.7852035657951987, 0.3943845475623672, -0.1598765681603589, -0.12532922488001264, 0.30760618673981804, 0.4875117829045517, -0.0775740917346341, -0.336403880321821, 0.2885603885334537, 0.37460899342135795, -0.046431607592958536, -0.8356148985906683, -1.6193177167711705, -0.12092648646570094, 0.2774546145130101, -0.4808061072603175]"
"[3.202002159679027, 0.7883959958220865, -0.4725601745939693, 0.932187379576424, -1.2163824784596309, -2.5718108800477606, 0.9067570295885218, -1.26072019376015, -1.0214204312985335, -1.3966932312258222, 0.003084769010776836, -1.4328742882439434, -0.8796174798440421, -0.10269024828305452, -0.5203657693862807, -1.0171178522701658, 0.8870091027677588, 0.10779381403432775, -0.06929252296545886, 0.06333472316881311, 1.1825171101417975, -0.597956797011969, 0.13523694147863052, -0.058403965176032344, -0.3444274333757946, 0.16515369359537427, 1.1619456910011063, 0.6624597238760302, 0.6142568261796365, 0.4677540000972446, -0.4536601597143302, 0.6271784233203296, 0.17912709428417256, -0.43228693329501433, 0.22091167084865773, -0.15205736872114037, -0.5161355909255667, 0.13998594694204922, -1.2319773661627944, 0.48612372624178773, -0.38936721442002326, -0.27682857769464975, 1.1639162691859182, -0.21156756667960397, -0.31805078110018087, 0.40344375262736826, 0.26992764550458354, 0.3629583506269728, -0.3143056435528354, 0.01880537188292472, 0.15616471016084188, 0.33377564313127434, 0.19658018729812704, -0.2306278259753217, 0.24376143489957158, 0.41811015962177506, 0.14372127946647803, -0.013886036320388321, 0.20055986083144495, -0.061095001047470524, 0.3617377496842059, -0.33401592252606727, -0.711746722952612, -0.16564584885775818]","[0.5094990602440261, -1.9539765808536624, 0.8628935670844556, 0.06721554808898814, 0.9032978007696676, 0.42172249795572714, 0.8351153842143654, 0.4711885760334854, 0.2899751563254062, 0.8867989649184169, 0.09360344062884093, -0.6534599715257944, 0.3582478793906268, 0.023162333059198164, -0.24620814674062955, 0.4794535187671582, -0.2923215376843179, 0.6685076996358243, 0.570900203745611, 0.5408652391640604, -0.4254853744646661, -0.7707396018638383, 0.6084620688247077, -0.7622303928724503, -1.1424857967471973, 0.36977545365358133, -0.16244012545013148, -0.5408435372761243, 0.6756820617426841, -0.12287968742964414, -0.504736753312619, 0.25532700917328055, -0.7447776674980463, 0.3593303473506316, -0.5048889530655389, -0.5744740860812274, -0.23875502729596623, 0.4476164390253143, 0.017352296992101106, 0.6111428629588586, 0.06780777957379616, -0.051192256185162016, -0.39389095005137603, -0.17314804011834453, -0.5302945910229739, 0.4647825331420539, -0.5248512635950447, -0.25589317865341377, -0.012002083719772674, 0.5298356407057354, -0.08578104038004487, 0.1799389322885633, 0.555554030248279, 0.8106956347472672, -0.039287673812523925, 0.5993704276356955, -0.3354392224600844, -0.48684772587288294, -0.3432126560346615, 0.2558602257084058, 0.6058326072011891, 0.5224603621216061, -0.7914514368334026, -0.13832731503500934]"
