image_embedding,caption_embedding
"[-0.20716766792432134, -3.063261223030438, 2.7042488938167386, -0.82443477646506, -0.5600855243573795, -0.03206744423230488, 0.2460265274641005, 0.5595469621093772, -2.165044511697039, -0.512570639728389, 0.5375291644801189, -0.5268583105762598, -0.1747665824818097, 1.4849328277939249, -0.2779385346436634, -0.9367634012430743, -1.0425501133963615, 0.4785398263845786, -0.5462326014358666, -0.1625930827726501, -0.14110375048974513, 0.17204218129283955, 0.15480519216360894, 0.07186975943471466, -0.8747456414468276, -0.36761792060240683, -0.5354238257298345, 1.0752837576906957, 0.42076992211198466, 0.5133020697484985, -0.620171124590809, 0.25235643745510106, 0.25445929655496985, 0.4824874021249223, 0.08776520125395325, 1.4057585294693766, 0.6199486092398468, 0.4034265046282041, -0.13303281438910777, -0.03136560175039312]","[-2.499561397340456, 0.07513064956890732, -1.7431934319446332, -0.6400170112262245, -0.8907665681815717, 0.6888850572474994, 0.2972629531639003, -1.2233081307867253, -1.2426736168673775, -0.5742401934899913, -0.02681380168951151, -0.11584968033192887, 0.9047869065352669, -0.7989566143630957, -0.25976486596591747, 0.2207544425992097, 0.7655343227682838, 1.4829269725056275, 0.5580788453661382, -0.31533008518122324, -0.1410020514941754, -0.5049016298681251, -0.42475521916513315, 0.11213915228844541, 0.3127046155380941, 1.4614957834363624, 0.2320474464218253, -0.529247736622013, -0.23678420651909732, -0.15680878379998792, 0.07183251725111449, -0.6039658179102905, 0.5075572639580929, 0.4648443269387925, 0.1498136456430991, -0.38233066702398744, 0.2236204561407038, -0.9210134878146691, 0.7073393642964267, 0.16941885484935557]"
"[1.5052851738937907, 1.2004748631760593, -0.3626193366593191, -0.05066892644874506, 1.6951417961861985, 2.7864880373737173, 1.6350517263193056, 0.5518607654182031, -0.2323640604706632, -0.6479501215409983, 0.11037765351795692, 0.8602143802369483, 0.16703334381082427, -1.017523863281539, -2.1938221910057187, 0.7382808102238045, -0.8008761075883234, -0.32783797027492195, 0.6146156415262383, -0.8056992631691849, -1.067796780107732, -0.45743177948649977, 1.4779528295074733, 0.5430481769324573, -0.7829619412943363, -0.044073916903637274, -0.22509359782589627, 0.080476914975789, -0.17137138547580774, -0.6775349824911023, -0.5080253449917767, 0.8200000469080333, -0.07419765711321782, 0.9954018798155535, -0.9393225204078031, 0.22794379722626293, 0.5669607773862149, -0.6097365968274211, 0.08398087351059809, -0.9614828041004678]","[-0.95559583335655, -1.1391729726001256, -0.06865373431710084, 1.1492847830872142, 1.4399388655961158, 0.8797748987362085, 0.4071300548013435, -0.4802811121275312, -1.3445097713174328, -0.5482794438697922, 1.0079850688735041, 0.4297462710207635, -1.6268343249785853, -0.3129320004671771, 0.5567177730148972, -0.09236972797182977, -0.08328695569453831, -0.8474980718733098, -0.4958677511605387, 0.02930795416528679, 0.21811586350468337, 0.5167509111751953, -0.3078101867966339, -0.02680154959977005, 0.3156679883772477, -0.2474386969312973, -0.5603370655163802, -0.14823947219800715, -0.7123618919145146, -0.2027424875160724, 0.40888298535405565, -0.42907390991874933, -0.09208866783665061, 0.12333734003861206, -0.19404754859868573, -0.4519876812954305, -0.08561812612714945, 1.0524353171515013, -0.5148185250797568, -0.05260170417523934]"
"[0.2802159400960633, -1.8318525640274699, 3.217903056163111, -0.5976800999649224, -1.270635221033853, 1.074624763266018, 0.1485032280054642, -0.3708396282813371, -2.0346653483356323, -0.7425396292106696, 1.3962273720929028, 0.766125226827562, -0.39632547474246166, -0.4535336168810624, 0.06692076212265619, -1.1383518598705535, 0.9607124058920118, 0.18868769970996851, 0.5125037065036271, 0.6360418957044265, -1.064482058767121, 1.0178333850399324, 0.25455509275957344, 0.8478710105004249, 0.5355951930050449, 0.2618676168925434, 0.7785358188413173, -0.19320550063091724, -0.7180447059218606, -0.4645348592663785, -0.005655392383503995, -0.8366427104080623, 0.19477344237988198, -0.20225679382396938, 0.003629442182482344, -0.5080797662774622, -0.0393224544676345, 0.9320942225369551, -0.4377460335549985, 1.0880340530560038]","[-1.9408619306008994, -0.6630843665301005, -0.28242673347196257, -0.3378530251079991, 0.22263615247926657, -0.1927472220959272, 0.5938335879123483, -1.0370202013747918, -0.7515571594273488, -0.30231483129213754, -1.0676788499198504, -0.15109074789045931, -0.19814372791255822, -0.5306788000849845, -0.8866041107211547, -0.46665100252178066, -0.8118970998468501, -0.10999865880077475, -0.24605567980129997, 0.4171418515688979, -0.31767034888531115, -0.28846944416587983, 0.29343717070008646, 0.3580752732441772, 0.23231374552712863, -1.0447065950865242, 0.08916101234976252, -0.28707364221118675, 0.5628825371989163, -0.48103060133251285, 0.3849481767946552, 0.8358001704053059, 0.2512599962340597, -0.17434628097796084, -0.42830719470822126, 0.5772596982709634, -0.5962707317459122, 0.13284334682907742, -0.9579596682620843, -0.3165501329683102]"
"[-0.15251861665368516, -2.28407224875672, 0.26749601882696455, -2.290859148658073, -0.8500368930922035, -0.33538292639530526, 1.4570769243074173, -1.0288709516167798, 0.4301990095635094, 0.0019017791784297167, -0.22037547932285537, -1.29663635535153, -0.7126370196738635, 1.20217399092604, 0.474895652972174, 0.3009090453841236, -0.3545828823694437, 0.7466248121499697, 0.09914564897658118, -1.6261397668436297, -0.44555957164453275, -0.0297891336540104, -0.1306172351975937, -0.7083686148933055, 1.49876699936412, -0.9207850317094775, 0.25313499446332016, -0.4795076276401532, 0.4052670361694775, -0.2623416322293635, -0.33995686965429633, 0.6558799189999468, -0.5830252491452066, 0.616764470904193, -0.869379407336738, -0.6385695259041025, -0.8114269709721269, 0.31186342995311206, -1.1810400479630259, 0.7441403571459573]","[-1.7456331791120636, -0.6971085184312054, -0.6558163132070147, 0.31854019705743924, -0.7709959378984594, -0.19529916815332277, 1.054734988612961, -0.9683135960731062, 0.9444455857176315, 0.36893950520501284, -0.6395674688085029, 0.38406974966770874, 0.5146765785635844, -0.2958582734333315, 0.5959103761186809, -0.026232532800669967, 0.26325536317969095, -0.49896278865851723, 1.1282524413298576, 0.13200756248928702, -0.4088066953841143, 0.21833550006783414, 0.09048528821047422, -0.023520063019861478, -1.4712426659907456, -0.2909684728024807, 0.3077405951222008, 0.4659724913312386, 0.858769234961456, 0.15591245798865458, -0.6279062673246382, -0.5278774403048535, 0.34866921169965, -0.46297419386612043, -0.05424281915610127, -0.3900906164169593, -0.22591404884598293, -0.41079301042983024, -0.13974889641552576, -0.7113886822081212]"
"[2.722180923418206, -0.823323487085304, 3.8419152992505627, -0.005692158256719637, -1.3899398686006599, -0.10041546170289187, 0.8044079584430365, -1.659325187187663, 0.5572554701508572, 1.941600677009165, 0.6226426546115422, 0.008736042550397815, -0.781389997119355, 0.22651056691530075, 1.304387257690127, 0.252193381849111, 0.6254915850747079, -0.16730860053530158, 0.5594016224680529, 0.27390536761533113, -0.6693144241447614, 0.2508033422610094, 0.7246201625716369, 0.5152736905237125, 0.7470381295704343, -0.1202459564072642, 0.3640503938146869, -0.6787046483582517, 0.13999471379047673, 0.7304509911857273, 0.2840048871403848, -1.2425223393009377, -0.1356659411315052, -0.423463649294929, 0.17526606937212091, 0.1623840164487167, 0.4551288005410325, 0.41093451899616645, 0.49107679917424624, -0.46502867455456753]","[1.4434824630545613, 0.8103282609378697, 1.2633499683736722, 0.7072090678768668, -0.008340617539484809, 0.963968813990189, -0.2235678354876244, -1.1360274404375243, -0.11286784166194556, 1.5965629792383969, -0.4495536232590365, 0.19185293956997593, -0.48386432832517207, -0.21529371744424214, -0.07660199252569207, -0.40411234913435135, -0.8551339241512999, 0.25412081565164646, -0.3333477282818445, -0.19159208906494804, -0.19902744540440695, -0.11020957006382848, 0.4888820438977682, 0.073364473952113, 0.9726760437229488, -0.3308248930317994, -0.04051655105709734, 0.27506385750685425, 0.7317627519456139, 0.25299604966330874, 0.5130476441711996, -0.2518571123638084, 0.6486539930539401, 0.2712693703106639, -0.27948202573937225, 0.09985846684508826, -0.119180384973383, -0.12107769411976718, -0.2326557536309818, -0.16942955297013487]"
"[1.9944370660369166, 0.3084609265889961, 1.631823387049691, 0.4406871262337658, 1.9816022827680002, 0.08555944156184558, 1.0801068206636977, 0.0798008577329715, -0.3344691443133648, -0.30297130309613485, 0.613882500061644, -0.02711362471410147, 0.09879763306294144, -0.8700454064210673, -0.6745372675745696, -0.31255803871928034, 1.4111887268216539, -0.7410779725117547, -0.589264109267262, -0.045786858012432353, 0.34244778199758047, -0.4243507133724474, 1.2529489947727732, -0.788606361728919, -0.11575156546024992, 0.6312395110420514, 1.4354899880251906, -0.6962496683076274, 0.3734724264204058, 0.08074112047437508, -1.6516541804198583, -0.2511437267263352, -0.23514756434462084, 0.17302071476416786, -0.32666897431790626, -0.09813123078811184, -1.5179513044132733, 0.8464047045499148, 0.5578738929479308, 0.1649507804870446]","[1.0902701029045758, -0.32760998109226247, 1.469762579095373, 0.7631931615820063, 2.0381076187558493, 1.2825905991799318, 0.327810790102856, -1.0380680883303282, 0.06492012053602356, -1.1390719223367973, 0.691107484112025, -0.9211623909598461, 1.2716334590459062, 0.10243592772278588, 0.29480224013352313, -0.009743265901893968, 0.4772539169841487, 0.02721071199532021, -0.3840943008778772, 0.06140218910042541, -0.5552599962111359, 0.3228801761594146, -0.22957881239568612, -0.1842955621120019, -0.13863865429808203, -0.18578158320767782, 0.8158415904273401, -1.1278227549427013, -0.33164712787248457, -0.1945358829632536, 0.5466954215345149, 0.137768395751472, -0.07389656612576335, 0.47942107370898723, 0.3179501764220799, 0.2718072297029886, 0.09552938869967852, -0.04103135797010314, 0.3814517481966666, -0.032608476020093966]"
"[-2.2621019363534303, -1.141524812223342, -3.160795694016699, -1.1664142051450845, -1.2586918963954816, -0.3352370930009195, 0.015445805565122329, -1.7210774656432692, -2.520003972371421, -1.1971204563338123, 0.7076367415734861, -1.8939572814828425, -1.0838932965129948, -0.5678361382554018, -0.5100258103451264, 1.6948728912623763, -0.6167119606003981, -0.21696175645265053, -0.518295452598335, 0.11673551789432005, 0.09818888552806114, 0.5034548516760327, 0.6277752346599971, 0.027515082016473916, 0.1101870271615708, 0.0985378784380017, -0.2001767841982717, -0.32371418215912734, 0.1947445603001643, 0.5049630892819469, 0.2811537570139837, -0.8939287653944492, 0.07746427195657311, -1.273229235127782, 0.7764105764553207, 1.0347659493695287, 0.14976079303427284, -0.30394844143406985, -0.5509200414448792, 0.1483588713607922]","[1.8843439573879697, -3.197792646814987, -0.08324385754537901, -0.05704648536252069, -0.2385452034945993, -0.15805174627692545, -0.647718357986035, 0.3117719347173455, 0.16641795126653466, -0.30413233418110563, 0.5330278372770638, -0.44151139057013683, -0.15344631795153918, -0.29698196326952164, 0.4452465772171475, 0.2933825628796306, -0.43604502455049, -0.1429684783934106, 1.4046698522717627, 0.25655934841579603, 0.024170156723737724, -0.03059904018179583, 0.5908215389724075, 0.2352371841577946, 0.18543831243860837, 0.9629141865869862, -0.38972093700881466, 0.09476970901319978, -0.5005100315173001, 0.14739954971104408, -0.6169449472823254, -0.1351058246807322, -0.1796488264833439, 0.1435321581720284, -0.35853915319905005, -0.7341552413344051, 0.3958465507500374, -0.7809628529081787, -0.962676282299927, 0.9619733834223123]"
"[0.8846654077822009, -3.8031493457544063, 1.9979259891941452, 1.127822832147174, 1.3445802002111897, -2.361212813600684, -0.806138799719718, -0.35443380487301984, -0.05234074525535361, -1.9118797827433751, 0.5704493513132597, 0.22647151701036253, 0.01766048611714295, -0.23330449663750094, -1.2212008709309017, -1.296469631292298, 1.1830007103140436, -0.12447110840977965, 0.9019166079307638, 0.7457736993944145, 0.5016422640751915, 0.8434506494250466, 0.4944177318493485, -1.3822938623720422, 0.17097240686210968, -0.39099300855114166, -0.39361286329217055, -0.540004674907852, -0.8485583088504475, -1.2201759997921593, 0.44392382341235037, 1.210414286117128, -0.9235380582455219, 0.20407009875995272, -0.18292406905627023, -0.36404614579318934, -1.6601688264695806, -1.8064700702224377, 0.3719873218364348, 0.10148021408909799]","[2.290657702108716, 0.6644843925624422, 0.4784834683820568, -0.6670006113141431, -1.3727178960625288, 0.2765834415687066, -0.051000081347765805, 0.4594239556284552, -0.4418479416968196, -0.20052043231501532, -0.471281581641978, 0.40432790894416415, 0.3595228381756412, 0.257801535957149, -0.20791039754910567, 0.12604462166856567, 0.7725924691896725, -0.2540923715462565, -0.3951772375704063, 0.33175861569206394, 0.20547839508748786, -0.118176523356382, -0.5609010109269238, -0.4840489299552618, -0.03816838120020251, 0.20994750418856808, -0.15247434883816732, 0.4462773978641521, 0.12537343568264284, -0.30997018621184896, -0.013336129025981623, 0.36099537535700954, -0.2781511852323266, -0.521432591723087, 0.3459535664171152, -0.1896961272691409, -0.6401845836708168, 0.11135846504857122, -0.11361099550036267, -0.49461391480347044]"
"[-1.3556789386861237, -0.5167714084053209, 2.1139286485405457, 1.6657721786601178, 1.1579252073708568, -0.04442678747691345, -0.09040851537313527, 1.1497609829550786, -0.27512934059480965, 0.11993665992997074, -0.4932071090551808, 0.8110276659042998, -0.6921451036439776, 0.040694866940886525, -1.0027533253977292, -0.40355447173644826, 0.19001482077333182, -0.48367097320368085, 0.5346792872626416, 1.6070618351520076, 1.5328660175209903, 0.483962299439456, -1.310143124036557, -0.10738831748913509, -0.018785570936910453, -0.3420858666269715, -0.8318361476194481, 1.0847722989895128, 1.3119910363395615, -0.059668483165004324, 0.6930791814578784, 0.691098209218871, 0.9966493841717972, 0.15006317892533796, -0.27102849963269454, 0.6694040835468891, -0.09008355319371567, -0.49659639842854486, -0.45909109171008183, 0.17532878822713335]","[-2.3318174493746278, -0.4445735935626734, -0.3721561877625533, -0.5940057629511365, -0.5583510994592633, 0.40808419380925165, -0.20027962475268984, 0.32246929891147064, -0.3606931031993151, -1.158839275866056, 1.175274712523533, -0.6393487653468313, 0.7308216622298225, -0.3878084613335547, -0.5199398351136966, -0.9680855251382302, 1.2889102402087673, -0.41924463783322413, -0.11034585936446499, -1.4118279490448387, 0.39687064618456835, -0.7089663585000984, 0.5201209141967436, -0.8951282093259647, 0.2684716322062939, 0.18507625183161916, 0.4081009981817502, 0.843786995560647, -0.652735913546146, 0.15537365567820968, 0.17336539833284437, -0.06351537616116958, 0.6818972264598289, -0.19821495394980984, -0.41100116308730406, 0.8303025932644539, -0.266800983289196, 0.23904958692065567, 0.5056083172161551, 0.3929597431166927]"
"[3.202004217266838, 0.7883912451181226, -0.47253943116452873, 0.9322947002501432, -1.216416447184865, -2.571789497441041, 0.9066806793290013, -1.261032987547395, -1.0221976804820105, -1.3975015733758098, 0.0036581941331374256, -1.4319850285718028, -0.8810438068929484, -0.10613558513903974, -0.5124448969447062, -1.008983513793146, 0.8988539843130722, 0.12453636232272813, -0.07868165958123602, -0.15090612445376778, 1.1577222762392458, -0.5868481558500724, 0.1443354775269657, -0.07247371603258888, -0.3598613657604105, 0.13862152082248347, 1.2065175240932822, 0.5056558402937849, 0.5739382299898336, 0.4445130078149396, -0.4576704439644373, 0.6632248072446275, 0.07768362053172656, -0.5017207619687295, 0.01309167853579163, 0.1318590259324596, -0.5605853402139619, -0.06903285325342323, -0.8962119971928373, 0.989032897674269]","[0.5094989891263959, -1.9539742820787, 0.862763611872299, 0.06686562027781436, 0.9033879874493124, 0.42192550407642493, 0.8348249257174393, 0.4687525446443088, 0.29015558896903715, 0.8864326940863092, 0.09294696554086693, -0.6639715940366024, 0.372192026706941, 0.021273971200517505, -0.24911271090332443, 0.484865590939143, -0.294854899926771, 0.6663706797494169, 0.5825797177020969, 0.5356217894331767, -0.41155919932682933, -0.8092818805736521, 0.48453626215450085, -0.9480393583804433, -1.3103849627175308, -0.00954955349708721, -0.19817626524058843, -0.7101582118982628, 0.6297302727025295, 0.1489407410023623, 0.40550251456878583, 0.010752481805106797, 0.3186078369405003, -0.40010754893174666, -0.49748420862405507, -0.5442936577490061, -0.31044006344479175, -0.20584659367346614, -0.46303313656003386, -0.3828010464866093]"
