image_embedding,caption_embedding
"[-0.2071724554321909, -3.0632511720067734, 2.704248654793423, -0.8243947694959722, -0.560210716897737, -0.03206815514162982, 0.24602464013293862, 0.559770979495358, -2.1635948341749938, -0.5123580547259053, 0.5344593340020285, -0.5240894139542175, -0.17900847566706188, 1.5019329935622143, -0.2653206561176693, -0.8559540148350157]","[-2.4995614319246156, 0.07512825598867343, -1.7433859806112941, -0.6400568633272605, -0.8906355874236505, 0.6878214922371702, 0.29649233838300176, -1.2237456543708856, -1.2400250805007076, -0.5771294366681725, -0.02024703594167057, -0.10455542004161049, 0.8852061897684048, -0.7678362790334265, -0.24859824449211287, 0.1419373487783391]"
"[1.5052833444300442, 1.2004738305710243, -0.3626068078935162, -0.05051406544434241, 1.6950074071102925, 2.786445227496604, 1.6351466413205205, 0.5512391846791107, -0.23281688624405433, -0.6451809089421323, 0.10960180176300616, 0.856663971710722, 0.17233286353682284, -1.0146086671526102, -2.194074542119649, 0.7101521048257393]","[-0.9555958305543981, -1.1391673913557956, -0.06857685051004417, 1.14912932671919, 1.4398635760601275, 0.8802567620835096, 0.40671155072228815, -0.478858513886727, -1.3460019432062431, -0.5512838233897921, 1.0131008431146917, 0.4466963432379399, -1.6384254736825947, -0.3138292340768618, 0.5289419636544559, -0.04494999527715303]"
"[0.2802241769600468, -1.831866893526273, 3.2179040437492574, -0.5976978860507864, -1.2704578740908528, 1.0748249997082233, 0.1488645018173065, -0.3717698805567538, -2.036762779228109, -0.7433526523011185, 1.3996354456945868, 0.7614065368064931, -0.39311709390698846, -0.47308385554148025, 0.04160895973948549, -1.2260391757214406]","[-1.940861938590369, -0.6630775653559289, -0.28237629629152744, -0.33771698664958355, 0.2232635505107918, -0.19272489381893293, 0.593065249931677, -1.0364106455779096, -0.7558773405118613, -0.28282599571304584, -1.0596151994983984, -0.14994884383343118, -0.14942346591776215, -0.5380635365748511, -0.8494631122271773, -0.44569987746560474]"
"[-0.15250965879792813, -2.2840853788032462, 0.267549662737663, -2.2908671885220695, -0.8504504636478695, -0.3348927075999751, 1.456790850979905, -1.0301106011741805, 0.43152636791911037, -0.006095470584921857, -0.22411064637324307, -1.2839034180316629, -0.7224438698667885, 1.2007801324471163, 0.4696125041514524, 0.46897046657815133]","[-1.7456331297557794, -0.697120947277368, -0.6556686340071424, 0.3186640830203612, -0.7712377166728147, -0.19503225512500483, 1.054136171474047, -0.9697653923003785, 0.948699453488165, 0.3588814608942062, -0.6456446272250974, 0.3670214404869302, 0.5013647694540505, -0.30283321647248934, 0.5768853028000465, -0.010182522162706962]"
"[2.7221854804999244, -0.8233284787829066, 3.841928146756482, -0.005716914507341679, -1.3898885217585821, -0.10040093502802286, 0.8046550009491653, -1.6601514845292036, 0.5563040580716903, 1.9395987820754805, 0.6232820367128241, 0.007011989540307277, -0.7779893094748542, 0.22069029884573174, 1.2863147356635023, 0.17996960688499958]","[1.4434824126475465, 0.8103292080075695, 1.263427236030981, 0.7068666228041134, -0.008799093414014709, 0.9638481918027584, -0.2239767798066458, -1.136026509246191, -0.11710179664221333, 1.6088694154195382, -0.45199981285840357, 0.18457510529411678, -0.4343569924284788, -0.24773301132187162, -0.02585763615564014, -0.3757233859263197]"
"[1.994438576379006, 0.30845739215042256, 1.6318340255938775, 0.4406046387375037, 1.9815644930377887, 0.08567196267126523, 1.0796520420979983, 0.0797300304114299, -0.3343078931954732, -0.3038864820818517, 0.6113970466053187, -0.02277042041889044, 0.09970141710663034, -0.8722610373321397, -0.6977230605456577, -0.3437600445167419]","[1.0902700444340405, -0.32761149276264584, 1.469714307549624, 0.7632136158022967, 2.0382225769429607, 1.2830183912892412, 0.3289850932345604, -1.0370880688904671, 0.06414157517168688, -1.1421648171537662, 0.6915414205582078, -0.9100336035351119, 1.2777947642360683, 0.12805646637576182, 0.32364459312157834, -0.05494922880930258]"
"[-2.262097688040334, -1.1415281039618372, -3.160793549908602, -1.1666568889971045, -1.2587377801246245, -0.3349369078343679, 0.016346206671001753, -1.721412668539348, -2.520246707264706, -1.1943745093262756, 0.7063969462389854, -1.8990100664391532, -1.0751063717817495, -0.5605235111257946, -0.5145135999865259, 1.7196136499369667]","[1.884344077872137, -3.1977714700847018, -0.0830048321694026, -0.05748835629568312, -0.2387915408076359, -0.15694934114188486, -0.6483232698331055, 0.31260899602990816, 0.16191759337732967, -0.3013216084484455, 0.5387507272090822, -0.4336384516413442, -0.1579435098877155, -0.31564850945070955, 0.4303779465946962, 0.30987611265604265]"
"[0.8846607804996429, -3.8031437840134954, 1.9979462809585655, 1.1279596239568193, 1.34465750780983, -2.361644448574912, -0.8062747493843117, -0.354455849848707, -0.05175712231880564, -1.9051314728560529, 0.572436274622874, 0.21951309202728442, 0.024274811124924998, -0.2522794609995083, -1.2185252670201467, -1.5216978399725334]","[2.290657772206415, 0.6644905371558225, 0.478719007269508, -0.666460476249685, -1.372663124045906, 0.27746483940270944, -0.05088722191352871, 0.45872947054169433, -0.4389599813493284, -0.21276785356569802, -0.48169425952648887, 0.39202858062581997, 0.330275263550449, 0.2593199856761254, -0.30287554855317783, 0.13729090537315922]"
"[-1.355678998358055, -0.5167703377007149, 2.1139430992527224, 1.665873203900081, 1.1579706754950456, -0.044522352477261606, -0.08998324405631304, 1.1492673628710994, -0.27312430466308474, 0.12497443741177414, -0.49401865399373623, 0.8024074997960684, -0.6789168196141346, 0.0536964846144088, -0.9831667767992285, -0.5269797622728569]","[-2.3318174070939213, -0.4445747548645103, -0.37205561459990655, -0.5936315776144597, -0.5578687497026331, 0.4077160021438701, -0.20111972898968627, 0.3220336327209782, -0.3611411697368625, -1.155296293255096, 1.1719818731070704, -0.6330981502904022, 0.7120826308495414, -0.43715364525992373, -0.5697826105415181, -0.8430284321023981]"
"[3.2020026583798042, 0.788395439722683, -0.4725570756643495, 0.9321703815593956, -1.2165132788228004, -2.5716239478859695, 0.9066706052160187, -1.260719475548245, -1.0207212991786172, -1.3982591237330213, 0.0015560467290917672, -1.4280364958473621, -0.8814755865905172, -0.09406988401540933, -0.5114090085184808, -0.9837320562750932]","[0.5094990433457902, -1.9539727329576546, 0.8628819941704248, 0.06700709059090877, 0.9033855446219577, 0.42174214887496214, 0.8353887287985933, 0.4721098065316423, 0.29430470541517656, 0.8797056817249329, 0.10316140241925087, -0.6464521291375301, 0.35974770483156115, 0.0724287214195604, -0.21711263468001343, 0.41289585838678927]"
