image_embedding,caption_embedding
"[-0.20716935585395957, -3.063255999814448, 2.7042532533869728, -0.8245757616712928]","[-2.4995614288143493, 0.07514011801677983, -1.7441887045426234, -0.638588267068096]"
"[1.5052667734000482, 1.2004849704405696, -0.36258862741380504, -0.04958659197193741]","[-0.9555958253604029, -1.1391498609328716, -0.06958788063952642, 1.1496411029207407]"
"[0.2802259616336878, -1.8318788312813505, 3.2179297542502123, -0.5982747108311234]","[-1.940861941803693, -0.6630766617526873, -0.28226168009153607, -0.3379845859490402]"
"[-0.1525107789907086, -2.2840767186927633, 0.2675120146792963, -2.2902103772460554]","[-1.74563312777652, -0.6971221845782725, -0.6556742756518563, 0.3200277167421028]"
"[2.722189396861384, -0.8233248399082066, 3.841897080854235, -0.005996845966169041]","[1.4434824085982016, 0.8103212085156876, 1.2641656398508392, 0.7059046839960432]"
"[1.9944349132810355, 0.3084545843419209, 1.6318701060341074, 0.44053272535328863]","[1.0902700491591102, -0.32760198911150556, 1.4690910676293212, 0.7644447036156953]"
"[-2.2621082898149356, -1.1415050134181657, -3.1608219470589227, -1.165420174884374]","[1.8843440787047556, -3.197768900548121, -0.08319600835413042, -0.05638160089823676]"
"[0.8846574370961655, -3.8031538234338753, 1.9979982402446599, 1.1277700089236506]","[2.2906577724750776, 0.6644885271645171, 0.47862012288072925, -0.6668479018836027]"
"[-1.3556824280772954, -0.5167695799030115, 2.1139602624189773, 1.6659867459252768]","[-2.3318174013602393, -0.44455586770483935, -0.37322152729895297, -0.5925931065131844]"
"[3.2019992020234316, 0.7883938416453711, -0.472536983525688, 0.93231866831501]","[0.5094990402105005, -1.9539820940329609, 0.863365017547629, 0.06667576529146012]"
"[0.5706629947102294, -2.8719191323690634, -0.0642176704542517, -0.5241650415462774]","[-1.8064693842782058, 0.11249800009064853, -0.20993197000645775, -1.0228078361765491]"
"[-1.6848486386378512, -2.656842259541482, -2.4726247564502937, 1.8981663038730763]","[-1.6799840251187985, -0.7799360468562898, -0.7362754205663782, -0.31986613047498275]"
"[-1.029800343912995, 1.994477841508999, 0.4410566502105253, -0.040228265463588056]","[-0.6353950551302748, 1.4053537105648142, 0.2565809111008491, -0.6663421368068109]"
"[-0.08971484613394476, 3.302774798788815, 1.5414422569008908, 0.9590214986262982]","[-2.082159321573955, 0.5964907426783245, 1.569541134560664, 0.14295518765510284]"
"[2.6687606794933783, -0.9465473359808715, -0.46384963408839786, -2.4027807922565723]","[1.187741822684647, -2.0276682594953623, -0.7036877666814847, 1.3746527825497632]"
"[0.13120492173705633, -2.133275333985952, 1.5359606450022392, 0.7712379241921078]","[2.619261050372843, 1.8599733197260182, -0.8833886464003899, -1.5587879405344893]"
"[-0.1447622805579922, -2.625614009574037, -3.2262176817329724, 0.40464836201128884]","[2.014680450161482, 1.336133482331126, -1.3540781420875405, 1.14299602511026]"
"[-2.642901196332199, 1.3846540414142237, 0.036097308453178156, 0.6316152334143207]","[-0.029142882785201864, 1.330523389743165, 0.5359393268815035, 1.5382737812823373]"
"[3.227807528938239, 1.054884394583373, -0.8776855269648486, -0.3008309299787394]","[1.3707985902746285, 1.8128611391381044, -1.576333010695319, 1.4547934854565079]"
"[-0.24256931532468118, -2.375691015621108, 2.08281874336047, 0.2706016213553365]","[-0.7629875518352073, 0.6170126499956501, 0.07515270805369531, 0.49271965757399877]"
"[1.4494381114608823, 0.024181684032147772, -2.3693631548141565, -0.06942265370216678]","[-0.6393034823974536, -1.0163429802822082, 0.10990487289302057, 0.49791937244017576]"
"[0.8323296608473993, 0.40895171678314024, -1.546708421912769, 0.022837609066838488]","[0.33337789842206755, -2.6133625766310375, 0.13048725373511214, 0.25748665391629855]"
"[-1.3973764100071446, 0.919477527578516, -0.513818821416578, -0.8619322778052434]","[3.22084899487184, 1.7004412041617187, 0.6791025431548642, -1.2969684040644098]"
"[0.19837204115444046, -2.583206471328669, -0.33332494748457464, -1.2796632815204971]","[0.5966192512178888, -0.7826262381805723, 0.07018122549551598, 0.09243911013996398]"
"[0.14168505114705995, -1.8353985310936112, -3.2297571366779105, 0.33642560424599544]","[-1.2377415519270794, 1.1681233997025713, -0.46130856694320654, 0.7078652061233083]"
