image_embedding,caption_embedding
"[-0.2963270191529793, -3.461590735681887, 2.221118113405615, -0.9201012636867525, -0.6250278736755279, 0.04125452502696674, -0.16465752116476892, -1.0323880372575502, 1.7818267912688608, -0.6531935332481672, -0.27698991743325424, -0.8748755112529216, -0.8678992885606728, 0.9265373276327115, 0.9149269373962416, -0.18085036440591912, -0.04241668214678823, -1.1249534453742944, -0.46231888782749236, -0.28574321970442584, 0.21264799224985734, 0.274347227291226, -0.7037529587580096, -0.001396900306236075, -0.8193641355514379, -1.476711055058834, -0.6417808987184483, 0.11332885036380862, 0.032910781202306824, -0.4973797993274287, -0.38551855706821536, -0.40521493964071603]","[-2.54451356245952, -0.007541515178723434, -1.8282040504149917, -1.0197366891694732, 0.5298524825898001, 0.6976533105023575, 0.6153565803953849, -1.7033414154392366, 0.6246693948363601, -0.5518466293764283, -0.28802780313695925, 0.8809342832321959, 0.7796786017573372, -0.4577795854830643, 0.6752242230132791, 0.6931078518395924, -0.9768194904555326, 0.8178537113121948, -0.1772464035823672, -0.4666621442345876, -0.45743168609900137, -0.09896602907469333, 0.32927718728269867, -0.3027777514049319, 0.7839265376702996, 1.4969838028779785, 0.3284578029425291, -0.5976966169033152, -0.14206497324403333, -0.21856279523793504, 0.338256761027631, 0.013706240560885548]"
"[-1.200599582038297, 1.3236623272588703, -0.36841151626904195, -0.2624772957233236, 2.462850394039029, 2.1322460964875454, 1.787169226649466, -0.5607298880738942, 0.6952899252830251, -0.33038967744620895, 1.145204293163046, 1.323223318864015, 0.6638804299482456, -1.2311876995299078, 1.360983713047876, -0.17052817831928124, 1.3706316259731826, 0.48670956566378937, -0.1329599642255355, -1.1586621410861395, 0.13580344295004448, -0.07546668843796706, 0.07629651356051047, 1.6478772439974734, 0.587951392317742, -1.233486897457777, 0.28949294489038724, -0.12845301535303863, 0.5540591040293135, -0.47830213607709293, 0.3380984632851796, -0.701321410253169]","[-0.9550784640411852, -1.230089880149235, -0.38475093929404325, 1.766219707307286, -0.5754383040374897, 0.7801318520800631, -0.17158418301872994, -1.0059629165882267, 0.8098132252182438, -0.8087776998102107, 0.1270841139725392, -1.5023074007297361, -1.6378099186744397, 0.41008866094494045, -0.6053882862829795, -1.075718754525095, -0.3332401510916946, -0.14164994901040345, 0.08501475412394247, 0.08521283529170277, 0.03482329382828506, 0.14445203276190396, -0.45491248838457843, -0.32033793937284577, -0.2753405365016449, 0.013974537217496839, 0.4006820324315157, -0.5172075873635938, 0.21092806159375743, -0.5148261814039549, 0.3933533023220612, 0.5386894791396465]"
"[-0.6703507764608492, -2.3475043329880556, 3.0288143650422175, -0.7847803296433835, -1.1254969110213466, 0.95888691180455, 0.25518066316254523, -1.9947084463978728, 0.87852322434454, -1.1652061461114358, -0.725389038768491, 1.260918927122579, 0.5463796666478834, 0.44240663868211166, -0.5199829336119056, 0.4697502812230267, 0.17545542476778972, -0.641444351971807, -0.15084321593944833, -0.4727713087525288, 1.6028433354707736, 0.8175757402762486, 0.803813786924826, -0.9646459131169314, 0.5196755870257015, 0.2962594320205628, 0.3063913891607062, 0.39507606686415364, 0.3836429926848386, 1.1232642019072936, 0.8133561464556872, -0.29461518713144524]","[-1.9223369604026983, -0.6722087369411105, -0.3682118209279331, -0.014476436026650656, -0.24193349348736404, 0.023302566518705003, 0.8983828457449883, -1.1318759160735634, 0.49423653816705615, 0.6001093180781681, 0.6569498547354793, 0.3929920906712643, -0.2502503358074084, -1.2211838047420858, 0.5020124857294732, -0.7531824515635104, 0.6464373949324811, -0.22051062815432332, 0.5252306395300694, -0.027448466372038186, 0.38635702183121357, 0.3315933835989666, 0.17150260711151133, 0.04949462066022423, 0.2826400433034201, -1.199625490164054, 0.02224884410744037, 0.6691703409844162, -0.05928630047800367, 0.11685032819607571, 0.6113005481665137, 0.24843295674811228]"
"[0.008823702708638997, -2.329317893376842, 0.11546354992061653, -2.0959506027374566, -0.9029972659397387, -0.9117814726849399, 1.661419652821712, -0.39447586001593077, -0.796969882543724, 0.5646163820822143, 0.1924030228913013, -1.7539879895441242, 0.03395417940233985, 0.7626365553740242, 0.5152496719795386, 0.22531220140137243, -0.37461050487201153, -0.13804645550390082, -0.6577567346580254, -1.1432170428669828, -0.7212107546662867, -0.2990095056309532, -0.13415714968305542, 0.31695351063415167, -0.5239176246517632, 1.6921554504299672, -0.31043826947361103, -0.8077885870067089, -0.49973588320393825, -0.516605003708316, 0.5329120817562104, -0.9648690800969597]","[-1.6928132437351997, -0.7340736616318676, -0.6187643877844514, -0.13261763911144492, 1.0039470984885737, -0.07823805773446053, 1.7294153026417451, 0.035715711078864794, -0.8163425645272837, 0.36738307036617573, 0.18895362215729167, -0.08081372067319292, 0.5864440981975826, 0.2263176469766948, -0.3637211574161887, 0.6130774252956555, 0.04946962492084693, -0.6859294285700472, 1.1728683901498913, 0.2714897869171928, 0.22717036950336444, -0.4190199476053086, 0.49420621431398104, -0.15088858959075013, -0.6732136830465685, 0.49422062406044426, -0.7742379127290562, 0.5845982063284264, -0.8921576640441253, 0.3252866341317337, -0.10720193574368289, 0.01588625298392014]"
"[-3.0240320399987914, -1.0512465574232448, 3.7397379283136183, -0.04485277973479991, -1.3568142946876633, -0.1886647731820985, 0.9593092553152773, -0.4485334592262814, -1.5681371439660245, 1.506849959622611, -1.5529124655674, 0.09723452042490081, 0.5365161516658199, 0.9430707128239187, -0.7320741622941709, -0.07347036585201154, -0.2761307362544147, 0.7663665383416529, 0.09605626486676756, -0.0693214219572319, 0.43407319724208326, 0.12520495946157065, 0.6244643699526446, 0.4736618571383317, -0.053591538795753145, 0.40442157525278993, 1.0946915203425585, 0.6805293181776126, 0.40175208759486414, 0.801673000508142, -0.6265531052611548, 0.7142869181454484]","[1.4096624266660278, 0.842029577813103, 1.2274952447939562, 0.5682090372964906, 0.17057845645267913, 0.5731207923830834, 0.23800815365516909, -1.1179712200851415, -0.7477942148902365, 1.2401496421043725, -1.1793891363059397, -0.8229376415420024, -0.5997550068669455, -0.7320139594458676, -0.23029122755343465, 0.088429968026871, 0.4519284492095242, 0.14277027249058458, -0.12942052555989128, -0.23427900289766557, -0.5385775525959925, 0.6883182580628884, -0.6524959935310495, -0.41925911969355717, 0.5289071923989759, -0.35562222927207576, -0.4028095311368353, 0.10934787368776289, -0.15090482606648706, 0.8160352675904765, 0.2917590868709046, 0.13156563032436827]"
"[-2.0366798352190436, 0.3499381770035923, 1.5417932324254937, 0.359424244241342, 2.1327402852246413, -0.36706547769203457, 0.8035529812047276, -0.7013101882027849, 0.42132215991991767, -0.8017657095762925, -0.3288299415983872, 0.3659049824205804, 0.5483620482487822, -0.7463059238348755, -0.2118955459862344, 0.7494066192899125, 1.2361594155773827, 0.005189223052584761, -0.427416735909196, 1.4921955592910754, 0.08125477768892392, 0.3984757929466975, -1.5153592297897744, 0.6581216893613332, 0.6721191997911014, 0.4524618016630663, 1.7370533172801046, 0.06504364587682798, -0.8213598334421035, -0.2091980924789591, 0.4084923879741628, -0.0062228388314445795]","[1.1071534073522173, -0.34896998393435213, 1.2307034340622727, 1.9989540418769216, -1.2670935601779845, 1.203379688605918, 0.24998993338671419, -0.9709399634421508, -0.4176576252278323, -1.4077149008922547, -0.25219706446732965, 1.3377714742751856, 0.36360445161093674, 0.23778755134786103, -0.3003829088529278, -0.3157558938970113, -0.7826908540136847, -0.1984824687006206, 0.40932839720385783, -0.38073782744096707, -0.13599317189426177, -0.16238426499574188, -0.13449441700633366, -0.14043985534813885, -0.44121157865381605, 0.08984334828254002, 0.4703753998408159, 1.1384230912448061, 0.2057637377533238, -0.4355704223745336, -0.02741199503663534, 0.1278608581368749]"
"[2.5017645289956016, -1.1756507423080784, -3.078016130309875, -0.8572615799628601, -1.5551867996747144, -1.0792125047667631, -0.29612557564353786, -3.3870899345960215, 0.06739371764693518, -0.696727718160189, 0.22464416501230042, -1.2792510175675538, 0.8996195530336223, -0.09608622058895291, 1.8198373192574915, -0.4472541873286515, 0.10579698332555786, 1.1632052626101783, 0.050919925815920385, 0.09630560715028548, -0.029488909909216862, 0.8756995497378147, -0.008204035433709829, -0.03989971413286309, -0.15260261450534912, -0.08961157034752844, 0.223283888295427, 0.8562680718399117, 0.13174014890705793, 0.3168081963115122, -0.9941540047827906, 0.8631938529771667]","[2.0383252576439075, -3.12200181801933, -0.20359082293915867, -0.29062190371251, 0.06417260653155218, -0.4807938755244336, -0.6211800001549477, 0.20757985347051705, -0.13654756338754412, -0.4830361512888781, -0.07236822970021833, 0.17291852690559284, -0.4741025507458324, 0.17227221155756955, 0.09286357337543964, 1.0764734897827197, -0.263298467649908, -0.3606938876070421, 0.6739245099827744, 0.6181718492184776, -0.15817138347328247, -0.1596280550963697, -0.328966103293154, -0.14019633255807845, 1.234640843667256, 0.7977331418337117, 0.03930866889593811, -0.7622431596988566, 0.5489497379978467, -0.2237433463907074, 0.2081873395880463, -0.6101122416090667]"
"[-1.647758906113548, -3.987463307419398, 1.28604603935061, 1.4291504836116797, 0.9059674670721984, -2.3302253277741825, -1.2403537558856854, 0.23475693561810493, 0.234225522747608, -1.9455458030541566, 0.5872602807941047, 0.6663390308706844, 0.3080231376672274, -0.3057552472771834, -0.7769241516417718, 1.1560826053799826, 0.6101941715873375, -1.131132433486457, 0.4005959705193784, -0.06683794772146402, 0.42948703773501334, 0.5778578059299704, -1.0595392466463267, 0.7848141954334977, 0.7765138049681117, 1.612612990921599, -1.8229791661720949, -1.32785361723223, -0.7955765364719135, -0.7900220952624422, -0.3293596437254705, -0.1509854998774536]","[2.27985897303533, 0.8424989249827176, 0.550634342106886, -1.2676346125506734, 0.8001845539257999, 0.3223765979182327, -0.44730307835035243, -0.18064418164482068, 0.4006327347168499, 0.3035005576733275, 0.1687584018425552, -0.05729400693919096, 0.8352571076270937, 0.34291130017164506, 0.20067834331882936, -0.485539700218469, -0.3596024499109426, -0.19834177158033867, -0.18278011198298863, 0.4120539445104755, 0.027218308196146308, 0.324450615018288, 0.02751301424110338, 0.25962983292443037, -0.40165125286348663, -0.18633435512879581, 0.7479353044241319, 0.16228381850912033, -0.22794449641566378, 0.16441646655796058, -0.25616775841505113, -0.2868699750173058]"
"[1.025434634417481, -0.9085337312415595, 1.9558007306370395, 1.5756299723080749, 1.3230310936226306, 0.19661033443637088, -0.742950672375033, 0.9017305371278164, 0.9216315158120785, 0.3165909786717346, 0.4179338293277206, 0.5979889885163997, 0.7247731575260744, 0.22837008451947596, 0.21390737723750788, 0.42529083631482845, 0.5395241807302026, -0.334096316502532, 1.7564642782542546, 1.0478600478450335, 0.6674639055705627, 0.3937498724510391, -0.29936606445041064, -1.0685000194304708, -0.8715947431018183, -0.30575961638127297, -1.8968275286358363, -0.41566522843366643, 0.06418585310519677, -0.5482836846413208, -0.020525249386533252, 0.3210645858215821]","[-2.2979578695245286, -0.5307143848321104, -0.3530112741493385, -0.8541153143770276, 0.18135302167903264, 0.3154632829831634, -0.6749327409296516, 0.2049871481050336, 0.17341334607098932, -1.3748642277513932, 0.13547318748101955, 1.2524945181299134, 0.378490335907976, 0.048587636959978024, -0.10919720362557318, -1.4025538936864566, -0.8235548964736576, 0.17630900478264236, -0.9178492037119848, -0.7984856615901103, -0.2918391063628354, 0.9661906563260663, 0.47917907441121393, -0.8893115388592236, 0.09545671753497308, 0.6459908551981937, -0.10723456240770296, -0.4478293558281471, 0.16592717536412838, -0.10643798211024057, 0.4385425364705066, 0.928599782805643]"
"[-2.925814544112809, 1.3043426304686643, -0.3687643406139571, 1.2339524276155227, -1.634307167660525, -2.8653065123758807, 0.5750065328452769, -1.7143341940353398, 0.2705899449839552, -0.6162144886235748, 0.3318177997505859, -1.1399896686588569, 0.7611797539288806, -0.24071397015760027, -0.049110005652145204, 1.0785930899753748, 0.5891929491302187, -1.4125620874034603, 0.42598594900152953, 0.8445300759530817, -0.23174594842153834, -0.07872991366240194, -1.0341489834836202, -0.40327117882688834, -0.5700699490205671, -0.2414275494510508, 0.43663743505373936, 0.5525679396418727, -0.7548971253598661, -0.8836014046417959, 0.38837589230535957, 0.018805901386054716]","[0.6191904036351092, -1.9738878227103351, 0.8431860010086285, 0.5984625665225697, -0.6029997330719639, 0.7754163061032401, 0.635055942745538, 0.8468192744393854, 0.2545549758599255, 0.41033931874870405, -1.0197257244538338, 0.5014897675351321, -0.16370821732680357, -0.011984984980449493, 0.8451386870236565, 0.46658477483447436, 0.35420990435136906, -0.1756487222405642, 0.7881610936012482, 0.25982596493440757, -0.6698405424851414, -0.30531389111113183, 1.1585813843926376, -0.002228435002192023, -0.4510190075913385, -0.20347679462294202, 0.042437007753666975, 0.7294963073709535, -1.1506659370358523, 0.25719457180796135, 0.37007611217348474, 0.048010255392269725]"
"[-0.8936691783843537, -2.691771070505418, -0.6766003083014193, -0.5025394194892111, 0.28036809411877917, -0.3021381452937062, -1.1473743342376341, 0.33474366800842803, 1.223369381387711, -1.5125717213203398, 1.3496952439134826, -0.44607471480721367, 0.5927319078490473, -1.8151062754924403, -0.4536596869506538, 1.1325878331003802, -0.37680514220081107, 0.752462730006701, -1.138932363244736, 0.4358018725814041, -0.588887464702516, 0.5958428116018109, -0.1295987472789767, 1.2047689045846186, 0.5370400054767726, 0.8823760383812033, -1.206016011935141, 0.8508027220120854, 0.838904028366243, -0.1621520242870619, 0.02372520158954841, -0.15174067142657863]","[-1.7713389408795452, 0.07910576244850293, -0.22562221320160794, -0.6730992882814125, -1.4607439981447663, -0.5733997238511205, -1.1621123735324104, -0.32819085275679155, -0.9293505530547774, 1.3224429376052198, 0.46262112556772955, 0.5226407100440889, 1.1997902349229979, 0.1814084245327127, -0.5022960070841883, -0.31203421638404066, 1.081102328796436, -0.5698546867318757, -0.4769042018382885, -0.30315581716231943, 0.7367633503981155, -0.4889337534780623, -0.1203062708443963, -0.6578668355021621, -0.383410149011175, -0.26996087189388096, 0.2604844287861722, -0.6934824230404975, -0.0614889791390649, 0.3581660156322673, -0.15228295864889124, -0.4912948589042923]"
"[1.507629495675282, -2.554840564216524, -2.654172956732652, 1.9912360910626201, -0.2977227928355519, 0.02311917144359415, -0.9412625333737176, -1.4072234848990455, -1.1034662107584587, 0.5873995601869287, -0.09902577866715812, 0.2840078526261133, 0.9785414170671721, -0.2777887133646249, 0.9688410239611935, 0.16671658646325188, -0.6418566570632429, -0.23405288694926438, -0.9172947308342868, 1.0539766942993338, -0.30853669269680467, -0.5468998151729457, 0.003722183638703623, -0.5728668898945792, -0.015930081541056962, -0.4052643099520506, -0.663204490026515, -0.7272624065988104, -0.5365878369911813, 0.7764987907220231, -0.8581914528367616, -0.5583469591278298]","[-1.6151766754535648, -0.827164978692268, -0.6626245835124115, -0.32913599041050245, 0.03526749537192879, 0.36506150027432843, -0.08564865729638384, 1.0460519100518584, -0.33261474330565644, -0.9169689057288567, -0.5274462466516279, 0.3184130579398662, -0.8652659622497203, -0.1256775994005502, 0.6332078633314842, 0.7916185691325557, -0.16199838192515847, -0.2828164945797269, -0.4286430787942534, 0.2524207719686057, 0.6470356993079692, 0.1511223136454436, -0.23976572369753937, 0.995460613395318, -0.4425890950758595, -0.38026406758902404, 0.29701546775723936, -0.5413555025732067, 0.0655792210322927, -0.9850162313014098, 0.20839474461556617, -1.8631265461468491]"
