image_embedding,caption_embedding
"[-0.20717307802872226, -3.0632531620229058, 2.704253024496833, -0.8244387326163244, -0.5600891481119117, -0.03228127277883773, 0.24587821938190585, 0.5598482965667849, -2.164199720135745, -0.5126875289403193, 0.536711127971639, -0.5241257952407519, -0.17346171837089744, 1.4885085841486785, -0.28279763637074223, -0.9392709674256181, -1.0321743239203633, 0.48308851563401445, -0.534319549976881, -0.1618799776691689, -0.09177428630169346, 0.17430901755644504, 0.19668312220519096, 0.10530652210603726, -0.8320945858906397, -0.387613796655899, -0.5155303863120212, 1.1576264989927545, 0.42234806922674145, 0.30052279277993976, -0.6999629519587909, 0.2717894497183433, 0.18370536880437627, 0.3144675300720767, 0.7745235966346065, -1.1349767275495075, -0.00659125095315851, 0.6385532534116589, -0.2584425545621194, -0.4679642425004292, 0.23189913343169682, -0.4487234868175054, 0.11609529266545437, 0.011802024818034969, -0.2452079419248307, -0.09224149856420268, 0.21653874281544075, 0.1737254323745051, 0.8847598984558103, -0.6010569554159809]","[-2.4995614446612526, 0.07513364169306282, -1.743409403940869, -0.6399577071618647, -0.8904103803305312, 0.6879143594987158, 0.2959515808338552, -1.2257791199790184, -1.240946154021222, -0.5732758044185039, -0.025838629654301233, -0.11764153440343708, 0.9029201696149891, -0.7946854357430416, -0.21704013523370916, 0.2414310050720187, 0.7401233797418454, 1.4693313394832068, 0.5483309872884914, -0.3433416766567176, -0.13988898693021073, 0.526536443177116, 0.3711330783313568, -0.056194385292606196, -0.15534578187948325, 1.5369610034853014, 0.0054250305863718035, -0.5202389788132391, -0.13042142431245898, -0.2141978554393921, 0.5682511755479067, 0.7158242699499849, 0.0030389166571473188, -0.42416393063204116, 0.38645817074173, -0.03751348507327674, -0.13363140540289065, 0.8720277937284608, -0.3281106632089919, -0.3953837440108517, 0.319046387235484, -0.12207427837538586, -0.413059814635315, 0.21408499483587165, -0.5605495541520419, -0.3656907521018913, 0.9437621942652786, -0.17396721230095846, -0.3827640582513188, -0.34182550753885965]"
"[1.505282808655356, 1.2004731477555004, -0.36260272223656426, -0.05062652781137152, 1.6949364987444666, 2.786591720638651, 1.6351029128492776, 0.551398315720089, -0.23227515958722603, -0.6486032686427377, 0.11035263545678772, 0.8605833454036053, 0.1690295428934196, -1.0111657611467415, -2.187109612913604, 0.7446161460640295, -0.7970439847838316, -0.29627320501011173, 0.5985041109352233, -1.0116652235188464, -0.9850097473873874, -0.4164118166695681, 1.5268278790401075, 0.47853338811133084, -0.7725192969536014, -0.05145422897027689, -0.22890776864292253, 0.06509985881548436, -0.21327140263979685, -0.8270430414519696, -0.5257369453114547, 0.6202694714245889, -0.054454102861382525, 0.8879804796946278, 0.7252631405483908, 0.3581525584221042, -0.8295536023743326, 0.2964751697810597, 0.11431144426475727, -0.2289176419082455, -0.18248761886200587, 0.3220460756443089, 0.9940516158965899, -0.6320201371945984, 0.18680853290033225, 0.1749533429830956, 1.1438465329813678, -0.852805563265753, -0.3251106499068694, -0.12770964940418647]","[-0.9555958335086192, -1.1391646788695908, -0.06857978401821234, 1.1490800989069159, 1.4398491530238053, 0.8803455208942426, 0.4068074035413906, -0.47943797299892577, -1.3477649576762618, -0.5509802161546605, 1.0117618027451503, 0.4368052382594718, -1.6291318425063865, -0.30863812847985866, 0.5504877323650905, -0.10397601403253631, -0.08995874192990015, -0.8734386971398683, -0.5052038670707513, 0.06287636325730774, 0.2402930090072066, -0.5269444057981831, 0.3201984788726333, -0.13444515851651523, 0.3143150654970399, -0.09588589674218431, -0.49517412192139854, -0.18444446073983808, -0.6833987636962467, -0.09817351546184405, 0.05676056613510815, 0.7900474851835338, -0.19605532827677719, -0.038496507447793524, -0.2910467782769751, -0.41171205586215537, -0.5093923192166739, -0.3797743045708865, 0.5456428868696206, 0.8472908230673124, -0.9324482397070688, 0.8248026224475627, 1.1833397369429606, 0.7703466348231813, -0.470910610193522, 0.34602426808535114, -0.025988379315582857, 0.022961445331306077, -0.6951838033804222, -0.2789524692592994]"
"[0.2802235755977889, -1.8318651767654004, 3.2178968101429852, -0.5976990627150699, -1.270613697040195, 1.0750346840148275, 0.1490637445906236, -0.37148392981441325, -2.0361480317156424, -0.7431694638013758, 1.3966219338191794, 0.762698226467041, -0.396447635994133, -0.4579479314609192, 0.05647115113284622, -1.126994642142572, 0.9583052680652744, 0.17550091488955646, 0.5033335545656196, 0.47885989015250163, -1.1299358009573426, 1.0012261421303101, 0.2310121583502048, 0.7589916282188505, 0.5440579190004682, 0.326766951919558, 0.8996441087854089, -0.2958655876568164, -0.6448219521342381, -0.31529995303469344, 0.07453900071807304, -0.9516072519326509, 0.1870943147390434, -0.4002403154225897, -0.5172559395544422, -0.07431313145372447, 0.499161173288486, 0.7889175593852878, -0.9104827136785218, -0.8902673223875891, 0.524308989052785, -1.5501426297494074, 0.2623773676890682, 0.7917451030908647, -0.37812661491475685, -0.05217461527262873, 0.6570444450543292, -0.09849540325640507, -0.6683871342801622, 0.45757243162250416]","[-1.9408619038323904, -0.6630823047027183, -0.28237998909214607, -0.3377381808933886, 0.22330214219790934, -0.19229113809593765, 0.5926650594077852, -1.0367729418752376, -0.7498274196305934, -0.2992541800988492, -1.0681660969673012, -0.146987083414466, -0.1914621238532413, -0.5359397855692462, -0.8876981372492693, -0.4906409605451354, -0.7830767144493971, -0.1362212170682337, -0.2486304672224266, 0.41414900824062567, -0.3134514208140197, 0.2548875385763671, -0.011440312523890387, 0.3197278814941464, 0.5937957331534518, -0.9797473495258983, 0.14059078344683457, -0.29466207477045464, 0.434336853374166, 0.7010393798489467, -0.47639888519339624, -0.3071481973647706, -0.25019479458468, -0.09543203719795085, -0.7096840160069159, 0.377975451517584, 0.2396077571794096, -0.17190266432507256, 0.1765965983156879, 0.15763293846934676, -1.3066924457096445, 0.6604605380775491, 0.2776457706819281, -0.1634325851837229, -0.05559414157823045, -0.20751781703455244, 0.6595491484678063, 1.0830106859334447, -0.5369990924778714, -0.06050096303034575]"
"[-0.15250894121598754, -2.2840825451038316, 0.2675498447690587, -2.290705464829946, -0.8501838766311788, -0.33520793899910134, 1.4572135003441122, -1.0308264735893986, 0.43108589395083535, 0.002157340650472374, -0.22130476652700387, -1.2967054609263862, -0.7133903142798691, 1.200763110172337, 0.4626441008863967, 0.2892458904539633, -0.3128996023666197, 0.7658908436432936, 0.08391044794111333, -1.7015232912294176, -0.20170285450864386, -0.1087385378431058, -0.14153885811783787, -0.6605249671636401, 1.450286931172552, -0.862949809795951, 0.44562890118713305, -0.45823450171331265, 0.5877847679943246, -0.21250290565813723, -0.3116066965189796, 0.6978052422351663, -0.4982149744324206, 0.7764640045004692, 0.3286298875773638, 1.2625682166895258, 0.8179262271523925, -0.17238876253362012, -1.3862382397289887, -0.9864715002621798, 0.30974971153695563, -0.2781341368900797, -0.1537537451218128, 1.0204195004442926, -1.905196481997988, 0.1808939784532155, 0.8923060547866526, -0.7319969183108873, -0.20126526718061602, 0.028902221307882413]","[-1.745633149933168, -0.6971187900079321, -0.6557246613359731, 0.3184983968758756, -0.7712706636566379, -0.19505052146642327, 1.0544578197556862, -0.9685137086360694, 0.9461568558031471, 0.3655170034141494, -0.6451340040298676, 0.3804108539292068, 0.5225486448793037, -0.30501918384746307, 0.5914717843833937, -0.021566983347880257, 0.2662603431964159, -0.45031211536521026, 1.108382499927028, 0.1053303814407246, -0.35514049031000244, -0.24018767320384204, -0.12044840559833736, 0.1638469810868172, -1.2757887823219478, -0.7239389817062273, 0.4056808598146147, 0.5564383050496102, 0.8416618085271285, 0.03335253188152854, 0.4230588533400682, -0.38770394628299176, -0.4957205184510728, 0.49843460672895684, -0.06965507005908142, -0.6918279531308524, 0.8497263235610688, -0.604941723988354, 0.07688631908875908, -0.34309069475240167, 0.3060063215346735, 0.40009637337580123, 0.2550550887893475, 0.7020267818545413, 0.4837168602927158, 0.6163734320116108, -0.36714368220832044, -0.5495726264650976, -0.19107446819241, -0.43053562500752335]"
"[2.7221852714474934, -0.8233278348144847, 3.841925977694098, -0.005747509558885454, -1.3899822261805677, -0.10035901847687513, 0.8048417101064631, -1.66016405169595, 0.5567710949312944, 1.9397518994825333, 0.6227380335475665, 0.008051954615540672, -0.7826907722862009, 0.22968405411318962, 1.3011930434654118, 0.25642187411833917, 0.6244823887028889, -0.17270034659675948, 0.5585238174330157, 0.17058226633720305, -0.6882686794258309, 0.25348240296051544, 0.7179198301768354, 0.4289287991754322, 0.756494800063472, -0.07790779845369583, 0.38234416366710616, -0.5195004959927993, 0.08366358758334123, 0.9114542722817002, 0.17890439116915338, -1.1775742050598523, -0.28447529950101064, -0.6076813012643064, -0.07723238593448785, -0.3285699625250971, 0.13580187379536868, 0.4918602961173736, 0.5693374299495472, 0.054243448105630546, 0.40791915409430385, -0.46635074818662603, 0.3906038231193856, 0.11412863223759694, -0.11542102101612438, 0.40839116583947244, -0.17219354604053475, 0.07280723925765516, -0.4366898793816834, 0.036106502327816356]","[1.443482399810135, 0.8103335726637322, 1.2634182536510066, 0.7068291376536634, -0.008688658301599131, 0.9643985965374299, -0.2240024549374547, -1.137552675934695, -0.11295562505234256, 1.5918067089817174, -0.4549926972208047, 0.186789658361713, -0.48824289927054737, -0.22430694709104304, -0.06866805790160106, -0.4249178249050906, -0.8379356071978861, 0.2923686266126376, -0.3400391918818841, -0.18783270099749586, -0.18071342557770992, 0.13111454089859959, -0.3628617627661047, 0.21101734704973402, 1.0743645343844272, -0.028011546502586852, 0.02306799254617285, 0.29156884367239466, 0.620271917470705, -0.045076917811464556, -0.44571938358337565, 0.33720698995558257, -0.33999416203438615, -0.16434640676196402, 0.043314808238560425, -0.26856067294751984, 0.010311616246368376, -0.5059273912940274, -0.4761653907521703, -0.7041898421678683, -0.559640755735305, 0.3939448357420798, -0.34764104987777183, -0.1771091020979309, -0.11441742651586241, -0.26468971176308487, -0.8259962915437372, -0.22786493999015012, 0.07345027494699537, -0.5845507955876593]"
"[1.9944392163088918, 0.30846138672796, 1.6318379661580011, 0.44060950139580346, 1.981641840908882, 0.08563452007757319, 1.0797328113823625, 0.07950066002963858, -0.33476288839880236, -0.3030647155763876, 0.6124010934328435, -0.026030627235963975, 0.10065304293260378, -0.8675586242096415, -0.6921630487887733, -0.30398649096814284, 1.4070641667143282, -0.7716642333832381, -0.600534232957994, 0.02064243655779604, 0.32850420922991763, -0.4485069441174356, 1.1712356987199073, -0.8984654042449963, -0.13156946797027771, 0.6405119542945247, 1.4611893393498117, -0.6943391140507492, 0.3958233034306848, 0.03695004135146549, -1.7228916913393881, -0.08237538821519744, 0.027062275956703075, 0.13216844942373682, 0.4664429060701524, 0.10098525724888499, 1.4478570145869232, -0.3150895422860373, 0.2045991340520283, 0.6548090077961731, -0.5571564182730901, -0.5662993764830815, -0.2880827669670388, -0.017232936461421808, -0.11291830485322456, 0.14225968098236905, -0.1070889128071612, 0.7381611209881254, 0.264068761897756, 0.8610478642248347]","[1.0902700396953484, -0.3276116095745641, 1.4697108293030152, 0.7633295138910671, 2.0381249394907166, 1.283149660741211, 0.32831438977037314, -1.0379936320651764, 0.06423200929398751, -1.1366933729242505, 0.6960265498774243, -0.9209205170942723, 1.2798504699353859, 0.1040015936824915, 0.2842642967236796, 0.001560197492638564, 0.47308497797011384, 0.017861409522049135, -0.38323535659610514, 0.08700157319754881, -0.5349798430978413, -0.2782366359129904, 0.0918585266258505, -0.25249369966086355, -0.11767482894927964, -0.16734246741440345, 0.9020098858229388, -1.194294085240724, -0.3637799315358124, 0.18930573802519915, -0.5043927835227836, 0.3159540794770689, 0.110945202741286, -0.476357259129828, 0.31500827019063266, 0.3386950511673949, 0.08327183991168176, 0.163084996202201, 0.006908386771105868, 0.23754212184211657, 0.24302734491683087, 0.0868878736983864, 0.0316744332491098, 0.37338258144094727, 0.042901292622823474, 0.4990068592317655, 0.21554352376902033, -0.12119403548200927, -0.13913839270914735, -0.14858006745235114]"
"[-2.262096299906799, -1.1415332836762169, -3.1607894665350154, -1.1665354309262863, -1.258640930171571, -0.33487422428545965, 0.01585180717385658, -1.7215627207092217, -2.5209760898983986, -1.1949129171120845, 0.7055546137265366, -1.8924549164476254, -1.0795627071347176, -0.567480151212047, -0.5181121068570188, 1.7195124938910116, -0.613660602105313, -0.2287663393569432, -0.5045459250036427, 0.15119931731407366, 0.09550141878838625, 0.5298415828473491, 0.5795411264249403, -0.07288005849857795, 0.18860756814563207, 0.09396343465549896, -0.19627469840458542, -0.11589638521773199, 0.20003510915336237, 0.7363723271995373, 0.18767171030586396, -0.6382356630479428, -0.02456142685741712, -1.6462403391856288, 0.09852574425302525, -1.400597032257375, -0.19191619720790773, -0.20595255939469165, -0.49412767071188124, 0.2513174872254532, -0.6522480932099816, 0.7022290589405521, -0.11128964270441338, -0.35167225532059987, -1.1579360329074875, 0.046866500970312294, 1.8388096988199507, 0.769220296404953, -0.3375832058327741, 0.06223250376805017]","[1.884344072433675, -3.197771330591989, -0.08306342782573821, -0.05763475783265283, -0.23865560915797934, -0.156252387597104, -0.6484209629850589, 0.3120102051563171, 0.16372313563939542, -0.3062696594046556, 0.5315956043645337, -0.43677077396128455, -0.15752773948630902, -0.3051664318400737, 0.43021423071445875, 0.27497992440909286, -0.43179670758298594, -0.1628851935384514, 1.3954317513130108, 0.24400950582440487, -0.007263897316160432, 0.02282988045785285, -0.30410490745717506, 0.38708043756664573, -0.05309039105978649, 0.9859076653080335, -0.3678483630776668, 0.25282900146579246, -0.4268262021116005, -0.3798774908899273, 0.6427238043571705, -0.15877777618591463, 0.026185424982645727, -0.05205712420815577, -0.3958378133777848, -0.537749775214484, -0.9888519230808471, 0.23803990382107065, 1.0304326263167252, -0.5183322919744047, -0.11697702880775084, -0.11709798945348587, -1.181866761653242, -0.9763942682699757, 0.049887759380353315, 0.5123358385435177, -0.40870086196808353, 0.8323181009735392, 0.6728448309690273, 0.03254260461909983]"
"[0.8846606809947798, -3.8031425426495495, 1.9979532484489908, 1.1278419276339415, 1.3444387274479024, -2.361375301856282, -0.8066926542233533, -0.3544393463192238, -0.05107593115004589, -1.9116073825379916, 0.5701502748627258, 0.23039892589583805, 0.013181292936013323, -0.23481720398290537, -1.2128659575654457, -1.3066374803510734, 1.1842616805779047, -0.1364161935274456, 0.8883360330544351, 0.7705162961657758, 0.3274311292496558, 0.8455412834608053, 0.43608603751857294, -1.4102925395348875, 0.1214668397399072, -0.4010753865384777, -0.3980116935662139, -0.7363453219245143, -0.7681447096323256, -1.4643980156106937, 0.480093927993467, 1.4128324887567874, -0.9509448998558094, 0.34926665005461505, 0.27146048324742283, 0.8140779747039547, -0.4817832143498746, -2.061703610000146, -0.19758759237611595, 1.4092670708206088, -0.22410345662026468, 0.49350323046865435, -0.5048951144629868, 0.4695729379506378, -0.8522385117712925, -0.27879771758734234, -0.6834973123040449, 0.406415068852757, 0.39700225592803773, -0.9708642291950075]","[2.2906577393223113, 0.664495502312014, 0.47859129729394617, -0.6667005134309396, -1.3724747241080133, 0.2772550474326638, -0.05081206942931135, 0.4598961831128966, -0.4400173638468956, -0.19826501987331865, -0.4758015479217955, 0.4067646292520419, 0.36582063916032553, 0.2514399876676358, -0.23518698220831658, 0.14441953722901518, 0.7838325290161616, -0.24450794376532775, -0.43331347296172973, 0.3178161794600388, 0.1985461230923842, 0.1535491843223053, 0.39829528777163986, -0.5974237732759717, -0.09786192584438118, 0.20641472750082684, -0.03592333116009036, 0.5707670116646105, 0.09118289985101578, 0.44293686544841926, -0.06781646749259532, -0.229128151982605, -0.16664079579120897, 0.5855024354916425, 0.3045493668555957, -0.2452295450657369, 0.7631279818067672, -0.286175790577192, 0.44957108246916, 0.4657565207060416, 0.18566892345709468, 0.1358829219838693, 0.4635069275089696, 0.04917549547719933, 0.6394527540268435, 0.5997878556514825, -0.10586539225685355, 0.3027331196868229, 0.1683798121736078, 0.4434396608958516]"
"[-1.355678678502517, -0.516769653751485, 2.1139494828977012, 1.6657938200069804, 1.1579690843030521, -0.0446091971027558, -0.09057301948804225, 1.149463552855602, -0.2745282312785987, 0.11863074862902442, -0.4954918894832384, 0.8124035289257575, -0.6922265251438591, 0.046854970545527286, -1.0131515053901585, -0.4048500315408457, 0.18515985556843823, -0.4944165320785359, 0.5231870915522603, 1.8170077357775167, 1.2549417162888497, 0.4826494145224927, -1.2323585181223928, 0.00046068498762882014, -0.10809885361397921, -0.3412790233871644, -0.7671602721491331, 1.1666107474424343, 1.345294324644813, -0.16791448587004013, 0.5832477367714204, 0.7513462880384068, 0.781735764692789, 0.17720988908211857, 0.32356053119379574, -0.15694980943225292, -0.72622314687203, -0.656772281199391, -0.24923414280178563, -1.5786942511406379, -0.8040753447194194, 0.03982458337286654, -0.3287812623203931, -0.4517256952824343, 0.017848690693418174, 0.40341020637260777, 1.0082102540554239, 0.3440089447080655, -0.2642070702177336, 0.5153034990959166]","[-2.3318173822114323, -0.4445719447545037, -0.37204276211623105, -0.5934205563508601, -0.5578482777666816, 0.4077950000772691, -0.20096052746267545, 0.32481440648316406, -0.3613432368189184, -1.1596855680150053, 1.16987970349073, -0.6394380032002023, 0.7326131315574648, -0.4041232600757499, -0.5160025054886528, -0.9263672291553608, 1.3019175353970738, -0.39777484976005056, -0.13021942182712884, -1.4271981023843634, 0.4401445933727673, 0.6662167326217544, -0.7607285708295323, -0.6123196086076904, 0.17633175590625408, 0.2317562557501521, 0.48957575473490295, 0.9034560379970201, -0.5260540491417882, -0.16072043015884416, 0.07116957361082847, 0.272132161464084, -0.6160803133297212, -0.017702765539563757, -0.36989856261546145, 0.7861451238910602, 0.49390690304117224, 0.3495060976266839, -0.13987221054011034, 0.43701979265704016, -0.18103479330405853, 0.3688009604321559, 0.406192267231834, -0.3491514576415369, -0.944611921450315, -0.4354814259399592, -0.377704101705934, 0.3883092332834163, -0.14883476485254102, -0.4434750642277087]"
"[3.202002968039615, 0.7883940483510027, -0.4725621395855762, 0.9322118946204415, -1.2163107904308001, -2.5717906953691263, 0.9064813359367105, -1.2610534586847448, -1.0221701709221729, -1.395983533236733, 0.002748095902755983, -1.4334227267076505, -0.8772184705531777, -0.10400992532872037, -0.520365322777429, -1.0162221404933176, 0.8883702920525215, 0.10518417218439276, -0.0683450654411406, 0.063540849431268, 1.1755533574940986, -0.5951358560936773, 0.14056140832865205, -0.04935222145460046, -0.3709119464722436, 0.1605036386746315, 1.16974214659355, 0.6565266959848877, 0.6049290996149946, 0.5398835391765898, -0.445533288898834, 0.6990047211697819, 0.3209654962150549, -0.36789851252163336, 0.10047607657494885, 0.19465830121173716, 0.5864320217133783, -0.3015509105857737, -1.1851562109480793, 0.40702408184567135, -0.5512141077251491, 0.764969957042629, -0.819828266199799, -0.35613641824040476, -0.12242470887601306, -0.6769437502504313, -0.36954563698099446, -0.42970664278490295, 0.06282204234847862, -0.16492709322157242]","[0.5094990547601242, -1.9539703637956816, 0.8628843901585599, 0.06700265077658288, 0.9033054985195462, 0.42231319175467497, 0.8340965185664583, 0.47038422413436864, 0.2927069022086399, 0.8862096185402186, 0.09566978752035125, -0.6572531424030759, 0.3629901315450228, 0.016558834907745405, -0.2403865131855927, 0.4825320288785996, -0.2879825024365224, 0.6652094027455157, 0.5682349189005103, 0.5648115385087856, -0.4083138317518911, 0.7625348881891044, -0.7523849735696183, -0.622624260913041, -1.1143453024845138, -0.43526268717495586, -0.16679535733430878, -0.5398751789053992, 0.6757455105719069, 0.13525900083979997, -0.442904912118085, 0.31725458500099246, -0.8269456370936528, 0.2401915378220459, -0.48648402555206355, -0.788447440483036, 0.08506386778223834, -0.44508417678648554, 0.6665173321708618, -0.34791109578635027, -0.11537293137644286, 0.1620784155731013, -0.16001032658051112, -0.14002605747220162, -0.12475400659841725, -0.6854766659546474, 0.5012484466660956, 0.33390352842703425, 0.11134326336092247, 0.5093532794798195]"
